{'短评内容': '前台服务特别好尤其是孙君丽同学', '短评打分': 5}
{'短评内容': '繁华地段，价格便宜，房间大………………………………………………………………………………………………………………', '短评打分': 4}
{'短评内容': '价格比较实惠，房间很大，地段很好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '因为在皇冠假日酒店开会，所以就近选择住宿。非常方便，一个大院的两栋楼。房间很宽敞，一室一厅一厨。周围吃饭不是很方便', '短评打分': 5}
{'短评内容': '这里环境很好，酒店前台王先生也很热情，服务好', '短评打分': 5}
{'短评内容': '房间好脏，服务好差，退房都没人，不建议推荐入住', '短评打分': 5}
{'短评内容': '当大家看到我的这一篇评价时，表示我对产品是认可的，尽管我此刻的评论是复制黏贴的。这一方面是为了肯定商家的服务，另一方面是为了节省自己的时间，因为差评我会直接说为什么的。所以大家就当作是产品质量合格的意思来看就行了。', '短评打分': 5}
{'短评内容': '不是一般的差', '短评打分': 3}
{'短评内容': '干净整洁方便', '短评打分': 5}
{'短评内容': '酒店很好，价格贵了点', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很', '短评打分': 5}
{'短评内容': '下次再来！', '短评打分': 5}
{'短评内容': '很好，信价比很高！', '短评打分': 5}
{'短评内容': '好，不是第一次入住了！', '短评打分': 5}
{'短评内容': '酒店在crown plaza旁边，离湖不远，设施、卫生、服务都还不错，信价比完胜crown plaza，住住还行，带孩子泡酒店什么的还是别选了', '短评打分': 5}
{'短评内容': '酒店在crown plaza旁边，离湖不远，设施、卫生、服务都还不错，信价比完胜crown plaza，住住还行，带孩子泡酒店什么的还是别选了', '短评打分': 5}
