{'短评内容': '和您敏敏以内你摸摸破功你YYpls', '短评打分': 5}
{'短评内容': '物美价廉  很好', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的 ', '短评打分': 5}
{'短评内容': '酒店没有停车场，网上订房需要自己付费停车，差别对待', '短评打分': 4}
{'短评内容': '酒店居然没有停车场，停车需自行付费', '短评打分': 4}
{'短评内容': '习惯了这种感觉，住这踏实', '短评打分': 5}
{'短评内容': '温馨，舒适，如家般的感觉', '短评打分': 5}
{'短评内容': '始终如一，唯一的选择', '短评打分': 5}
{'短评内容': '一如既往的住这', '短评打分': 5}
{'短评内容': '房间隔音不太好', '短评打分': 5}
{'短评内容': '还可以的不错', '短评打分': 4}
{'短评内容': '还可以，有些儿小贵！！！', '短评打分': 3}
{'短评内容': '住的七楼，临街过节有些儿吵，周边很多饭店，商场！', '短评打分': 3}
{'短评内容': '这个价位这种房间，太值了', '短评打分': 5}
{'短评内容': '环境还不错，服务还不错，卫生还可以，电视小点。', '短评打分': 3}
{'短评内容': '卫生条件还可以，就是宾馆位置有点偏，周围配套环境不好。', '短评打分': 3}
{'短评内容': '酒店很不错，交通方便，卫生干净，下次去还住这里！酒店服务也很周到！', '短评打分': 5}
{'短评内容': '酒店的拾金不昧的精神值得我们学习!风格高尚.管理规范!谢谢你们!', '短评打分': 5}
{'短评内容': '干净，下面吃东西方便，就是停车要到政府院子，不过酒店给停车费', '短评打分': 5}
{'短评内容': '非常实在的酒店，去罗浮山泡温泉不远，罗浮山景区宾馆太贵了\n这里性价比非常高，设施也很新，下次还来', '短评打分': 5}
{'短评内容': '酒店位置很好，房间面积虽然不算大，但是很干净、设施新，总之是家性价比较高的酒店。', '短评打分': 5}
{'短评内容': '此酒店非常不错，位于北川县安昌镇中心，购物、吃饭都很方便！酒店环境相当不错，布置的较有情调，干净，卫生，尤其推荐情侣入住！', '短评打分': 5}
{'短评内容': '经常住这儿，还是可以，挺干净的，就是房间小了点。', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 3}
{'短评内容': '酒店挺干净、实惠', '短评打分': 3}
{'短评内容': '酒店设施在当地还算行，作为旅游者入住挺不错。', '短评打分': 5}
{'短评内容': '房间整洁，饮食交通很方便,楼下就是一条小吃步行街。', '短评打分': 5}
{'短评内容': '嗯··还行 价格挺便宜 房间感觉挺干净的···下次去玩还是会选择的\n但是我住的房间空调效果不是很好··朋友的房间空调还行', '短评打分': 5}
{'短评内容': '房间不大，打扫很干净，床很干净很舒适。', '短评打分': 3}
{'短评内容': '价格合理，干净卫生，设施齐全，出行方便，值得推荐。', '短评打分': 5}
{'短评内容': '位置相当不错，离步行街很近，吃饭购物很方便，交通也挺便利。', '短评打分': 5}
{'短评内容': '服务态度有些冷淡，卫生方面很好，房间挺干净，基本设施都有，还能上网，总体感觉不错。', '短评打分': 3}
{'短评内容': '出行挺方便，价格挺便宜，设施挺齐全，感觉挺不错。', '短评打分': 3}
{'短评内容': '房间布置的挺温馨，设施挺齐全，隔音也挺好，睡的挺舒适。', '短评打分': 5}
{'短评内容': '酒店位于镇中心，交通很便利，性价比挺高，住的挺满意。', '短评打分': 5}
