{'短评内容': '三星的档次，这个价格算是不错了，每次在附近出差都住这里', '短评打分': 3}
{'短评内容': '酒店比较旧，服务也不是很到位，最让人难以忍受的是竟然会无中生有说消费了房间里的商品，无语！', '短评打分': 1}
{'短评内容': '房间很大，挺不错的！就是晚上靠公路的话有点吵。', '短评打分': 5}
{'短评内容': '还行吧 价格也还好  楼道要是铺上地毯就感觉好点', '短评打分': 5}
{'短评内容': '环境不错，服务也不错，以前是KTV这样的场所，现在改成酒店的。很值得一去', '短评打分': 5}
{'短评内容': '对得起价格', '短评打分': 3}
{'短评内容': '房间蛮大的！插头只有两个有点少', '短评打分': 3}
{'短评内容': '中央空调温度打不上去，冻死人了，洗澡水不热，不值得住！', '短评打分': 3}
{'短评内容': '总体还算不错，酒店早餐不是很丰富。。。。。。', '短评打分': 5}
{'短评内容': '对得起这个价位，还算凑乎吧！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务员服务质量和态度很不错，可酒店早餐营养不够丰富。', '短评打分': 5}
{'短评内容': ':1,位置便利;2,房间宽敞整洁;3,干净卫生;4,在配备电脑更佳;', '短评打分': 3}
{'短评内容': ' ,很好满意', '短评打分': 3}
{'短评内容': '房间很大。很不错。服务也不错，就是前台小妹有时不太专业。呵呵。不过无伤大雅\n那边的其他设施也很全，有洗浴中心、按摩休闲，还有KTV。', '短评打分': 5}
{'短评内容': '房间很好很舒服，价格在吴江这里虽然算有点偏高，但是环境不错，过一条马路就有一个小公园，隔一个街区就是步行街。很喜欢这家酒店，前台服务也非常热情。', '短评打分': 5}
{'短评内容': '虽然订的是小标 但是房间绝对够大 里面设施也很到位 非常满意', '短评打分': 5}
{'短评内容': '不错，很好的酒店，设施也很好，下次还入住。50字也太多了，这不是难为人吗？真是的。这个规则应该修改。', '短评打分': 5}
{'短评内容': 'en很一般的，管理不专业，原来是桑拿改装的，', '短评打分': 1}
{'短评内容': '杭嘉苏高速吴江下高速,第二个口右转就到,到同里古镇也很方便,酒店有气派', '短评打分': 5}
{'短评内容': '环境不错，房间够大，离永康路商业街很近，附近还有垂虹景区', '短评打分': 5}
{'短评内容': '交通很便利，房间也还不错，服务需要改进。', '短评打分': 3}
{'短评内容': '房间硬件设施蛮齐全的，而且隔音效果不错，酒店周边交通还可以，附近有公交车站，坐车打车都很方便，还有旅游景点，出行还是很方便的', '短评打分': 5}
{'短评内容': '房间打扫的很干净，设施也不错，电视、空调都有，感觉挺舒适的。', '短评打分': 5}
{'短评内容': '酒店挺不错，出行交通便利，服务热情周到，房间干净整洁，住的挺舒适。', '短评打分': 5}
{'短评内容': '跟经济型酒店相比，交通好一点，但是卫生、服务、性价比还是差一点。', '短评打分': 1}
{'短评内容': '酒店的位置还不错，周边公交挺多，打车也很方便，离景点也很近，游玩也很方便。', '短评打分': 5}
{'短评内容': '酒店挺好，服务热情主动，房间干净整洁，设施完善，出行也方便，值得推荐。', '短评打分': 5}
{'短评内容': '服务人员办事效率挺快的，房间挺干净，设施也齐全，隔音也很好，住的很舒适。', '短评打分': 5}
{'短评内容': '服务员很热情，都会主动和客人打招呼的，办事效率高，住宿条件还是很好的', '短评打分': 5}
{'短评内容': '服务很好，态度很友善，见面都会主动打招呼，办事也利索，感觉很贴心。', '短评打分': 5}
