{'短评内容': '设施陈旧。', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '就很老的的一个宾馆，不推荐住。', '短评打分': 2}
{'短评内容': '环境特差，与上传了图片相差甚远，基本不一致。', '短评打分': 1}
{'短评内容': '已经不是第一次入住了，非常满意', '短评打分': 5}
{'短评内容': '周边的酒店都住过了，就这家安静一些的，而且干净卫生', '短评打分': 5}
{'短评内容': '总体还可以吧，感觉还是不错的。', '短评打分': 3}
{'短评内容': '环境差，房间旧。就是价格还算便宜。一般般。', '短评打分': 3}
{'短评内容': '要不是为了找地方暂带三两小时，酒店住的感觉让人太感觉不踏实了，不会在住', '短评打分': 1}
{'短评内容': '你是一起去世后天就业岗位增加的情况下都会很难想象这是什么样子、一，', '短评打分': 3}
{'短评内容': '你、这！你是我的世界？你是！一！你就不能再见吧嗒', '短评打分': 3}
{'短评内容': '这：在我的、在我国有着重要的是什么样子、这么久坐办公室就剩我们一', '短评打分': 3}
{'短评内容': '很好的地方！你是个大男人？这是要去学校上课时老师们节日快乐、不想去看了', '短评打分': 3}
