{'短评内容': '不错、环境很好', '短评打分': 5}
{'短评内容': '装修一般，早餐一般', '短评打分': 4}
{'短评内容': '酒店装修不错。', '短评打分': 4}
{'短评内容': '房间漏水。。洗手间的那个抽风机。。外面那层胶壳。。居然掉了一半下来半吊着。。隔音效果也还好。。以前的大酒店吧 设施会旧点也不出奇 好评吧', '短评打分': 4}
{'短评内容': '整体还行，离地铁还是蛮远的，步行要15-20分钟，有好几个坡，还要过涵洞，幸好用摩拜单车节省一点时间，不过那个坡实在骑不动。到地铁口就方便了，3号线直达机场。', '短评打分': 4}
{'短评内容': '酒店离地铁口十五分钟 二楼的中餐不错', '短评打分': 4}
{'短评内容': '66464646161616166446619191911', '短评打分': 5}
{'短评内容': '服务很好！很满意！', '短评打分': 5}
{'短评内容': '住宿条件可以环境不错就是有点老了', '短评打分': 5}
{'短评内容': '一直选择京东定酒店，现在酒店也越来越全了，希望优惠也可以多多', '短评打分': 5}
{'短评内容': '这次定的是榻榻米房，很温馨，房间也很大，就是洗手间残旧了点，不过价格也合理', '短评打分': 5}
{'短评内容': '去广州一直住这家酒店，就是房间内设施很旧，但是大，服务也不错', '短评打分': 5}
{'短评内容': '下大雨，差评差评差评还有', '短评打分': 5}
{'短评内容': '酒店有点老，不过离地铁不太远，早餐品种少', '短评打分': 4}
{'短评内容': '性价比很高，早上还有免费早餐，环境又好', '短评打分': 5}
{'短评内容': '适合做招待用途!', '短评打分': 5}
{'短评内容': '还可以吧，干净卫生', '短评打分': 4}
{'短评内容': '酒店很安静，隔音效果比较好，设施有点陈旧', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '第一次来这，感觉还好啦，性价比不错，连续住了三天。设施老化了一些，前台服务态度也可以，没有太冷淡。有机会还会来这看看的，地铁有两站可乘，稍有些远，门口公交车站挺多。', '短评打分': 5}
{'短评内容': '环境不错  房间挺大的  地面也干净', '短评打分': 5}
{'短评内容': '酒店档次不低，结合也很合理，在闹市区，吃饭坐车都很方便！', '短评打分': 4}
{'短评内容': '酒店档次不低，结合也很合理，在闹市区，吃饭坐车都很方便！', '短评打分': 4}
{'短评内容': '预授权刷了没退给我', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
