{'短评内容': '很干净，房间设施也很怡人', '短评打分': 3}
{'短评内容': '地段不错，离瘦西湖很近。不过酒店设施有点陈旧。', '短评打分': 5}
{'短评内容': '酒店的地理位置是不错，就在扬州体育馆旁边。离西湖也不远，到南大门走过去大概20分钟吧。不过酒店内的设施实在是不敢恭维，不知是不是旅游节的关系，398一晚的房间，床单是破的，淋浴房的门是坏的，只有半边。。。 。。。 毛巾也是灰灰的。要不是实在是订不到酒店，我肯定不会选择这家的。。。', '短评打分': 1}
{'短评内容': '这家酒店位于瘦西湖附近，去主要景点都挺近的。三人间面积很大，虽然设施有点旧，但很干净。', '短评打分': 3}
{'短评内容': '  已入住锦城假日酒店。交通方便，游览方便，酒店服务好，可以推荐。', '短评打分': 3}
{'短评内容': ' 非常好', '短评打分': 3}
{'短评内容': '    一般，不值这个价', '短评打分': 3}
{'短评内容': '不是很理想，酒店管理有点乱！感觉不到温馨', '短评打分': 5}
{'短评内容': '交通很方便，就是酒店设施比较差，卫生间水龙头都掉了，花洒到处乱洒。', '短评打分': 1}
{'短评内容': '酒店除了房间大点（30多平）地段还算过得去以外，真的不太值得推荐。\n空调很不给力，冬天住肯定会冷，卫生间太小，淋浴房更小，而且水不太热，洗了不舒服。另外整体环境太老旧了，只能随便住住……\n哦，另外我们定的有一间双人间有配置很低的电脑，可以上网。', '短评打分': 1}
{'短评内容': '位置佳，服务有待提高。', '短评打分': 3}
{'短评内容': '已经入住，房间挺大，环境还不错', '短评打分': 3}
{'短评内容': '交通方便.\n性价比较高.\n房间很大,\n还有电脑,\n比较方便.', '短评打分': 5}
{'短评内容': '步行至瘦西湖仅需10来分钟，周围环境不错。吃饭可取大井良子鸭血粉丝，味道不错。可惜只有扬州蛋炒饭，没有扬州炒饭。酒店环境一般，楼梯甚至是水泥地板。房间内还好，三层是刷卡开门，二层是钥匙开门。三层的房型似乎较大，二层的稍小些。但都比较新，电池频道很多，看了一晚上的电视，热水、暖气也不错。就是被子不很舒服，太薄，不适合冬天。加了床被子还是感觉不到厚实。这需要加强。', '短评打分': 5}
{'短评内容': '位置还可以，但是房间不好没有窗户比较闷通风也不好，服务态度也一般，价格的话还行。', '短评打分': 1}
{'短评内容': '酒店位置在旅游区交通方便，就是设施陈旧了点', '短评打分': 1}
{'短评内容': '设施比较简单，使用热水不是很方便，要放掉很多冷水才有热水．好浪费．', '短评打分': 1}
{'短评内容': '要的两间房，都在一楼，一间对外的窗户不能锁，房客可以自由进入，一间有很浓的杀虫剂味。唯一可赞的就是态度很好', '短评打分': 1}
{'短评内容': '酒店位置还不错，离瘦西湖很近。房间很宽敞，床也大，值得推荐的是电视节目是电信宽带点播。卫生条件一般。酒店在马路边有点吵。性价比不高。', '短评打分': 5}
{'短评内容': '+该宾馆干净,服务到位,热情好客', '短评打分': 5}
{'短评内容': '位置很好，出行方便。地下停车也很便利。服务也还可以，只是酒店设施旧了些，床比较硬，隔音也不太好', '短评打分': 5}
{'短评内容': '还不错挺干净的，本来订的是无窗带电脑的大床房，到了给我的是个有窗户没电脑的大床房。\n贡斌 字：德承', '短评打分': 5}
{'短评内容': '卫生和设施条件挺一般的.位置不错周边出行很方便.而且房间住起来还是挺舒服的.', '短评打分': 5}
{'短评内容': '酒店位置非常不错，距离周边的景点也比较近，去瘦西湖挺方便的.而且各方面服务和设施条件也很好.', '短评打分': 5}
{'短评内容': '酒店位置非常不错，距离周边的景点也比较近，去瘦西湖挺方便的.而且各方面服务和设施条件也很好.', '短评打分': 5}
{'短评内容': '不错，比较满意', '短评打分': 3}
{'短评内容': '在那里入住去杨州的几个著名景点很近，方便。如果所有房间都有窗户就更好了，卫生间缺少电吹风', '短评打分': 5}
{'短评内容': '周边就有公交车，离瘦西湖不远', '短评打分': 5}
