{'短评内容': '位置不错，酒店设施一般', '短评打分': 4}
{'短评内容': '酒店环境普通，给我的感觉就像你旅馆！', '短评打分': 4}
{'短评内容': '太差了，老旧不说，洗漱用品没有也不说，连卫生纸都没有啊！', '短评打分': 3}
{'短评内容': '环境极差。', '短评打分': 2}
{'短评内容': '最失败的一次住宿，非常非常的脏差', '短评打分': 1}
{'短评内容': '体验很差，潮湿，脏乱，打扫不及时', '短评打分': 3}
{'短评内容': '地理位置非常好，就在火车站附近，栈桥也在旁边，旅游景点有好几个就在其附近，坐车超级方便的，特别是前台的美女姐姐很热情，而且很亲切，就像自家姐姐一样，我们连续入住了三个晚上呢，是大床房，里面卫生也还好，整洁干净。只可惜旅游太累没有房间的照片可看，下次去了还会入住的', '短评打分': 3}
{'短评内容': '还不错，不过不会再去青岛。', '短评打分': 3}
{'短评内容': '去的时候老板说单子已经退了，我们没有收到短信，艺龙沟通后办理入住，让他清洁房间也没有清洁。', '短评打分': 3}
{'短评内容': '位置不错，到那时给了个半地下室，被老婆说了一顿，然后给携程客服打电话，再和前台协商给换的2楼，房间不大，价格偏高，可能是旺季的缘故吧。。。', '短评打分': 4}
{'短评内容': '条件环境不太好，在这地方也就这个价格了，住比其它城市高多了', '短评打分': 4}
{'短评内容': '位置还可以，价格相对环境来说有点偏高，可能是临近大海及旅游旺季的原因吧，房间有点小，住的不算舒服，喜欢大海的朋友可以考虑。', '短评打分': 5}
{'短评内容': '那叫酒店吗，就是一个半地下的旅馆，早上5点房间地板上都是水，房间太潮了，晚上还挺闷，就相当于一宿没睡，早上就赶紧把房间退了，后来去了“速8”酒店还挺干净不潮，住了3天。', '短评打分': 1}
{'短评内容': '离火车站真的挺近的，走路5分钟吧！房间还算是干净的，每天都会有人打扫，但是真的挺潮湿的，3天别想晾干一件衣服，哪怕是最薄的内裤，空调吹出的风都能冒白烟，可见冷、湿相遇的有多激烈！浴室挺大的，确实是24小时热水，但一会凉，一会热！总体来说还算凑合，去的时候比较贵，278标间！', '短评打分': 5}
{'短评内容': '总的来说还不错，问题就是隔音效果太差！楼上的服务员服务态度相当差！简直不可理喻！', '短评打分': 1}
{'短评内容': '离车站很近  交通很方便   床铺也挺干净   不错', '短评打分': 3}
{'短评内容': '交通便利，设施齐全。', '短评打分': 3}
{'短评内容': '很一般。凑合能住。床铺还算干净', '短评打分': 3}
{'短评内容': '地理位置好离栈桥只有几分钟，房价很干净服务很周到很满意下次还来这里住。', '短评打分': 5}
{'短评内容': '价格还可以~~不过第二天似乎没有打扫卫生啊~~床上还有我的头发呢...没有牙刷什么的~~态度很好~~', '短评打分': 5}
{'短评内容': '位置不错，价格可以。出门就能看到火车站，离海边只有500米的步行路程。', '短评打分': 5}
{'短评内容': '地理位置挺好的，就是房间有点老了，不太整洁，还有房间的窗户对着过道，隔音巨不好哦，不喜欢这样的感觉', '短评打分': 1}
{'短评内容': '地段超级好，紧邻火车站，不远处就是劈柴院和德国街景。服务可以，房间凑合', '短评打分': 5}
{'短评内容': '离火车站非常近，走过去五分钟左右，适合过渡一晚赶火车的人。', '短评打分': 5}
{'短评内容': '太烂了，地下室，并且早上5点就有人大喊大叫的，觉都没睡好…', '短评打分': 3}
{'短评内容': '很方便，酒店内环境卫生都还可以。就是夏天价格真高啊', '短评打分': 5}
{'短评内容': '旅馆位置离火车站很近，出门右转50米就是公交车站（栈桥站），离栈桥非常近，一天去两趟都一点不耽误玩，门口有小饭馆（口味一般），坐火车来的朋友很方便，旅馆多数房间没有窗户，一开门有股潮气味，过段时间才能适应，客房服务马马虎虎，没有一次性洗漱用品，要收费。图方便实惠的凑合住住还可以，讲究品质的不推荐。', '短评打分': 5}
{'短评内容': '人湶宾馆的特点是离青岛火车站很近，走路几分钟就到，对于乘火车的人来说很方便。宾馆规模不大，还算干净，服务尚可，价格也算合理。', '短评打分': 5}
{'短评内容': ' 环境卫生一般。', '短评打分': 3}
{'短评内容': '还算干净，有窗户的房间还蛮好的，中规中矩，对得起这个地段，这个价钱', '短评打分': 5}
{'短评内容': '宾馆服务很好，还可以寄存行李，距离火车站和乘坐机场大巴的地方都非常近。价格也可以接收！推荐！', '短评打分': 5}
{'短评内容': '环境还可以，离栈桥很近，游玩比较方便，就是一楼的房间有霉味比较严重。', '短评打分': 1}
{'短评内容': '都提供信用卡担保了竟然都没房，以后不会再预定这里了', '短评打分': 1}
{'短评内容': '房间偏小 总体还行   房费现金支付，不能刷卡', '短评打分': 5}
{'短评内容': '第一晚的房间好像地下室，第二天早上地上全是水，无语。第二晚调了一个房间，还凑合吧，但是服务员的态度相当好的。', '短评打分': 1}
{'短评内容': '总体来说,叫宾馆还是比较客观的.硬件设施与房价相比起来性价比不高,也许青岛作为旅游城市价钱就是这样吧.房间很小,浴室很小,窗户很小,看不到外面的风景(也没有什么风景,都被挡住了).这里算是青岛的老城区,逛来逛去后个人认为,如果选择300元以下的宾馆的话,这里就凑合了吧,毕竟只是晚上睡一觉.但是不可否认服务员的态度很好,由于是下午2点多的火车,和前台商量晚40分钟退房还是很痛快的答应了.交通很方便,', '短评打分': 5}
{'短评内容': '很方便的酒店。就是定的大床房定的时候说明是两人，结果入驻说是一人。', '短评打分': 5}
{'短评内容': '优点：火车站边上，交通方便，房间还算干净，服务态度也算好。\n缺点：只能算是一个小旅馆，简陋，设施陈旧。', '短评打分': 1}
