{'descr': '还可以', 'star': 5}
{'descr': '床不错就是那个，装修风格呀，黑乎乎的，让人看起来很不舒服。', 'star': 1}
{'descr': '只是平常酒店', 'star': 4}
{'descr': '早餐一般，周边还算方便', 'star': 3}
{'descr': '带早餐还行 镇上比较方便的连锁酒店，品质还不错', 'star': 4}
{'descr': '很好不错', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '位置有约，干净卫生，价格适中。', 'star': 5}
{'descr': '横林周边算是比较好的选择了', 'star': 4}
{'descr': '经常入住，环境很好，交通方便。单人房是圆床，很棒。出差横林首先酒店。前台服务员态度很好，给点赞', 'star': 5}
{'descr': '改好', 'star': 4}
{'descr': '多次入往了，来常州办事一直在这家住，价格实惠，还有早饭，很满意，这次带着小孩来常州的欢乐谷和恐龙园玩的。', 'star': 5}
{'descr': '房间够大够干净，比同价位汉庭如家档次要高，早餐丰盛，希望能尽快多开一些分店', 'star': 5}
{'descr': '中天钢铁出差附近比较适合的酒店，酒店门口比较热闹，出行还算方便', 'star': 4}
{'descr': '每次都住这，还是比价满意的。卫生打扫还算干净，只不过靠马路有点吵，窗户隔音效果不好，早餐也比较丰富，网速还可以，', 'star': 5}
{'descr': '性价比可以！111222222244445566', 'star': 4}
{'descr': '挺好的', 'star': 5}
{'descr': '会推荐的理由是便宜，环境真的不是很好，但是服务可以，蛮好的', 'star': 5}
{'descr': '很不错，不像前面说的很吵。房间干净，交通还算比较方便', 'star': 5}
{'descr': '房间整体设计合理，感觉温馨，是一间不错的经济型酒店。', 'star': 3}
{'descr': '还可以,设施有点陈旧了。', 'star': 3}
{'descr': '很好，很特别。床很有特色，地点也很好找。服务很热情', 'star': 5}
{'descr': '性价比不错的酒店', 'star': 3}
{'descr': '服务不错，就是不怎么干净，我们住的那间没窗户，觉得有点闷', 'star': 1}
{'descr': '很好的酒店，性价比很高。环境优雅，房间温馨，很喜欢。', 'star': 5}
{'descr': '还可以·就是不好找·还可以·就是不好找·还可以·就是不好找·还可以·就是不好找·', 'star': 5}
{'descr': 'good', 'star': 3}
{'descr': '感觉不错，就是很吵闹，地理位置不好，楼下就是菜市！！！以后看看其他酒店···', 'star': 5}
{'descr': '酒店的设施还是很不错的 很干净 就是外观上给人很陈旧的感觉', 'star': 5}
