{'短评内容': '环境优美，性价比高', '短评打分': 5}
{'短评内容': '酒店都好，就是不含早藏，也不可以加床，其它都挺好的。', '短评打分': 5}
{'短评内容': '酒店位置便利，有很大的停车场可以停车方便，环境不错，服务不错。', '短评打分': 5}
{'短评内容': '卫生清洁，客服周到，比想向的好许多，超赞，值得来桂林公干，旅游等首选入住的酒店。特别是周边吃饭，交通，游玩太方便]。', '短评打分': 5}
{'短评内容': '房间挺宽敞、舒适，大床挺柔软的，够2个人睡，房间内还有电水壶，浴室内有吹风机，电视也挺给力的，超清晰超流畅，主要价格还实惠，挺满意的。', '短评打分': 5}
{'短评内容': '我是去跑马拉松的，住这酒店，真的很值，性价比高', '短评打分': 5}
{'短评内容': '位置好，价格优惠，房间干净，离江边不远。', '短评打分': 5}
{'短评内容': '房间温馨舒适，东西样样有，床也舒适，价格也便宜，交通又方便，可以的喔。', '短评打分': 5}
{'短评内容': '好非常好，是十分好的。旅行的住宿条件非常满意。五星', '短评打分': 5}
{'短评内容': '墙纸新贴了，感觉比之前好多了，价格也优惠了，房间异味小了很多，热水很烫，洗澡很舒服，非常满意，以后出差还来住。', '短评打分': 4}
{'短评内容': '还不错，价格挺实惠的，住的802，房间简单，设施也不缺，舒适。', '短评打分': 5}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦啦', '短评打分': 4}
{'短评内容': '前台服务热情，预订的速度也快，房间宽敞干净，热水供应足，各方面服务佳。', '短评打分': 5}
{'短评内容': '服务态度好，地毯很柔软，位置非常好。', '短评打分': 5}
{'短评内容': '比较旧的设施', '短评打分': 4}
{'短评内容': '位置好，干净卫生', '短评打分': 5}
{'短评内容': '设备设施老化很厉害，不推荐', '短评打分': 3}
{'短评内容': '环境不错，设施齐全，服务好！！！', '短评打分': 5}
{'短评内容': '设施有些旧了，枕头散发着幽幽地怪味，我能坚持住一晚上真牛*', '短评打分': 3}
{'短评内容': '位置好，就在火车站旁，到机场坐机场大巴也走不了多久。酒店档次还行，至少是属于商务型酒店，定的109一晚的限量秒杀标间的确比较划算，房间虽然不大，但也还凑合，没有有线，只有wifi，但信号只有靠门才好点，还好带了个便携路由器，在门口做个中继就OK了。', '短评打分': 5}
{'短评内容': '酒店环境位置都不错，离火车站很近，交通比较便利，房间环境也很不错，房间挺大，干净，舒适', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '不错那里，就是特殊电话比较多。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '总的还可以  简洁   没有什么不满意的地方  最大优点是离车站近  交通方便', '短评打分': 5}
{'短评内容': '酒店位置十分方便，房间里很干净房间宽敞还有阳台，大堂环境一般但前台MM服务态度很好很不错的一个酒店', '短评打分': 3}
{'短评内容': '前台服务的MM态度很好，很热情；房间环境也很不错！', '短评打分': 5}
{'短评内容': '这也能叫酒店？酒店楼上还是旁边就是KTV，晚上一直吵到半夜2点多，根本不能睡，窗关了跟没关一样，房间门口的楼梯在施工，早上7点就开始电锯声铲水泥声等等扒拉扒拉响，跟睡在露天工棚没有区别，一晚没睡，8点赶紧退房逃之夭夭。', '短评打分': 1}
{'短评内容': ',受到热情接待!', '短评打分': 3}
{'短评内容': '酒店环境位置都不错，服务很热情，推荐下。', '短评打分': 5}
{'短评内容': '相当不错的酒店，在火车站旁边，早餐要另外付10元钱，总体还不错！', '短评打分': 5}
{'短评内容': '酒店离火车站很近，交通方便，房间挺大，干净', '短评打分': 5}
{'短评内容': '良好', '短评打分': 3}
{'短评内容': '桂林东方明珠大酒店，有旧楼与新楼之分，如果是B就是在旧楼。环境一般，比较干净。', '短评打分': 3}
{'短评内容': '总体来说还可以，交通比较便利，房间很大，因为到店时间比较晚，没有看酒店的外观，但是内部设施旧了点，没订到大床房，比较可惜', '短评打分': 5}
{'短评内容': '貌似还 蛮不错的，不过没对比也就没好坏之分', '短评打分': 5}
{'短评内容': '卫生条件一般，设备太旧，我住在副楼走道也相当不干净', '短评打分': 1}
{'短评内容': '首先声明，我住得是特价房，是朋友推荐去的。但我的感受是：服务不能因为价低而打折扣。房间不干净，尤其是枕套上面有黄渍，掀开被子，床单上竟然有头发，我恶心的几乎一晚上没睡觉。这件事告诉我：世界上没有免费的午餐。以后我打死也不会住这个酒店了。', '短评打分': 1}
{'短评内容': '酒店位置和环境不错，靠近火车站和民航大厦，去市区景点坐车挺方便。酒店也蛮舒适。', '短评打分': 5}
{'短评内容': '离火车站近，夜抵桂林方便安全。特价房所在的B楼较陈旧，但房间空间较大，服务还可以，总的讲较实惠。', '短评打分': 5}
{'短评内容': '环境还好，房间很大。交通很便利', '短评打分': 3}
{'短评内容': '酒店位置比较好找，一出火车站就能看见，但是房间真的不怎麽样，特价房在马路旁边，一晚上就跟汽车的噪音相伴，吵了一晚上', '短评打分': 3}
{'短评内容': '对这家酒店真是无语，前台服务太恶劣，说话的语气可以气死一头牛，房间卫生很一般，位置还可以，楼下有一家毛家饭店，味道貌岸然不错。', '短评打分': 1}
{'短评内容': '很旧，绕了15分钟才绕到客房，相当不好~~~~~', '短评打分': 1}
{'短评内容': '服务一般，同样的价格在桂林完全可以住更好的，浴室里事先没有浴巾和拖鞋，送来的电吹风还是咔嚓咔嚓响的，可能有得人会说“特价房就这样”，但是也相差太大了吧！反正我下次是肯定不会再去了！', '短评打分': 1}
{'短评内容': '价格太高，环境吵闹，设施老化。火车站很近，乘火车方便。离机场大巴乘车点也很近。', '短评打分': 1}
{'短评内容': '本人11月下旬入住1天，设施、卫生、交通方面都不错，前台服务效率不错，但是客人到来与客人离开时，不向客人问好，显得冷漠。', '短评打分': 1}
{'短评内容': '交通方便交通方便交通方便交通方便交通方便', '短评打分': 5}
{'短评内容': '在火车站对面，位置非常好，交通便利。环境也还行。', '短评打分': 5}
{'短评内容': '酒店位置不错，就在火车站附近，出了火车站就看见了，大厅也还将就，就是我住的特价房，房间没有暗锁，但是还有个小阳台，就是没有窗户，总体还是可以。。。', '短评打分': 5}
{'短评内容': '很差\r\n入住：到前台办理，被告知无预订，服务员找了好半天也没见定单，把我给吓坏了，心想难道是EL没定，可我收到确认短信了，服务员看了看我，把手机短信看了又看，才说：我先帮你办理，毕竟你现在到前台了，这话让我听完当时就郁闷，很不情愿的接受一个客人？办理完上房间了，一进门确给开了个双床房，明明定的是大床房？后来询问前台，是否弄错了，服务员正正有词的讲，你这定单上没注明（大床或双床房）这种失误自怎么会出', '短评打分': 1}
{'短评内容': '己成功顺利入住东方明珠', '短评打分': 5}
{'短评内容': '设施还蛮新的，就是卫生情况一般，要是有消毒就好，地理位置好火车站对面', '短评打分': 5}
{'短评内容': '+交通非常方便。离火车站和汽车站都很近。', '短评打分': 5}
{'短评内容': '最失败的就是订这个酒店\r\n跟个招待所没什么分别\r\n很差', '短评打分': 1}
{'短评内容': '东方明珠这家酒店设施配置一般，中规中矩的酒店，房间采光还不错。', '短评打分': 5}
{'短评内容': '酒店的服务很不错，态度很好，做事情很认真效率很高。', '短评打分': 5}
{'短评内容': '酒店还是比较舒适的，床比较宽敞。睡眠也很不错。', '短评打分': 5}
{'短评内容': '亮点是卫生间不错，清洁条件也挺好。\r\n离火车站的位置一般近。\r\n不足的是前台的美女板住张脸好似别人欠她钱，态度也有点爱理不理的。', '短评打分': 5}
{'短评内容': '房间布置的很温馨，舒适度很好，环境配置都比较全，可以推荐入住。', '短评打分': 5}
{'短评内容': '酒店的设施配置比较完善，房间空间还是比较好的，布局也很不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，离火车站特别的近，而且周边有很多旅游公司，出去玩很方便的！', '短评打分': 3}
{'短评内容': '酒店服务态度好，卫生条件好，交通便利，适合旅游在外的人定住。', '短评打分': 5}
{'短评内容': '交通便利，很舒适', '短评打分': 5}
{'短评内容': '房间打扫的很干净，早上有自助早餐，挺满意的。', '短评打分': 5}
{'短评内容': '周围有挺多小吃店，生活还算便利，房间的设施很新，也够用，不错。', '短评打分': 5}
{'短评内容': '就嗲那位置不错，对面不远就是火车站，回程很方便的。', '短评打分': 5}
{'短评内容': '很不錯的地段，，交通相當便利', '短评打分': 5}
{'短评内容': '极其差劲、连快捷酒店也不如！！！', '短评打分': 1}
{'短评内容': '因为是大年三十入住酒店，基本没有服务，想借用下微波炉，酒店所有部门都说没有，这个大的酒店，员工不吃饭？会没有么？据保安说有，可是酒店的工作人员不肯服务，因为是过年，所以就可以不做多的服务么？大年三十和初一初二的价格都在递增的，服务是否能递增？酒店自己的停车场费用是1天10元，入住酒店还需要停车费，1天300元的酒店基本没有服务！不推荐', '短评打分': 1}
