{'短评内容': '离山大很近，环境不错。', '短评打分': 5}
{'短评内容': '卫生间环境，热水，不敢恭维，建议大家下次还是提前多看看评价。或者还是住个正儿八经的旅馆吧，这个条件确实有些坑', '短评打分': 1}
{'短评内容': '这就是学校的一个家庭客栈非常一般，电视都没有房间也没窗，床单不换，气味很大，价格又高，不会再住了。', '短评打分': 2}
{'短评内容': '服务热情，卫生干净', '短评打分': 5}
{'短评内容': '整体环境不错，老板比较热情', '短评打分': 5}
{'短评内容': '地理位置非常好，旁边就是山大，老板人也非常好，还送了面膜，以后如果再有考试什么的也一定住这里，而且周边的饭店也很多', '短评打分': 5}
{'短评内容': '老板是一个60来岁的阿姨，人很好，半夜的时候感冒发烧，她还带着我出去买药，异地他乡感受到温暖，很感谢～～～', '短评打分': 5}
{'短评内容': '周围环境很方便，就是价格贵，档次低，基本就是火车站门口小旅馆的档次', '短评打分': 1}
{'短评内容': '不得不说真是好极了！就是临近高峰期涨价了。不过是大家都涨价啊。。店家地理位置好！服务一流，送了小礼物还请吃饭，真是热情的不得了！', '短评打分': 5}
{'短评内容': '公共卫生间 请注意', '短评打分': 4}
{'短评内容': '当时觉得方便就选了这家，离金沙滩步行十分钟，山东大学出门就是，国际海水浴场打车五分钟，金沙滩比海水浴场脏多了，到处是螃蟹屎海水很臭。因为提前20天就定了，158定的，当日实价老板说269，地方不大，独立卫浴有的，但204房间实在不算干净，破旧，到处是虫子，一楼瞄了一眼其他房间都比我们房间干净。第二天换到国际海水浴场对面的海景公寓390。老板热情，后面有晾衣绳洗衣服很方便，价格很便宜。', '短评打分': 3}
{'短评内容': '老板挺热情，周边吃东西非常方便，到海滨浴场也不算远！但房间条件有限，空间比较小！', '短评打分': 4}
{'短评内容': '酒店干净，整洁，安静，可上网，交通便利，服务态度好，推荐入住。', '短评打分': 5}
{'短评内容': '装修还可以，老板人蛮好，但是带卫生间的房间不多', '短评打分': 5}
{'短评内容': '客栈的环境不错，很有特点，老板人很好啊，价格也很合适。', '短评打分': 3}
{'短评内容': '很有特色的酒店，就在山大东门附近，位置好。价格比较合理，就是使用空调要额外交钱！\n', '短评打分': 5}
