{'短评内容': '吃东西很方便', '短评打分': 4}
{'短评内容': '这也能称得上酒店？！在国内恐招待所也算不上吧！不知道其他给高分的是不是托。没写过评价，这次写一下供后来人参考。此店在佐敦地铁站附近的德兴街上一个居民楼里，有五个房间的样子。按地图位置找过去，肯定不容易发现它，因为门口，包括二楼所谓接待处（哪里是接待处，就一家里的客厅）都没有悬挂任何标志。房间布置见图片，大小8个平米，凑合一下也能住一晚。通常酒店配套的东西就别想了，譬如洗发水、转换接头（沐浴露是有的', '短评打分': 1}
{'短评内容': '老实说八百多/晚周末价格无所谓了，这是家庭房不是酒店，比较难找，问题在于环境太过嘈杂，楼上隔音不好总是有声音，空调声音太大，被单过敏，一整晚没睡着呀。。。出来玩希望大家可以提前几天预定好点酒店！thanks.', '短评打分': 2}
{'短评内容': '酒店老板很好', '短评打分': 5}
{'短评内容': '服务很差，房间没有烧水壶，问老板要口开水都没有。到处都是迷信偶像，氛围很差。再也不会去了。', '短评打分': 3}
{'短评内容': 'the location is good and good for looking for food and shopping. The picture of the hotel is totally wrong. ', '短评打分': 3}
{'短评内容': '一般，若其他地方沒有房間又必須找地方住一晚，尚可接受。一般，若其他地方沒有房間又必須找地方住一晚，尚可接受。', '短评打分': 3}
{'短评内容': '安静，舒服，就是没能充电，转接头要钱这点不好', '短评打分': 5}
{'短评内容': '黑、脏、暗、潮，不如住高层公寓', '短评打分': 1}
{'短评内容': 'Good location for Kowloon area. Stayed over the weekend for an event.....good stay ', '短评打分': 4}
{'短评内容': '一般般！', '短评打分': 3}
{'短评内容': '这个地理位置不错，但是空间配置真的一般.可能因为香港寸地如金吧。', '短评打分': 5}
{'短评内容': '不错，干净，周边方便。', '短评打分': 5}
{'短评内容': '老板很好，我们玩玩到晚上1点才去酒店，老板娘一直等到那个时候。并且房间卫生也挺不错的！', '短评打分': 4}
