{'短评内容': '酒店卫生还算不错，老板也很热情，家具摆件有点差了。', '短评打分': 4}
{'短评内容': '没有接送服务，酒店位置不错，自己找也很容易。房间较干净，就是只有毛巾没有浴巾。总得来说：满意。', '短评打分': 5}
{'短评内容': '京东预定很方便，就在西栅西门出口的地方，很方便！！！', '短评打分': 3}
{'短评内容': '酒店在乌镇西栅门口，去景区非常方便，老板人也很好，特意联系车到杭州接我们，在他们家住宿吃饭还打八折的，菜的味道也不错的说，还会推荐朋友去。', '短评打分': 5}
{'短评内容': '老板的服务不错。房间挺干净的，强烈推荐！', '短评打分': 5}
{'短评内容': '这个酒店位于景区大门正对面，老板和老板娘人很好，热情周到，饭菜十分可口，房间打扫的十分干净，价位合理，推荐！', '短评打分': 3}
{'短评内容': ' 老板热情，房间性价比髙，老板推荐的白鱼好吃', '短评打分': 3}
{'短评内容': '房间干净、整洁，服务较好，就是没有找到无线网额。', '短评打分': 5}
{'短评内容': '虽然是网上预订，也还是不错滴，打电话给老板，亲自开车来接，态度很好，在酒店吃饭也优惠，总体感觉还可以，以后有机会还住你们酒店。', '短评打分': 5}
{'短评内容': '房间大,离西栅东门很近,老板一家很热情!', '短评打分': 3}
{'短评内容': ' 房间内整洁、宽敞。楼上是住宿 楼下酒店有吃，不错！', '短评打分': 3}
{'短评内容': '店很干净，主人很热情，就是菜有些贵', '短评打分': 3}
{'短评内容': '我们于7月20日到达乌镇，该酒店老板娘开车到车站来接，人很热情，且该酒店离西栅非常近，只走几步就到景区大门口了，房间也很卫生，出游在外，第一就是要找好的住宿，只有睡得好，才有精神游玩！所以向大家推荐这家酒店。', '短评打分': 5}
{'短评内容': '酒店在乌镇大门对面，还可以吧，楼下可以吃饭，住房有折扣。', '短评打分': 5}
{'短评内容': '酒店很小，但是服务很好，还算干净。只是觉得洗手间有点小。', '短评打分': 5}
{'短评内容': '很好的店家，很棒的老板，推荐、推荐。干净、设施好', '短评打分': 5}
{'短评内容': '离景区挺近的，房间很大很宽敞，很干净，到酒店老板给换了一间三人间200元，也不贵，老板非常好，好人会有好报的哦！以前的没窗户的房间就没住，只是有小小的缺点：临近主路有些吵，我是个睡觉很轻很轻的人，干医生的值夜班值出的职业病！其他都很不错。他家一楼是酒楼，做饭的味道很好，尤其是鱼，鲜美极了，一定要尝尝哦！门口停车方便的很。如果再去会再住的！自己开车去的，从北京过南京到西塘再到乌镇，一路都很不错，只是', '短评打分': 5}
{'短评内容': '＋酒店不错，干净方便，老板也热情', '短评打分': 3}
{'短评内容': '性价比不高，还是建议在园区里住，名宿之类的还是感觉好的', '短评打分': 1}
{'短评内容': '房间挺宽敞的，还比较干净。主要是老板娘的服务非常热情。棒。', '短评打分': 5}
{'短评内容': '很干净，睡得很舒服！', '短评打分': 3}
{'短评内容': "万顺酒楼很清爽，服务态度是江南水乡式的温柔。空调＋24小时的热水很稳定。西栅夜景真是美，特别是在那么大的雨中和那么多的人。第二天，呵呵，象秋天。听说，乌镇不多下雨，而且刚经过一周的酷暑（气温＞37'C）。一切顺心！", '短评打分': 3}
{'短评内容': '旁边个中学，学生课件会出来打篮球。这个没什么，但可以看到基站~~有点辐射，呵呵', '短评打分': 5}
{'短评内容': '非常好，房间特大，而且便宜，离乌镇的东门也很近，楼下吃饭还可以打折，下次还是再去。', '短评打分': 5}
{'短评内容': '酒店很好找，晚上很安静，来乌镇旅行推荐选择，而且价格便宜', '短评打分': 3}
{'短评内容': '房子大，', '短评打分': 3}
{'短评内容': '各方面都挺好的  可以入住   马桶不好用', '短评打分': 5}
{'短评内容': '酒店设备一般，但干净卫生!楼下也有吃的。挺方便的，赞一个!最重要的是离西栅近!', '短评打分': 3}
{'短评内容': '这是我住的不错的一家酒店，价位很低，房间也很大，老板也很热情。。。主要是离西栅很近哦。。。', '短评打分': 5}
{'短评内容': '万顺酒家还行，虽然价钱贵了些，但老板人很好，很热情。房间很干净，就是厕所有气味，没有窗户通外面的原故吧！给个好评。', '短评打分': 3}
{'短评内容': '学校旁边很安静，休息的很好，早点很赞的说~', '短评打分': 5}
{'短评内容': '很近西栅，房间蛮大，基本设施都齐全。被铺很干净，美中不足的就是洗手间的排气扇是坏的，希望老板能快快修好，毕竟有安全隐患在。老板会到车站接送，蛮赞的。', '短评打分': 5}
{'短评内容': '位置很好，就在西栅大门口，内部环境还行，卫生也还行，性价比很高，很满意。', '短评打分': 5}
{'短评内容': '今天刚回来，就来点评了。这次住的这家万顺楼酒店总体还是不错的。从汽车站到酒店很方便。也就二十分钟左右就到了。313，350这两趟车都可以到的。酒店就在西栅的斜对面，去西栅很方便。第一顿饭就在他们家吃的。油闷茄子特别好吃，酱鸭一般，炒螺丝不错，西红柿蛋汤不错，米饭也很好吃。价格也蛮公道的。房间整体还蛮干净的，就是蚊子多了点，因为价格也不贵，所以感觉还不错的。', '短评打分': 5}
{'短评内容': '老板人很好，房间也不错，地点方便就在西栅的景点对面。就是告诉错了到苏州的班车时间，导致我们错过了一班车', '短评打分': 5}
{'短评内容': '干净，安静，楼下就是饭店，做的饭菜不错，挺好的', '短评打分': 5}
{'短评内容': '住在202，比较简单。大体卫生还行，但是毛巾之类的估计没人用过也就没有洗了。晒毛巾的架子也生锈了。短暂停留，还行。比起景区内的房间当是是特特便宜了。。', '短评打分': 5}
{'短评内容': '酒店很干净，老板人很好!', '短评打分': 3}
{'短评内容': '还行，挺干净。', '短评打分': 3}
{'短评内容': '房间大、地理位置好、环境很好，老板也不错，总体特别满意。在酒店买了6大盒胎菊，感觉也还好。吃饭老板还主动给打折了~', '短评打分': 5}
{'短评内容': '酒店位置非常好，就在西栅景区大门外，但房间真的简单了一点！', '短评打分': 3}
{'短评内容': '老板和老板娘，都非常好！这是一家很有人情味的酒店，最后要离开时，老板的弟弟还帮我留意了去杭州的包车，还帮忙砍了价，50块钱到杭州。非常棒！\n刚到酒店时，我不知道路，从绍兴过去，打电话问老板，老板很耐心地跟我说了路线，还跟我说要注意哪些，车费是多少都跟我讲，叫我不要被的士宰了。因为太晚了没车，我打的到乌镇，老板娘还特地出来接我，还帮我提行李，让一女人帮我提那么大我行李，还当真不好意思，无奈老板娘盛情', '短评打分': 5}
{'短评内容': '位置不错，老板挺好，整体的性价比还是不错的。', '短评打分': 5}
{'短评内容': '老板人很好，酒店也很干净，离西栅真的很近', '短评打分': 3}
{'短评内容': '位置不错一排都是酒店正对西栅入口离锦江之星不是行远', '短评打分': 5}
{'短评内容': '很干净，价格也划算，不错~老板很热情！推荐大家去', '短评打分': 5}
{'短评内容': '总体感觉还行，光线好，窗户还设有凉衣服', '短评打分': 3}
{'短评内容': '酒店的地理位置非常好~就在西栅东门对面~酒店很干净~老板服务很好~顶一下!打满分!', '短评打分': 3}
{'短评内容': '酒店的位置不错，离西栅很近，我们是中午到的乌镇，老板派车去接，很热情。房间住的也舒服。', '短评打分': 3}
{'短评内容': ' 很方便，不错', '短评打分': 3}
{'短评内容': '房间很干净，楼下饭店的口味也很好！老板还给打了折！下次还住这…', '短评打分': 3}
{'短评内容': '老板很热情，房间也不错，老板很热情，房间也不错', '短评打分': 5}
{'短评内容': '老板人很好，因为去的时候房间充裕直接帮我们升级了标间，卫生情况还是可以的，但是被褥有的有异味可能淡季不能及时清洗吧', '短评打分': 5}
{'短评内容': '很干净 就是设施很简单的民宿 楼下餐厅的菜也很好吃', '短评打分': 5}
{'短评内容': '酒店非常不错，并且离西栅很近，住得很舒服，服务蛮好！', '短评打分': 5}
{'短评内容': '在西栅景区外，东大门入口旁，老板不错，房间蛮大，卫生还可以，卫生间会积水，不要期望细节，就一普通的家常房间。不过来乌镇玩建议住景区内，我是晚上到的，买了夜景票，第二天又买票进去，一家人多花了好几百门票钱。', '短评打分': 1}
{'短评内容': '  酒店卫生非常好 位置很好 距离景区非常近 老板帮助拿行李 饭菜还打折 性价比很高', '短评打分': 5}
{'短评内容': '很好，很不错。下次去了还在这住，方便，经济实惠', '短评打分': 5}
{'短评内容': '酒店位于乌镇西栅东门景区门口不远处，老板很热情，房间够大，一开始我们订的是标房，后来跟老板说我们多了一个人，老板很快的就帮我们换了3人间，唯一的缺点就是外面的汽车噪声有点大，影响清晨的休息', '短评打分': 5}
{'短评内容': '谈不上好也不至于坏，中庸吧，总体还行，位置确实不错，西栅东门门口附近', '短评打分': 1}
{'短评内容': '烧的菜味道不错，房间也还好，就在西栅对面很近，只可惜家里的猫猫没机会近距离接触，只能远远的看几眼', '短评打分': 5}
{'短评内容': '还不错，挺热心的。', '短评打分': 3}
{'短评内容': '房间很大很干净,老板也热情,下次还会来。', '短评打分': 3}
{'短评内容': '这个价格还是可以的…就是这里的菜有点小贵…', '短评打分': 3}
{'短评内容': '物有所值，110住的还是不错的！', '短评打分': 3}
{'短评内容': '酒店房间不错，干净，整洁。老板服务态度也好，距离西栅很近。', '短评打分': 5}
{'短评内容': '不错，酒店蛮干净，离西栅景点非常近\n老板也很热情，下次有机会还会住在这', '短评打分': 5}
{'短评内容': '老板很好，吃饭也在这家店，还给我们打折，做的挺好吃的', '短评打分': 5}
{'短评内容': '老板不错，很热情，房间也比较干净，设施也比较好。', '短评打分': 5}
{'短评内容': '老板很热情，房间也干净。最主要价格公道。不错哈~~', '短评打分': 5}
{'短评内容': '乍到乌镇，老板人很热情，房间总体卫生还可以，只不过床有点硬，拿了两间房，热水器视乎容量有点小，一个人洗还好。\n因为时间关系，没有尝到老板的好菜好面，下次有机会去还住这家', '短评打分': 5}
{'短评内容': '就在西栅西大门对面，位置很好，老板人也很好，房价合理。老板家楼下是饭店，菜价也很合理，值得推荐！', '短评打分': 5}
{'短评内容': '，地址没的讲，住宿条件一般！', '短评打分': 3}
{'短评内容': '虽然是民宿 但也不能随便透露客人信息啊！建议去乌镇的 住西栅里面的民宿 虽然可能有点小贵 但是省了门票 感觉很好 后悔了~', '短评打分': 1}
