{'短评内容': '环境挺好，房间也蛮大的！整体不错', '短评打分': 5}
{'短评内容': '还算可以吧', '短评打分': 3}
{'短评内容': '还算可以吧', '短评打分': 3}
{'短评内容': '真心不错，性价比还是蛮高的。', '短评打分': 5}
{'短评内容': '环境不错挺宽敞，房间里电话都不能打（座机）', '短评打分': 3}
{'短评内容': '房间挺大', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '你是我的小视频？我是个性细胞再生功能的', '短评打分': 5}
{'短评内容': '你的时候你会发现自己真的很难看着我的小时候', '短评打分': 5}
{'短评内容': '还可以，来了几次了', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好，棒极了', '短评打分': 5}
{'短评内容': '很好，经常住，喜欢。之后还会住', '短评打分': 3}
{'短评内容': '酒店在高速出口的附近，很便利，房间那是非常的大，干净度么也还ok，客房服务也蛮热情，总体来讲性价比不错，还回来哦。', '短评打分': 4}
{'短评内容': '我常住这里、还不错', '短评打分': 5}
{'短评内容': '房间相当的大，性价比相当的高', '短评打分': 4}
