{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '不想说什么，唉', '短评打分': 3}
{'短评内容': '随便住住的地方', '短评打分': 3}
{'短评内容': '性价比还行，条件一般吧。', '短评打分': 3}
{'短评内容': '酒店前台的服务很热情呢！满足我的要求没有给我安排靠近电梯的房间。进了房间，感觉也不错。设施都齐全，地段这么好的地方，房价很实惠！', '短评打分': 4}
{'短评内容': '地处闹市，交通方便，购物饮食便利，再次入住。', '短评打分': 5}
{'短评内容': '地处闹市，交通方便，购物饮食便利。', '短评打分': 5}
{'短评内容': '网络不好啊。', '短评打分': 4}
{'短评内容': '宾馆年代有点老了', '短评打分': 3}
{'短评内容': '地段蛮好，特价房算便宜的', '短评打分': 4}
{'短评内容': '房间空间很大，但床非常小，整体不协调，睡的很安静', '短评打分': 3}
{'短评内容': '离办事地点近，周围吃的很多，交通也方便', '短评打分': 3}
{'短评内容': '住了好多次了，大致还行，停车方便，吃的多周围', '短评打分': 4}
