{'短评内容': '房间不大，放2张床后稍显拥挤，不过我的要求不高影响倒也不大，但是房间很不隔音，凌晨4点多时走廊上可能是做卫生的师傅推着车在走，哗啦哗啦地响，人一下子惊醒了，就跟在耳朵边上闹似的好半天没睡着，房门看起来不安全哦，对于女生来说的话。', '短评打分': 5}
{'短评内容': '一分价钱一分货，这个价钱也就这个样子。', '短评打分': 4}
{'短评内容': '噪音大，紧邻大路，窗户隔音差。', '短评打分': 3}
{'短评内容': '很小这个价格感觉太贵了，不过国庆期间都这样！', '短评打分': 4}
{'短评内容': '离苏大很近，方便，卫生也不错', '短评打分': 4}
{'短评内容': '还好，国庆抬价，比较贵，房间设备还算新，房间自带香水，楼下就是超市，比较方便，公交站也不远，要步行去景点还是比较久', '短评打分': 4}
{'短评内容': '房间里面很干净，大堂工作人员也很耐心友善，周边环境不错，交通也很便利，坐公交车就到了，感觉性价比很高啊', '短评打分': 5}
{'短评内容': '挺好的 比他家便宜', '短评打分': 5}
{'短评内容': '设施比较旧，不过这个价钱还可以吧', '短评打分': 4}
{'短评内容': '只住了一晚，早上退房，房间比较小', '短评打分': 3}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '挺好的，很方便！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间门不灵敏，灯光很暗，最主要是蚊子多！一夜都在逮蚊子！', '短评打分': 3}
{'短评内容': '考试时住的 周边环境比较便利 但是宾馆感觉很旧 不够卫生 地板也是破的', '短评打分': 1}
