{'短评内容': '住了好几次了！环境还不错停车方便', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '挺好的吧。', '短评打分': 5}
{'短评内容': '位置还行，离高架桥近，噪音还是有的，住的房间总是有股尿骚味，女朋友说貌似地毯上有人尿地上了。', '短评打分': 4}
{'短评内容': '房间好大…很不错哟…', '短评打分': 5}
{'短评内容': '还是很不错的', '短评打分': 5}
{'短评内容': '住着很舒心  环境不错 很温馨', '短评打分': 5}
{'短评内容': '还不错的，房间很好，价格不错，尤其是在国庆', '短评打分': 5}
{'短评内容': '前台服务很热情，房间内部环境挺不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好的酒店就是大厅在写字楼的一楼 早餐比较简单但是房间还是比较干净被单也很舒服网络也挺好适合商务出差及自驾游停车场要收费但是酒店报销', '短评打分': 5}
{'短评内容': '很好的酒店就是大厅在写字楼的一楼 早餐比较简单但是房间还是比较干净被单也很舒服网络也挺好适合商务出差及自驾游停车场要收费但是酒店报销', '短评打分': 5}
{'短评内容': '很好的酒店就是大厅在写字楼的一楼 早餐比较简单但是房间还是比较干净被单也很舒服网络也挺好适合商务出差及自驾游停车场要收费但是酒店报销', '短评打分': 5}
{'短评内容': '很好的酒店就是大厅在写字楼的一楼 早餐比较简单但是房间还是比较干净被单也很舒服网络也挺好适合商务出差及自驾游停车场要收费但是酒店报销', '短评打分': 5}
{'短评内容': '很好的酒店就是大厅在写字楼的一楼 早餐比较简单但是房间还是比较干净被单也很舒服网络也挺好适合商务出差及自驾游停车场要收费但是酒店报销', '短评打分': 5}
{'短评内容': '这家酒店性价比很高。', '短评打分': 5}
{'短评内容': '酒店不错，房间够大的。唯一不好的地方就是只有有线电视，还不清楚都是雪花点。现在都是网络电视了，这点有待改进啊。', '短评打分': 5}
{'短评内容': '依旧很好！', '短评打分': 5}
{'短评内容': '就是位置稍微偏点', '短评打分': 5}
{'短评内容': 'Good................', '短评打分': 5}
{'短评内容': '可以挺好的', '短评打分': 5}
{'短评内容': '一般都住四五星酒店，难得一次住速8，朋友代订的大床房，房间宽敞，还算满意！只不过酒店毛巾需要更换，太会节约成本了！酒店管理还不算严格，门缝卡片一大堆，值得改善！自助早餐太简单话，总体还算满意！200多房价物有所值！', '短评打分': 3}
{'短评内容': '酒店位于高架旁，出行较方便，开车5分钟左右有很热闹的街面，最大的特点是房间很大，宽敞，住着觉得很舒心。', '短评打分': 4}
