{'短评内容': '感覺有點鬱悶，沒以前的住的舒服。不過去西湖河坊街蠻近的', '短评打分': 5}
{'短评内容': '一般般，房间小的可以，，这个价格，。。就是贵了点，，贵了点。。。没地方住才去得，环境是不错的', '短评打分': 5}
{'短评内容': '房间好小~~~~~~~~~~~不过位置还是不错的~~~~~', '短评打分': 1}
{'短评内容': '房间走廊有股臭味，地毯很脏，都黑黑的。酒店服务人员态度不好，咨询服务人员时，还一问三不知，问什么都说不知道。对地段一点都不熟悉。服务人员的素质有待提高。', '短评打分': 1}
{'短评内容': '房间小，感觉不是很干净。路段还行。附近有很多选择，显得性价比不高。', '短评打分': 1}
{'短评内容': '位置还是比较中心，不错的选择，挺有创意的，下次还会入住。', '短评打分': 5}
{'短评内容': '房间小，隔音差，服务不错，总体一般般', '短评打分': 3}
{'短评内容': '其他都还好，就是半夜有位歌神一直重复哼着同一首歌！有点闹！差点崩溃！', '短评打分': 3}
{'短评内容': '服务周到，环境优雅，交通方便，地处武林商圈繁华地段。价廉物美。', '短评打分': 5}
{'短评内容': '条件差点', '短评打分': 3}
{'短评内容': '不错，挺有意思的!位置离哪里都不远~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '还可以 主题的细节不太好', '短评打分': 3}
{'短评内容': '服务态度都挺好的，住房环境一般吧，比较经济型的酒店适合年轻人', '短评打分': 5}
{'短评内容': '房间干净整洁，地理位置佳，价钱也还合理，总的来说还是不错的，', '短评打分': 5}
{'短评内容': '房间整体舒适 设备齐全 服务还算良好', '短评打分': 3}
{'短评内容': '位置步行至武林广场10min左右，交通方便。特价房无窗，比较潮湿。有网口但是没有公共上网的机器（和青旅对比）。其他方面一个人住也还可以了。', '短评打分': 5}
{'短评内容': '动漫主题 ，挺新鲜的。房间还不错哦，不过就是隔音太差了，两间房就隔薄薄的一层空心板，隔壁说话听得一清二楚', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '一般、、没窗户，有味道，没什么特别的，还有就是隔音效果不怎么样。', '短评打分': 5}
{'短评内容': '酒店主题不错，很温馨，但是单人房有些太小，价格节假日蛮贵的。。。。。。。。。。。。。。。。。。。。.............', '短评打分': 5}
{'短评内容': '酒店主题不错，很温馨，但是单人房有些太小，价格节假日蛮贵的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还行、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '服务态度不是很好    宾馆还在装修 上次去', '短评打分': 1}
{'短评内容': '酒店交通很方便，房间设施不错，服务态度很高，有家的感觉。', '短评打分': 5}
{'短评内容': '环境、服务、房间都不错。。就是主题房需要提前好几天预约。。。。', '短评打分': 5}
{'短评内容': '房间还可以，虽小但五脏俱全。不足的地方有三点：1，没有桌子，放电脑的台太小；2，洗澡的时候下水道流水太慢，容易积水；3，最大的毛病，，，不隔音，，，', '短评打分': 5}
{'短评内容': '住了第三次了，前两次都挺好的，这次花了178元钱，结果分配的房间很差，还没有上次138的房间好，墙皮都掉了，想想住一晚上就算了，也没去换，如果138元住这间就算了，178元的精致单人间竟然是这种，心情不舒服。对这次的入住对此酒店打了折扣。', '短评打分': 5}
{'短评内容': '   比较差，198的房间就放的下一张床，一个卫生间，被单没洗干净，有点发霉，前台服务较差。。。。。。。。。。', '短评打分': 1}
{'短评内容': '＋同样的价格还不如住锦江之星。', '短评打分': 3}
{'短评内容': '房间有点发霉…', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '  房间小，墙壁发霉，隔音差，是我在浙江住过最差的宾馆！', '短评打分': 3}
{'短评内容': '挺好的，房子挺干净的，住的也停舒服的，离购物中心很近旁边吃饭的地方也方便', '短评打分': 5}
{'短评内容': '第一次住，正好是墙上没有漫画的房间，有点失望，跟布丁，鲜屋差不多', '短评打分': 3}
{'短评内容': '各方面尚可，不满意的是房间墙壁有些发霉，不怎么舒服。', '短评打分': 5}
{'短评内容': '酒店不错，就是房间太小了，比起在萧山住的差的太多了，同样的价位差别很大，但是市中心这个价格也就这种房子了', '短评打分': 5}
{'短评内容': '这个酒店很有创意很有意思！都是动漫的！我觉得女生肯定超级喜欢的！价格也不贵', '短评打分': 3}
{'短评内容': '地理位置还OK，价格偏贵，而且我们还不是主题房', '短评打分': 5}
{'短评内容': '还不错，可以去住住，就是没有窗户有些压抑', '短评打分': 5}
{'短评内容': '酒店入住比想象中好，就是不隔音，卫生、安全、服务都还不错，又很方便，就是网上定的送的卷不知怎么使用', '短评打分': 5}
{'短评内容': '由于周末是另一个价，需分开订房。\n想补充一下，隔音真的很精彩，晚上能听到“现场直播”，很哈皮...\n公交站，公共自行车点，超市，饮食都很近很方便。赞！！', '短评打分': 5}
{'短评内容': '位置还不错，比较好找，交通较方便。\n数字电视，可点播。卡通主题酒店，有特色。\n但厕所无下水道，导致洗完澡后都像水塘似的。\n酒店有付费商品，但标示被遮挡，感觉像消费陷阱。\n总体还是不错的，值得入住。', '短评打分': 5}
{'短评内容': '新装修,很不错', '短评打分': 3}
{'短评内容': '房间太小  隔音不好  地理位置还OK啦     我看那桌子估计只有1尺宽把', '短评打分': 5}
{'短评内容': '位置靠近西湖，价格也适中，不过房间有些陈旧也不隔音，还是推荐。', '短评打分': 5}
{'短评内容': '環境，水準都開始感覺有點舊了啦！\n不過，價格合理啦，在杭州市中心這個價格可以了。', '短评打分': 5}
{'短评内容': ' 很一般', '短评打分': 3}
{'短评内容': '还不错，适合背包客入住。。。但是隔音比较差。。', '短评打分': 5}
{'短评内容': ' 隔音效果不好  其他还不错', '短评打分': 3}
{'短评内容': '这个酒店所在的地方不错.附近就有小吃街.也不是很闹.但是酒店的装饰比较旧.完全没有主题的概念.性价比很不高.以后不会选择入住', '短评打分': 3}
{'短评内容': '服务态度一般，房间实在是太狭窄，以至于衣服包包等物品都没办法正常拜访，有点脏，根本找不到所谓的主题。。。预定价格跟正常价格才差6块钱，性价比实在太低。。。。', '短评打分': 1}
{'短评内容': '住的特惠房，隔音太差了。其他倒没什么。离西湖很近！', '短评打分': 1}
{'短评内容': '位置不错，不过价格偏高。房间太小，细节做的倒是还算不错\n\n\n', '短评打分': 5}
{'短评内容': '不咋的，隔音实在太差了', '短评打分': 3}
{'短评内容': '酒店靠近银泰，位置不错，不过价格偏高。房间太小', '短评打分': 1}
{'短评内容': '房间蛮精致', '短评打分': 3}
{'短评内容': '这酒店的位置还是可以的,因为我订的是精致单人房,房间非常的小,只有床和卫生间,感觉198元/间/晚,贵了,不知道是不是因为杭州的酒店普遍偏贵.服务一般.', '短评打分': 1}
{'短评内容': '和朋友入住了，房间墙纸上霉了卷落一大块一大块的而且就在床边上，和总台说了以后马上就给调整房间了，无奈调了三个都是的，就挑了间相对好的住了。房间隔音非常差，隔壁说话听的一清二楚。酒店告示十点开始装修，实际上8点就开始了哦。出门交通不是很方便，打不到车，公交车要走2站路。床很整洁，有吹风机。附近吃饭也很方便哦，总台MM也很热心，不挑剔的朋友可以住一住哦。', '短评打分': 5}
{'短评内容': '不错的酒店！除了房间小了点！隔音差了点！别的都还OK吧！', '短评打分': 5}
{'短评内容': '还可以，不过去西湖景区还是蛮远的，走路起码半小时，房间比较小，浴帽很难闻，卫生搞得不错，电视频道选择很多', '短评打分': 5}
{'短评内容': '特价房，房间有点小！就是隔音效果奇差，晚上都可以听见隔壁在学英语，害的我都不敢大声说话。水龙头是坏的，相信应该是个别现象。总体性价比高，离西湖很近，白鹿饭店，武林女装街也很近。不错', '短评打分': 5}
{'短评内容': '不错，性价比很高，环境、服务、卫生、交通都不错、好评。', '短评打分': 5}
{'短评内容': '宾馆内有发霉味，墙纸脱落\n不过地处中心地代，交通方便', '短评打分': 1}
{'短评内容': '还好， ...................................', '短评打分': 5}
{'短评内容': '交通方便，离西湖很近，服务态度很好，绝对值得推荐', '短评打分': 5}
{'短评内容': '地方不错，就是小了点，房间的隔音不太好。', '短评打分': 5}
{'短评内容': '没窗户房间好闷，隔音不是很好。其他还好，地段不错。', '短评打分': 5}
{'短评内容': '地点不错，周边吃的很多，逛街很不错，离银泰很近，就是房间太小了 连个放东西的柜子都没有，而且卫生不是很好的样子', '短评打分': 5}
{'短评内容': '＋房间很舒服，设施很健全，地段也不错', '短评打分': 3}
{'短评内容': '不错，性价比很高，环境、特色、卫生、交通、服务这些都不错，下次来杭州还住这。', '短评打分': 3}
{'短评内容': ' 地段繁华', '短评打分': 3}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '位置不错，环境也还可以，服务也不错！感觉很满意', '短评打分': 5}
{'短评内容': '房间是我住过最小的，隔音是我住过最差的，不过地段不错', '短评打分': 5}
{'短评内容': '还可以 床单不是很干净 室内无电脑不很方便 墙上有过往漏过水的痕迹', '短评打分': 5}
{'短评内容': '   还不错 ！。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '淋浴房漏水，灯不亮，电视机也有问题........', '短评打分': 1}
{'短评内容': '早上楼道里太吵了，特价房有点味道，总体还不错的~', '短评打分': 5}
{'短评内容': '  设施、 环境什么都很好 ！   就是楼上装修有点吵   整体还是不错的  ！', '短评打分': 5}
{'短评内容': '168元房，房间是挺小的不过五脏俱全，没有窗。马桶和喷头是被玻璃围起的“洗手间”只有大约2平方米，真正洗脸盆在玻璃间外面。热水很快很足。电视机可以点播电影和电视剧。总体来说还行，地理位置也不错。', '短评打分': 5}
{'短评内容': '房间真的是比较小些,但胜在挺干净的,总体还可以。', '短评打分': 5}
{'短评内容': '房间小，没有送餐和洗衣服务，和他们宣传有很大差别，有欺骗消费者的嫌疑，不到九点就开始装修，无法睡觉，总之，差差差差差到极点了\n', '短评打分': 1}
{'短评内容': '六楼上面还在做装修，吵得很啊！还有就是没有写字台，电脑没有地方放！', '短评打分': 1}
{'短评内容': '杭州酷漫居主题酒店很好，我们的房间太喜欢了', '短评打分': 5}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评', '短评打分': 5}
{'短评内容': '还较干净但隔音较差', '短评打分': 3}
{'短评内容': '停车对我来说比较烦,跟商场距离比较近.......', '短评打分': 5}
{'短评内容': '很不错超级赞 还有卡通主题房间 以后跟女友来杭州玩就住这里', '短评打分': 5}
