{'短评内容': '房间好。床大。Wi-Fi快。舒服。', '短评打分': 5}
{'短评内容': '锦江之星一如既往的干净，安静，服务贴心，房型还特别舒心。四星以下酒店我觉得也是有竞争力的。', '短评打分': 5}
{'短评内容': '出入方便，服务周到。', '短评打分': 5}
{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '早餐不错，自助式。', '短评打分': 5}
{'短评内容': '未入住', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '蛮干净卫生。', '短评打分': 5}
{'短评内容': '酒店位置很好，客房环境也不错', '短评打分': 5}
{'短评内容': '十二点多退房就要扣超时费', '短评打分': 3}
{'短评内容': '真心不舒服', '短评打分': 3}
{'短评内容': '位置很近。环境很好', '短评打分': 5}
{'短评内容': '很方便，很满意。房间不大，但是很干净。', '短评打分': 5}
{'短评内容': '环境还不错，价格也合理。离方特也挺近的。', '短评打分': 5}
{'短评内容': '期间碰到两次不愉快，这里还是要表扬下客房经理，很诚恳的道歉了。希望下次改进吧！', '短评打分': 4}
{'短评内容': '位置好找，闹中取静，干净卫生', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '挺干净的  ，', '短评打分': 4}
{'短评内容': '服务还不错，', '短评打分': 4}
{'短评内容': '入住方便，服务态度好', '短评打分': 4}
{'短评内容': '服务很不错，', '短评打分': 4}
{'短评内容': '酒店设施和洁净程度 确实是快捷酒店中做的最好的了，就是浴巾毛巾看起来一般，估计用了很长时间，一楼的餐厅也还可以，价格适中。', '短评打分': 5}
{'短评内容': '环境不错！服务态度也行！', '短评打分': 3}
{'短评内容': '非常干净，值得给朋友介绍入住。非常干净，值得给朋友介绍入住。就是吃饭不是很方便', '短评打分': 5}
{'短评内容': '除了离市中心远点，别的都还是很不错的，也很卫生', '短评打分': 5}
{'短评内容': '很干净，态度不错。居然还有一次性剃须刀。', '短评打分': 5}
{'短评内容': '这是我住过的锦江中最好的一家！！！ 强烈推荐。尤其是餐厅，非常好，早餐也很有地方特色。', '短评打分': 5}
{'短评内容': '还是可以的！！来芜湖孩是可以住一住的！！虽然吃饭不是很方便', '短评打分': 5}
{'短评内容': '位置不错，位于方特游乐场。推荐给大家，但吃饭不方便', '短评打分': 5}
{'短评内容': '非常干净，值得给朋友介绍入住。非常干净，值得给朋友介绍入住。', '短评打分': 5}
{'短评内容': '一如既往的干净整洁，就是购物不太方便，大厅的电脑上网速度很慢。', '短评打分': 5}
{'短评内容': '         跟以前一样，房间里最近新添置了小冰箱，很喜欢哦！', '短评打分': 5}
{'短评内容': '离方特很近，干净整洁，下次去方特仍然入住这家', '短评打分': 5}
{'短评内容': '干净整洁，价格适中，离方特很近，推荐去方特玩的人住。', '短评打分': 5}
{'短评内容': '适合商旅出差，酒店环境卫生都不错，但位置较偏，吃饭地方少\n', '短评打分': 5}
{'短评内容': '不错,干净,离方特也很近。', '短评打分': 3}
{'短评内容': '早餐不错，就是楼道里有些客人比较吵。住的大床房，感觉小些，下次换个标间住住。', '短评打分': 5}
{'短评内容': '不错，能看到方特,真的不错哟，以后还会去的', '短评打分': 5}
{'短评内容': '酒店还是不错基本设施都还是挺齐全的，位置还是一般，服务态度和价格都很好的。', '短评打分': 5}
{'短评内容': '房间非常干净，整洁。就是餐厅有些小，而且房间的空调遥控器不怎么好用。但总的来说，酒店的服务是非常周到的。我感觉很满意。', '短评打分': 5}
{'短评内容': ' 锦江之星房间不错，环境很好。', '短评打分': 3}
{'短评内容': '酒店整体条件还好，就是室内空间不是很大.其它各方面都还不错，服务人员挺热情周到的.', '短评打分': 5}
{'短评内容': '房间蛮好，地理位置挺不错离我办事的地点很近，服务态度还行，价格还是挺合适的，唯一不好就是卫生间太小了。', '短评打分': 5}
{'短评内容': '位置离市中心有点远，晚上附近空空如也。吃饭的地方不多。', '短评打分': 5}
{'短评内容': '房间很小，应该提前说明', '短评打分': 5}
{'短评内容': '位置很好，环境不错，早餐也很丰盛，房间很温馨，只是经常有飞机的噪声，在芜湖都这样，没办法', '短评打分': 3}
{'短评内容': '酒店还不错，房间还行和别的锦江之星差不多，位置还可以有一点点偏，服务就是比较一般，其他的都还不错。', '短评打分': 5}
{'短评内容': '软件条件和硬件设施都非常到位,而且服务也很周到热情,性价比很高.', '短评打分': 5}
