{'短评内容': '那个床很大，但是房间内部装修就很一般了，还有点味道。周边很方便，吃的东西很多。不过对于这个价格，只能说性价比还不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好，不错的酒店', '短评打分': 5}
{'短评内容': '环境可以，比较安静', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '房間有點小，隔音不好有點嘈，整體衞生滿意。', '短评打分': 4}
{'短评内容': '每次到沙溪都是住这里，起码超过八年，一直都很好。', '短评打分': 4}
{'短评内容': '整体不理想，房间设施阵旧，味道大。', '短评打分': 2}
{'短评内容': '整体不理想，房间设施阵旧，味道大。', '短评打分': 2}
{'短评内容': '作为商务酒店还是有欠缺的。特别是床上用品及毛巾比较差，一大早楼上就装修，吵死了！', '短评打分': 3}
{'短评内容': '一般，算干净', '短评打分': 4}
{'短评内容': '酒店没电梯', '短评打分': 2}
{'短评内容': 'nil nilnil nilnil nilnil nilnil nilnil nilnil nilnil nilnil nilnil nilnil nilnil nil', '短评打分': 1}
{'短评内容': '干净，卫生，物有所值，交通便利，购物 餐饮 娱乐方便', '短评打分': 5}
{'短评内容': '酒店比较偏，又靠近工地，吵！说可以接送客人，但需要时却说司机休息，这不是忽悠人吗？不推荐', '短评打分': 1}
