{'短评内容': '早餐不咋地', '短评打分': 3}
{'短评内容': '不错不错旅行酒店就选它啦', '短评打分': 5}
{'短评内容': '早餐油条粥小菜很好，早餐比较简单，酒店地理位置也很好，交通比较方便，离博商商厦很近，有停车场，不错！', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '很超值，对比了周边的酒店最后选择的', '短评打分': 5}
{'短评内容': '交通挺方便，但不是很大，房间在楼后的一个二层楼，卫生还可以，出行很方便，，公交出行更方便。酒店服务也不错，每天还有糖果和乳酸饮料赠送，但是酒店的开放式卫生间、淋浴间有点接受不了，没有门，只有一层浴帘。', '短评打分': 4}
{'短评内容': '2个1.4米的床也算家庭间？', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '挺好的,价格实惠,房间不错,,,', '短评打分': 5}
{'短评内容': '朋友说挺好的', '短评打分': 5}
{'短评内容': '环境不咋滴，不过地理环境不错', '短评打分': 3}
{'短评内容': '不错，每次去都住这边，就是隔音好差，服务人员服务很好', '短评打分': 5}
{'短评内容': '环境不错。。。。就是室内通风不好。。。开着空调感觉很干燥。。。', '短评打分': 5}
{'短评内容': '挺方便也挺干净，但卫生间地太滑', '短评打分': 3}
{'短评内容': '房间比较精致，很个性，墙上有紫色的手绘花朵。就是房间有点小，很干净，服务态度要加强( ⊙ o ⊙ )啊！', '短评打分': 5}
{'短评内容': '一个字 烂.服务员什么都不知道', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '环境一般。房间还可以，比较干净，房间内设施较全，是个新酒店。酒店只适合居住，房子是海军的，估计是个人承包的，比较安全。较适合出差的人员及工薪阶层旅游人员居住。服务人员很热情。', '短评打分': 5}
{'短评内容': '房间一般，总体说这个价位还成，有装修，很简单，还不错', '短评打分': 5}
{'短评内容': '房间显得较拥挤，在房间小的情况下，尽量少摆放不必要的物品，卫生条件还要进一步改善', '短评打分': 5}
{'短评内容': '酒店地里位置还可以，比较方便', '短评打分': 3}
