{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '位置也好，很安静，宾馆整体还不错', '短评打分': 5}
{'短评内容': '额', '短评打分': 1}
{'短评内容': '不好不好不好', '短评打分': 1}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '非常不错。。。便宜。环境好，！', '短评打分': 5}
{'短评内容': '第一次到达州，就住这，房间不错', '短评打分': 5}
{'短评内容': '装修时间太久需要翻新，路段好。', '短评打分': 5}
{'短评内容': '性价比超高！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，性价比很高', '短评打分': 4}
{'短评内容': '位置不错，挨着中心广场，吃购转都比较方便，前台服务态度也好，这个价位有早餐还是蛮好的，下次出差还会考虑入住。', '短评打分': 5}
{'短评内容': '卫生不好，挂了打扫的牌子也没人管，也不提供矿泉水，早餐也不好', '短评打分': 2}
{'短评内容': '为什么今天睡的好好的服务员来敲门？', '短评打分': 4}
{'短评内容': '房间环境还行就是房间太小', '短评打分': 4}
{'短评内容': '性价比高…………………………………………', '短评打分': 4}
{'短评内容': '环境可以服务优', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '很特别，楼上楼下的温度都不同的！不过住的还好', '短评打分': 5}
{'短评内容': '呵呵，很好酒店，虽在闹事区，但很安静，在门面房的后面，一个小院，对面是美食一条街，还有早餐。停车场较小。', '短评打分': 5}
{'短评内容': '环境还可以，电脑网速还行，还有数字电视，只是地毯有点脏！', '短评打分': 3}
{'短评内容': '总体感觉还不错', '短评打分': 3}
{'短评内容': '住宿环境清静，好！', '短评打分': 3}
{'短评内容': '早餐真是垃圾，房间相当一般，环境还不如房间', '短评打分': 1}
{'短评内容': '比较倒霉，订了个带麻将机的复式套房，房间里有一股味道，半夜了隔壁还有打麻将的，建议不要住带麻将机的复式套房。', '短评打分': 1}
{'短评内容': '非常干净，舒服！就是现在没有优惠了，暂时不能使用卷啊！早餐馒头，稀饭、咸菜，虽然清淡，但是外面饭吃多了，清淡点儿反而感觉不错！对早餐要求高的注意啊！', '短评打分': 5}
{'短评内容': '环境总得来说还可以，就是有蚊子。价格也合理', '短评打分': 5}
{'短评内容': '一直都在这里住的！房间还是很不错的，但是----早餐不敢恭维！ 服务员倒是很热情\n，建议酒店没有环境不带早餐说不定还好点！', '短评打分': 5}
{'短评内容': '环境还不错  就是地方太隐秘了  明显一点就好了                \n\n\n        ', '短评打分': 5}
{'短评内容': '酒店服务不错，就是前台服务小姐不太诚信，明明订的是138元的房间谎称没有了说只有148元的房间，后来我们打算不住了就立刻说还有138元的房间；晕！该酒店送早餐以及24小时退房制很爽（晚上10点入住第二天晚上10点前退房）。交通也便利！', '短评打分': 5}
