{'短评内容': '还行！商业地区', '短评打分': 5}
{'短评内容': '早餐一般。wifi稳定。', '短评打分': 4}
{'短评内容': '早餐一般般，wifi稳定。', '短评打分': 4}
{'短评内容': '早餐一般般，wifi比较稳定，附近交通便利，坐车方便？', '短评打分': 5}
{'短评内容': '可以可以，前台小哥接待可以', '短评打分': 5}
{'短评内容': '经济型的还算不错，就是房间门特别不好开。楼下是超市和KFC。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间打扫的不够干净！毛巾和浴巾已经变色发黑！建议更换，更重要的是注意消毒！或者一次性浴巾毛巾', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '很不错！只是价格浮动比较大！要预定最好早点！', '短评打分': 5}
{'短评内容': '还算不错，干净整洁！', '短评打分': 5}
{'短评内容': '卫生不错，房间里连最基本的水和食物都没有！', '短评打分': 5}
{'短评内容': '已经退了', '短评打分': 5}
{'短评内容': '都好，就是觉得前台不够热情。', '短评打分': 5}
{'短评内容': '房间面积很大，目测有三四十平方米以上，床也宽，估计是2米乘2米，要是一家人肯定也足够大，床上被子有折叠痕迹，符合传说中的新换的鉴定标准，地板卫生间等干净，房间装修很新，房门有隐形的安全扣。走廊通气安静。酒店就在汽车站大楼的一楼，出去方便，不过在房间关上窗户也听不到外面的吵夾声音。不足之处是床距离电视较远，画面看不太清楚。', '短评打分': 4}
{'短评内容': '酒店位置特别好，在汽车站边上，旁边就是肯德基和超市。。酒店人员也很好，很负责。还有停车场！！真的是居家旅行不二之选', '短评打分': 5}
{'短评内容': '有点吵，在汽车站附近，价格适中', '短评打分': 3}
{'短评内容': '酒店不错，服务态度好、交通便利、卫生干净、价格优惠、下次还会选择。', '短评打分': 3}
{'短评内容': '环境还是可以的。地理位置也好。', '短评打分': 3}
{'短评内容': '酒店不错，下次来再住这里', '短评打分': 3}
{'短评内容': '汽车站上面，楼下肯德基，中规中矩的商务酒店', '短评打分': 3}
{'短评内容': '喜欢，沙发跟床都很舒服', '短评打分': 3}
{'短评内容': '面对马路的房间比较吵 早上退房发现电梯坏了 楼梯间甚至没有完成基本装修 脏乱不堪 还有脚手架 如果发生火灾后果不堪设想', '短评打分': 3}
