{'短评内容': '住的很舒心', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '出行方便，性价比高', '短评打分': 5}
{'短评内容': '环境有点吵闹，房间地有点打滑', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '住都没住，怎么点评。携程真不错，我晚上11点过订房，时间直接默认的第二天。我也没仔细看，到了酒店才知道时间弄错了。款也退不了了。只有交钱另开一间。', '短评打分': 1}
{'短评内容': '房间极小，两张床摆了就没地方了', '短评打分': 4}
{'短评内容': '出差在附近办事还是方便', '短评打分': 3}
{'短评内容': '还好，离办事地方近', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很方便。就在地铁旁边。屋里打扫也很干净', '短评打分': 5}
{'短评内容': '一如既往的信任', '短评打分': 5}
{'短评内容': '好吧，然并卵。好吧，然并卵。好吧，然并卵。', '短评打分': 5}
{'短评内容': '价格和环境不错，就是枕头不太舒服，没得换！', '短评打分': 5}
{'短评内容': '酒店就是如家标准配置，但由于修路，整晚都在施工，无法入住，第二天果断退房走人。', '短评打分': 4}
{'短评内容': '那天定的139房间没有了，客服给我们安排了199的房间还不错，就是退房的时候忘记拿发票了', '短评打分': 4}
{'短评内容': '住的双人间，空间有点小。睡的第一宿，得上了猫癣，悲剧。以后不去了。', '短评打分': 1}
{'短评内容': '卫生，干净，入住可以。。下次还住', '短评打分': 5}
{'短评内容': '很舒服，满意', '短评打分': 5}
{'短评内容': '地方好难找。大热的天差点没热死。不过还是一直以来的干净和舒适', '短评打分': 3}
{'短评内容': '第二次入住，感觉房间变小了，这个方的窗户也是很小的。外边比较吵。\n', '短评打分': 1}
{'短评内容': '非常好，交通便利，设施优良，服务态度好！', '短评打分': 3}
{'短评内容': '所有快捷酒店，就感觉如家是最舒服，虽然要的是临街的房间，但是双层隔音玻璃，街上的声音，丝毫察觉不到', '短评打分': 5}
{'短评内容': '房间有点小，不过挺干净的。如家一直都还不错！', '短评打分': 5}
{'短评内容': '地理位置不错，停车方便，卫生，还有赠送矿泉水，值得推荐。', '短评打分': 3}
{'短评内容': '总台服务很不错，前一天定的房间有点吵，前台就主动提出给换一间双层玻璃的，虽然还是有些噪音，但服务态度值得赞赏。', '短评打分': 5}
{'短评内容': '酒店很干净，但是有点吵。没有餐厅，但二楼的茶楼吃饭也很方便。', '短评打分': 5}
{'短评内容': ' 大床房都挨主马路 晚上很吵', '短评打分': 3}
{'短评内容': '6.19-6.30住了11天，服务还行，就是大床房有点吵，下周出差，还准备定', '短评打分': 5}
{'短评内容': '房间一般，卫生还可以', '短评打分': 3}
{'短评内容': '很不错。交通方便。离景区都很近。不过房间隔音效果不是太好。', '短评打分': 5}
{'短评内容': '经济酒店，交通方便，价格实惠，干净卫生。', '短评打分': 5}
{'短评内容': '服务不错、房间太小', '短评打分': 3}
{'短评内容': '不错！唯一遗憾的是房间太小！', '短评打分': 3}
{'短评内容': '非常好，服务很好，位置也不错。房间不算大但是很干净，卫生间也是。大厅有电脑可以用，如家一如既往的好啊', '短评打分': 5}
{'短评内容': '通 风 条 件还不错，比较喜欢，早餐可以再好点', '短评打分': 5}
{'短评内容': '总体感觉还可以，不过  早 餐 感觉一般般', '短评打分': 1}
{'短评内容': '靠近马路，比较吵，网速超慢，建议提升网速，中国的网速也不至于这么慢的', '短评打分': 1}
{'短评内容': '靠近马路，很吵，网速太慢了，说我房间有问题，服务员态度一般，处理速度太慢。', '短评打分': 1}
{'短评内容': '酒店还不错，离市区各个景点都很近，服务也好，很喜欢，下次去成都还住如家', '短评打分': 5}
{'短评内容': '酒店价格便宜，距离我们办公室近，所以预定这里。如果差旅费够用的话，回去住更好一点的酒店。前台只有1个人操作，对业务也不熟悉，所以办理起来很慢，接待我们4个人4间房的小团队，都接待不了。靠近马路一侧，特别吵，后面的会好一些。酒店被子很厚，很热。房间窗户开度也有限，空气不流通，很闷！', '短评打分': 5}
{'短评内容': '房间比较干净，但是靠马路很吵。建议酒店改善。\n', '短评打分': 5}
{'短评内容': '服务还不错，也挺干净的，地段也不错，旁边就是杜甫草堂，就是空间小，除了床就没什么空间了', '短评打分': 5}
{'短评内容': '环境不错，很干净，色调也看着舒服。离宽窄巷子，浣花溪公园都很近', '短评打分': 5}
{'短评内容': '住了很多次了，以后有机会还会来。是个好酒店。', '短评打分': 5}
{'短评内容': '总的来说，酒店和描述的基本吻合，和如家的经营理念也十分符合，名副其实。', '短评打分': 5}
{'短评内容': '一般一般,自驾住不错的选择.可信可住 要要贪玩', '短评打分': 5}
{'短评内容': '就在古玩一条街上，比较安静，周边景点多，到四川省博物馆，杜甫草堂，宽窄巷子都很近。', '短评打分': 5}
{'短评内容': '地点不错 交通方便  环境很好  房间也干净卫生 服务态度好。', '短评打分': 5}
{'短评内容': '入住两晚，房间卫生还可以，房间不大，第一晚住的靠马路的，很吵，汽车声无法入睡，第2晚换到靠里面，好很多，没那么吵', '短评打分': 1}
{'短评内容': '干净、舒适、整洁，服务态度也不错！值得推荐！唯一美中不足就是附近吃东西的地方有点少。\n', '短评打分': 5}
