{'短评内容': '到了', '短评打分': 4}
{'短评内容': '位置去行、用餐挺方便！我定的临街的房，夜间有些吵。另外房间没有电吹风提供，卫生间门口台阶不明显，有待改进。', '短评打分': 4}
{'短评内容': '环境还OK  入住心情很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不错 方便 省时间 地铁近', '短评打分': 5}
{'短评内容': '同事很满意', '短评打分': 5}
{'短评内容': '不错哦~因为第二天要结婚所以爸妈住在家边的酒店~', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '还比较经济实惠，客房比较整洁', '短评打分': 4}
{'短评内容': '因为在朋友的单位旁边又离地铁近才定的它，但是住宿条件真的不怎么样，房间的窗户都关不上，前台也很晕，把我定的房间都弄错了', '短评打分': 4}
{'短评内容': '性价比高，干净卫生', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
