{'短评内容': '买过很多次了，质量不错，都是正品。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以，，，，，，', '短评打分': 5}
{'短评内容': '第二次在这家住了，比较满意', '短评打分': 5}
{'短评内容': '还算可以吧，对的起一佰来块钱的价位了，下次去南宁还住这家。', '短评打分': 5}
{'短评内容': '还算可以，位置比较偏一些。挺实惠的', '短评打分': 5}
{'短评内容': '酒店的位置挺好，出行方便，附近有客运站，门口有公交站，秀厢大道是属南宁快环，打车也挺快的，但酒店较老，设施较旧。', '短评打分': 4}
{'短评内容': '位置方便，门口有公交站，附近就是去武鸣阿出城的方向，热水较慢，酒店旧了点，楼下有超市买东西还是挺方便的。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '熟悉的地方', '短评打分': 5}
{'短评内容': '性价低，躁音大。比较老。卫生还可以。', '短评打分': 4}
{'短评内容': '中间有点小插曲，还是顺利入住了，还可以这个价位，主要是现在那边修地铁，太堵了！', '短评打分': 3}
{'短评内容': '服务态度还可以，就是有些设备有点旧，这间房子比较大。', '短评打分': 3}
{'短评内容': '水不够热，其他还好。', '短评打分': 3}
{'短评内容': '酒店设施有点老旧，但服务态度还好吧！', '短评打分': 3}
{'短评内容': '房间卫生还好，床单被子干净，有网线，但是临路，不够安静，房间的风扇有噪音，后来我拔了取电钥匙才得以睡觉', '短评打分': 3}
{'短评内容': '性价比不错，142元的商务标间配有电脑，免费提供2瓶纯净水，下次还会住', '短评打分': 5}
{'短评内容': '条件还不错，就是地方有点偏，出来吃饭不是很方便。', '短评打分': 5}
{'短评内容': '这个酒店，住了商务间，房间还好就是浴室太小布局不太合理且设施有点小问题，网速很慢开个网页等半天，不过房间卫生还不错，图个经济实惠，对舒适要求不苛刻的，还是不错的选择。', '短评打分': 5}
{'短评内容': '  比较满意。汽车声略有些影响', '短评打分': 3}
{'短评内容': '价格不贵，干净舒适，网速挺快挺好用，隔音效果也挺好的。', '短评打分': 5}
{'短评内容': '酒店规模不大，但服务和卫生做得挺好，房间设施摆放挺整齐，通风也挺好。整体感觉还不错。', '短评打分': 5}
{'短评内容': '环境还好，比较安静，卫生和服务也不错，住的还算舒适。', '短评打分': 5}
{'短评内容': '酒店装修挺大众化的，服务态度很热情，房间看着挺舒适的，出行也比较方便，这样的酒店还是可以推荐的。', '短评打分': 5}
{'短评内容': '房间不错，干净卫生，基本设施都有，床挺大挺舒适的，睡眠质量挺高。', '短评打分': 5}
{'短评内容': '酒店位置还好，门口有公交，打车也比较方便，房间舒适度还好，有宽带能上网，住着还算舒适。', '短评打分': 5}
{'短评内容': '酒店看着挺新，服务很好，卫生也很好，设施简单实用，整体感觉挺不错。', '短评打分': 5}
{'短评内容': '周边交通挺便利的，卫生打扫也挺好，设施基本齐全，还能上网，挺适合出差人士入住。', '短评打分': 5}
{'短评内容': '酒店挺不错，卫生很好，硬件设施也不错，住着挺舒适。', '短评打分': 5}
{'短评内容': '挺好，房间宽敞干净，服务挺周到的，下行还会光顾。', '短评打分': 5}
