{'descr': '什么事呀我去了，说不能住房订了也不能住,回复我说电脑上不了网,这大雨天的不是害人吗?', 'star': 3}
{'descr': '酒店本身一般， 周边环境太差， 不宜居住。', 'star': 1}
{'descr': '就是空调真差，房子很小，还好啦！位置不错倒是', 'star': 5}
{'descr': '标间比较安静，大床房靠近街道。房间宽敞，可以上网，自己准备电脑。有泊车位，院里很大，可以停很多轿车。环境一般，周围没有超市，饭店。', 'star': 5}
{'descr': '隔音差，附近连个商店都木有诶。不适合不适合', 'star': 1}
{'descr': ' 感觉不错哦，只是感觉位置太偏了', 'star': 3}
{'descr': '环境不错，位置有点偏', 'star': 3}
{'descr': '服务态度比较好，房间也比较干净。\n只是位置比较偏一些，周围没有便利店和娱乐的地方，\n去哪里都需要打车的。这方面要注意一些。', 'star': 5}
{'descr': '吃饭不方便，交通还算便捷，服务态度很好。', 'star': 1}
{'descr': '环境还可以,干净.就是屋子有点冷,隔音差.', 'star': 3}
{'descr': '位置不好，周围有化工厂，交通也不方便。但是房间没得说，服务卫生都挺好。早餐不好吃。。。。。', 'star': 1}
{'descr': '离市区太远，交通不太方便。而且周围都是工业区，化工厂气味太难闻了，有点受不了。不过房间很好，也挺干净，很暖和。主要是地理位置问题。。', 'star': 1}
{'descr': '服务很好 就是没电脑', 'star': 3}
{'descr': '酒店不错   以后还会来的      房间也不错   只是楼下是马路    有点吵   ', 'star': 5}
{'descr': '己入住。房间还行。但淋浴水温低，水流小', 'star': 3}
{'descr': '整体还可以，就是隔音效果有点差，听了半夜楼下唠嗑。', 'star': 3}
{'descr': '挺好的，就是一楼无窗，价格稍微有点贵，其他没什么', 'star': 5}
{'descr': '服务很好，就是周围没有超市之类的，买东西不方便', 'star': 1}
{'descr': '唯一可以说好的地方是服务员态度都不错，其他硬件设施比较糟糕，洗澡水太小，抽水马桶不行，有限电视不清楚，频道也少，好多房间网络也不通，内外隔音都很差，更糟糕的是唯一的一部电梯很吓人，哐嘡哐嘡的声音大的不行。', 'star': 1}
{'descr': '环境还可以，酒店位置不是很好找，门面太小。\n卫生间是堵的，很麻烦。\n晚上一上楼就听到各种叫床声，隔音太差', 'star': 1}
{'descr': '对住宿条件很满意', 'star': 3}
{'descr': '都还可以 就是没有宽带 和隔音差点 总体还算不错 挺干净 下次希望宽带能有...................................................................................................................................................................', 'star': 5}
{'descr': ' 房间太潮了！有股发霉的味道 被子床单都很潮 一楼 晚上超乱 各种噪音各种吵', 'star': 3}
{'descr': '还好', 'star': 3}
{'descr': '整体感觉还不错，服务态度也很好，唯一的瑕疵就是隔音效果太差，旁边那女的叫了一晚上~整体感觉还不错，服务态度也很好，唯一的瑕疵就是隔音效果太差，旁边那女的叫了一晚上~整体感觉还不错，服务态度也很好，唯一的瑕疵就是隔音效果太差，旁边那女的叫了一晚上~\n', 'star': 5}
{'descr': '很好。', 'star': 3}
{'descr': '服务很好', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '确实不怎么样,房间有异味,并且无法上网,以后不住如家了', 'star': 3}
{'descr': '临时预订此酒店，河西去的其他酒店都已经满房了。房间临近马路，有一些吵。', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '酒店隔音不好', 'star': 3}
{'descr': '周边环境太差，不会推荐这家，真的不怎么地，靠', 'star': 1}
{'descr': '因为孩子高考第一次入住天津的如家,主要要求安静就好,挺满意的。', 'star': 3}
{'descr': '房间有点潮湿', 'star': 3}
{'descr': '继续支持~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '脏 还有味', 'star': 3}
{'descr': '嗯  还不错哦！！！继续加油哦                  还会在来的', 'star': 5}
{'descr': ' 还可以吧', 'star': 3}
{'descr': '总体服务还不错，周边环境安静，就是离我们想去逛的滨江道那边比较远。', 'star': 5}
{'descr': '态度存在问题，打扫卫生人员很不错，前台不怎样。\n发生了个小插曲，口渴了就在前台拿了瓶绿茶，结果比较幸运，中了再来一瓶，没的说，只有向前台索要了，结果呢，前台推三阻四的，费了好多的口舌，最终还是换了。感觉不够人性。既然敢出来卖，就要赔得起！', 'star': 5}
{'descr': '支持~~~~~可以  ！！！！！！！！方便', 'star': 5}
{'descr': '设施陈旧，网速太慢。', 'star': 3}
{'descr': '太偏了，房屋比较潮，旁边的叫床声也大，餐厅还没开就关门，就是服务态度好。', 'star': 1}
{'descr': '好', 'star': 3}
{'descr': 'enneennenenenenenenenenen', 'star': 5}
{'descr': '不错~~就是房间小了点~还可以吧~~~~~', 'star': 5}
{'descr': '便宜》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》', 'star': 5}
{'descr': '总体感觉不错\n位置比较偏僻，交通不是特别方便，墙壁开始起皮了\n', 'star': 5}
{'descr': '如家洞庭路店卫生很差，床单被套都不换，还保留着上一位房客的毛发，够恶心。找服务员换还很不情愿，最后只好要来干净的自己换。', 'star': 3}
{'descr': '周围不太方便', 'star': 3}
{'descr': '1楼左边房间非常潮湿，屋内冰冷，墙皮起泡脱落，床上阴湿，洗手间热水需要放水15分钟左右才能出热水。', 'star': 1}
{'descr': ' 环境还好，就是没热水！不能洗澡啊！', 'star': 3}
{'descr': '朋友到天津玩，选了离家最近的如家，感觉很一般。比我到其他城市的如家差很多。感觉室内的东西很旧，给人的感觉不是很干净。', 'star': 1}
{'descr': '洗漱间是坏的，热水来的很慢，房间比较小······························', 'star': 1}
{'descr': '不错', 'star': 3}
{'descr': '服务挺好的', 'star': 3}
{'descr': '床很硬，光线也不好，给人感觉不是很干净，', 'star': 1}
{'descr': '不错~干净!卫生!就是用电热水器不太好~热水很快就用完', 'star': 3}
{'descr': '整体还不错，虽然住在一楼，但是并不吵，人也不多，屋里很干净。', 'star': 5}
{'descr': '热水要等很久才有。服务一般。周边环境欠佳。', 'star': 1}
{'descr': '住的是特惠房，但是房间的清洁状况不太理想，也许是因为是一楼，但是地上还有墙上掉下的涂料灰', 'star': 1}
{'descr': '我是帮朋友待定的，但是朋友到酒店很不满意，说酒店的设施比较旧', 'star': 1}
{'descr': '地点比较偏，旁边有个化工厂，问道很难闻，周边没有配套设施，吃饭，买东西都不方便，还算便宜。', 'star': 3}
{'descr': '房间很大，位置比较偏僻，周边什么都没有，但是性价比不错。有点老旧。洗澡水放了5、6分钟才热。其他的还行', 'star': 5}
{'descr': '如家快捷酒店（天津洞庭路店）房间很小，而且很潮', 'star': 1}
{'descr': '如家还有很多需要提高的地方,卫生最关键。', 'star': 5}
{'descr': '酒店很潮，房间里都是发霉的味道，根本驱散不开。墙上都是一块块黑绿色发霉的痕迹，卫生间的地上居然有个烟头，马桶上面还有根头发，太恶心了，枕套有一个也发霉了，我跑去前台，他们说给换个枕套吧，就这样了，以后再也不会住这家了', 'star': 1}
{'descr': '总体上说各方面还算不错,尤其性价比较高!', 'star': 5}
{'descr': '火车站打的18元,车站出租车开了33元.其实位置应该不错的,就是房间小点,性价比一般.', 'star': 5}
{'descr': '酒店的硬件和软件条件还可以,因为是连锁酒店所以各方面要求也没有太高,不过住起来确实还不错.', 'star': 5}
{'descr': '不错，还可以，不过房间还需改善！如家的环境有的不是特别好，因为好多都是旧楼改装的！', 'star': 5}
{'descr': '酒店蛮不错的，干净整洁，价格也实惠。', 'star': 5}
