{'descr': '周边环境很很好，房间卫生不错，服务热情周到，满意。', 'star': 5}
{'descr': '早餐满实惠的', 'star': 5}
{'descr': '第一次订这个酒店 是帮我公公婆婆定的 他们第一次来北京 从广州来 晚上十点半多入住的酒店 本来一切都还好 他们登记了身份证入住 我和我老公要去楼上帮他们拿一下箱子 但是因为走得急就没有带身份证 和前台商量了一下十分钟弄好就下来 前台说不行 一定要登记身份证 过分的是态度非常差劲！！！没得商量 给身份证号码也不行一定要身份证！！最后提出十分钟之后一定下来 不下来可以报警 前台还是不同意！！！帮老人拿', 'star': 3}
{'descr': '还比较不错，价格能优惠一些更好', 'star': 5}
{'descr': '还可以吧  就是刚进去味道很大~~潮湿的味道', 'star': 5}
{'descr': '房间比较宽敞，环境安静。没有免费瓶装水，一楼水卖得挺贵。', 'star': 3}
{'descr': '还行，但是这房间跟别的地方优品差很多', 'star': 5}
{'descr': '根本没住上，订的时候明明有房，却让酒店方取消了', 'star': 1}
{'descr': '空间、卫生、位置都挺不错，刚好遇到电梯维修，上下爬5楼，这个体验很差', 'star': 5}
{'descr': '靠近机场，适合商务人士', 'star': 4}
{'descr': '位置好，吃饭方便', 'star': 5}
{'descr': '还算可以，地理位置很安静，房间还好，就是味道很不舒服，总的来说还是不错，前台速度也还行', 'star': 3}
{'descr': '房间太小太垃圾暖气、一下、一样都督。这些什么、一样都督。这些吧、', 'star': 1}
{'descr': '新装修的，被子有些薄。', 'star': 4}
{'descr': '有的房间有味道', 'star': 4}
{'descr': '酒店的地理位置不错，交通方便，离地铁口只有一站的距离，房间卫生干净，前台的服务态度也很好，周围的餐饮配套很全面，是个出行住宿的好地方！', 'star': 5}
{'descr': '可以可以可以', 'star': 5}
{'descr': '很好。', 'star': 5}
