{'短评内容': '两颗星还是看在玩得开心的份上给你', '短评打分': 2}
{'短评内容': '有停车场。早餐不知道没有吃过。位置在火车站附近还可以吧', '短评打分': 4}
{'短评内容': '在这住了两晚觉得还行…感觉设施有点旧了…其它都不错', '短评打分': 4}
{'短评内容': '住宿环境很棒，洗漱用品到吹风筒基本都有，睡觉时很是安静，离张家界汽车站和火车站都很近。就是有一点我包的早餐，结果起晚了点，还没过领取早餐的点就没得吃了。', '短评打分': 5}
{'短评内容': '服务挺周到的', '短评打分': 4}
{'短评内容': '对于这个酒店总体来说还是很贴心的，湘西之行中还算好的酒店了。应该有地区差吧，酒店标准都不一样，这边相对都这样。早餐一般般吧，应该可以加床吧，酒店位置还挺好，离火车站几百米吧，非常方便。酒店服务员还是很好的。给你点个赞。希望你们以后做的更好。', '短评打分': 4}
{'短评内容': '6666666666666666', '短评打分': 5}
{'短评内容': '酒店标的是4星，但是整体环境一般，设计与装修是蛮别致的，住的两间屋子始终弥漫着臭脚的味道。酒店有车可以送你去景区，这一项还不错。还有一点就是假期涨价也太大了', '短评打分': 1}
{'短评内容': '不太满意的，有点吵。', '短评打分': 4}
{'短评内容': '恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚', '短评打分': 5}
{'短评内容': '非常好我很喜欢', '短评打分': 5}
{'短评内容': '酒店很舒适，离天门山索道也很近，周围吃东西比较方便，距市中心繁华区域打车需要8元左右。', '短评打分': 5}
{'短评内容': '真心很不错！', '短评打分': 5}
{'短评内容': '环境很好，很舒适。干净卫生，我们家小朋友也很喜欢，我和妹妹，麻麻带着小弟弟。真的环境炒鸡好，值得推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间干净，床品舒适。离火车站近，走路10多分钟。去天门山在门口坐1B线公交车，在天门山索道站售票处下车，非常方便。推荐体验游玩。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '火车响了一个晚上啊，一个晚上！！！！！！！', '短评打分': 4}
{'短评内容': 'This hotel is OK to sleep there for few days but there is nothing to do around.', '短评打分': 3}
{'短评内容': '整個環境可以說還算可以，乾淨，整齊。', '短评打分': 4}
{'短评内容': '环境不错。设施不错。服务很好。外观优雅。价格适中…', '短评打分': 5}
{'短评内容': '服务不错。环境也好。', '短评打分': 5}
