{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '老板人不错，我们定的市单人间，但老板看我们是两个人，就给我们开了双人间，而且里面的设施设备也挺完善的！', '短评打分': 5}
{'短评内容': '太差了 服务态度也不好', '短评打分': 1}
{'短评内容': '一般般，普通宾馆', '短评打分': 3}
{'短评内容': '价钱合适，离车站近，老板人好。', '短评打分': 3}
{'短评内容': '老板人不好！！！！！！', '短评打分': 3}
{'短评内容': '这个价位的确不适合情侣出行哈！', '短评打分': 3}
{'短评内容': '老板还是很不错的哈，房间有小强～～！主要是靠车站近哈', '短评打分': 3}
{'短评内容': '环境一般，卫生间淋雨漏水，洗澡水比较小。那个价位也就凑合能住。', '短评打分': 3}
{'短评内容': '房间蛮大，设备齐全，唯独空调太老了，另外饮水机的水不敢喝', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '年代感好强，设施很旧', '短评打分': 1}
