{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '整体还是不错，只是在京东订没有住宿发票', '短评打分': 5}
{'短评内容': '房间不错，很舒适', '短评打分': 5}
{'短评内容': '这个酒店还是可以的，比较干净', '短评打分': 5}
{'短评内容': '就在北京西站公交站旁边，条件也不怎么样，而且前台还不让寄存行李，不高兴?', '短评打分': 5}
{'短评内容': '交通真的很方便，就在西站北广场边上，卫生很不错，下次来北京一定选他了！我一直都相信京东品质！', '短评打分': 5}
{'短评内容': '环境不错，很干净，服务态度好。热水很足，就是暖气太厉害了。地理位置好，紧靠西站，出行很方便，值得推荐！', '短评打分': 5}
{'短评内容': '真的一般般', '短评打分': 5}
{'短评内容': '什么东西来的？', '短评打分': 5}
{'短评内容': '房间很小，西站赶早班车，位置优势没的说，中规中矩吧', '短评打分': 5}
{'短评内容': '赶火车太方便了，很近', '短评打分': 4}
{'短评内容': '很好，推荐', '短评打分': 1}
{'短评内容': '朋友反应不错', '短评打分': 5}
{'短评内容': '离西站超近，而且一点不吵，主要是早上赶火车方便', '短评打分': 4}
{'短评内容': '就是交通便利，超级便利！', '短评打分': 3}
{'短评内容': '方便，离火车站地铁口近', '短评打分': 5}
{'短评内容': '不错，住过很多次', '短评打分': 5}
{'短评内容': '北京西站旁边的酒店，性价比最高，房间里面挺整洁干净，比较满意', '短评打分': 4}
{'短评内容': '不错，环境很好，早餐也很好，前台服务态度很好', '短评打分': 5}
{'短评内容': '房间不大，地板也要换喽！卫生间太小了，尤其是门开的方向设计的不太合理。设施也旧了些，近期好像在整修。附近出行很方便，门口就是公交站，火车站也就百米以内，吃饭也很方便，建议大家到马路对面吃饭，比较经济！', '短评打分': 4}
{'短评内容': '酒店位置还好，出站就是，但是里面的设施很陈旧，房间也很小，下次不会来这里住了', '短评打分': 3}
{'短评内容': '很方便，交通很好。人流量大，但是住着不吵很安静！', '短评打分': 5}
{'短评内容': '适合次日早赶火车且有大件行李随身的人住宿。晚上因在北广场汽车站旁会有些吵但基本不影响休息。公交方便周边吃饭多选择，更可免费停车。唯一不足是房内设施有些旧，前台服务不够友好。', '短评打分': 4}
{'短评内容': '酒店还可以，就是房子里的灯太暗了。', '短评打分': 4}
{'短评内容': '酒店安静、卫生，前台服务不错。是出差旅游不错的选择。卫生间稍显小一点。', '短评打分': 5}
{'短评内容': '酒店内部很干净，客房服务人员态度也很好，而且酒店就在北广场公交站，交通非常方便，非常满意哦。', '短评打分': 5}
{'短评内容': '位置非常方便，房间也非常多~就是可以听到火车的声音', '短评打分': 5}
{'短评内容': '适合次日早赶火车且有大件行李随身的人住宿。晚上因在北广场汽车站旁会有些吵但基本不影响休息。公交方便周边吃饭多选择，更可免费停车。唯一不足是房内设施有些旧，前台服务不够友好。', '短评打分': 5}
{'短评内容': '房内设施有些旧，前台服务员态度有些生硬。但离西站北广场很近，其实就是相连整体建筑，另有地下停车场免费停车，不错。适合次日赶坐火车且有大件行李的人住。', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 3}
{'短评内容': '总体不错，前台速度挺快，服务挺好，房间很干净。', '短评打分': 3}
{'短评内容': '就在北京西站旁边，如果因为赶车赶不上，或者第二天的早班车，住上一晚上还是不错的。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '瑞尔威（railway）其实应该就是铁路宾馆，条件一般，房间较小，位置方便，就在西客站的东附楼，出站右拐的楼梯上去就是，对于火车到站较晚的客人相当方便（订它我也是看中了这点，正点晚上10点半到站，晚点到了11点才到，而且带着小孩子，不想大半夜的还在外跑）。\n推荐给时间上不方便的客人！', '短评打分': 5}
{'短评内容': '原来就是西站的站房楼啊，绝对的方便，绝了', '短评打分': 5}
{'短评内容': '交通方便，环境好。价格偏高些。交通方便，环境好。价格偏高些', '短评打分': 5}
