{'descr': '比某程要便宜点，房间还可以。', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '一直都很好', 'star': 5}
{'descr': '都挺好的，就是地板，还有座椅有点旧', 'star': 5}
{'descr': '住在那为了考试方便 下午两点考试中午必须12点退房都不可以延迟一点 人情味在哪里人性化在哪里 还一个劲的会员会员 表示呵呵了 晚上睡觉冷 空调开最大然并没有什么卵用 本来以为锦江很不错 现在没有好印象了', 'star': 3}
{'descr': '房间好大啊 很干净', 'star': 5}
{'descr': '房间的被罩和床单很硬，睡觉磨得很不舒服，有破皮的感觉，还有就是房顶上有个绿灯在闪不知道什么东西，整体感觉一般，', 'star': 4}
{'descr': '挺好！干净', 'star': 5}
{'descr': '还可以。服务很好', 'star': 5}
{'descr': '很干净卫生，地理位置又好，很满意的一次旅途。', 'star': 5}
{'descr': '不错，挺好的，干净，就是味道大', 'star': 5}
{'descr': '还不错，下次再来', 'star': 5}
{'descr': '值得入住。很好', 'star': 5}
{'descr': '设施老旧，服务一般', 'star': 2}
{'descr': '环境不是很好', 'star': 4}
{'descr': '?', 'star': 5}
{'descr': '服务挺好滴，也算干净，可以，凑够二十个字真心不容易呀', 'star': 5}
{'descr': '哦哦哦哦哦哦', 'star': 5}
{'descr': '住的不赖，交通很方便，很便宜', 'star': 5}
{'descr': '房间一般，厕所台子太小，洗漱用品都没地方放，淋雨还必须拿手上用，不然就喷的到处都是…服务还可以，晚退房了', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '环境没的说，毕竟一分价钱一分货。', 'star': 5}
{'descr': '可以可以可以', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '距离北美新天地很近，周边环境好，不吵', 'star': 5}
{'descr': '环境不错，床很舒服，就是设施稍微旧了一点', 'star': 5}
{'descr': '不是很合适，一般般…….........', 'star': 3}
{'descr': '周围环境还可以，靠近商业区，周围也有不错的小吃，', 'star': 4}
{'descr': '没有窗户诶，容易把生物钟搞乱，除此之外性价比很高的噢', 'star': 5}
{'descr': '虽然时间长了，但是卫生，地方也大，很不错的地方', 'star': 5}
{'descr': '环境不错，服务也还可以', 'star': 3}
{'descr': '总体还行，个人认为没有如家好，不过以后也会考虑来的。', 'star': 5}
{'descr': '位置不错，经济实惠，已住过多次，值得信赖。', 'star': 5}
{'descr': '挺好，挺干净，也很安静', 'star': 3}
{'descr': '整体还不错，周边的酒店都满了，到这边还算满意。', 'star': 5}
{'descr': '很好、不错', 'star': 3}
{'descr': '还不错，挺干净的', 'star': 3}
{'descr': '设施简单干净，价格还可以', 'star': 3}
