{'短评内容': '环境好，安静，干净', '短评打分': 5}
{'短评内容': '淡季无自助早餐，桌餐份量很足，停车位充足。周边环境优美！', '短评打分': 4}
{'短评内容': '旅游淡季人少早餐不能自助餐只能吃团餐，宾馆有较大的停车场，周边环境很好，有一个很漂亮的湖，沿湖漫步很惬意。', '短评打分': 5}
{'短评内容': '感觉较一般', '短评打分': 3}
{'短评内容': '服务太他么差，尤其前台业务不熟悉，还对客人恶语相向。', '短评打分': 4}
{'短评内容': '很不错的选择！', '短评打分': 5}
{'短评内容': '老牌3星，这个价就这个环境。值得入住！', '短评打分': 3}
{'短评内容': ' 酒店性价比高', '短评打分': 4}
{'短评内容': '酒店位置好，交通方便，四周不吵，环境不错，酒店里设施齐全，还有篮球乒乓球，还能散步', '短评打分': 5}
{'短评内容': '房间虽然外墙重新装修过，但是房间内部生霉严重，换了三间房都有很大股霉味，最后只有将就了', '短评打分': 3}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '设施略显陈旧，卫生间布局较局促，其他尚可。', '短评打分': 5}
{'短评内容': '环境幽静，卫生也好。离高铁站很近，离峨眉山景区不远。交通方便，前台服务员很热情，是一个很不错的酒店，值得向朋友推荐。', '短评打分': 3}
{'短评内容': '房价定位大高，周边环境不错。', '短评打分': 2}
{'短评内容': '环境非常好，紧挨着湖，自己还有个大花园。安静，性价比高。', '短评打分': 3}
{'短评内容': '后花园很漂亮 酒店环境也可以', '短评打分': 4}
{'短评内容': '住的还是挺舒服的', '短评打分': 3}
{'短评内容': '推荐这家酒店推荐这家酒店推荐这家酒店推荐这家酒店', '短评打分': 5}
{'短评内容': '位置太偏，条件一般，有上当的感觉。出行非常不方便，出租车都不愿意去', '短评打分': 1}
{'短评内容': '还行，就是空调不怎么给力，能配个电热毯就好了。', '短评打分': 3}
{'短评内容': '适合老年人入住！原为疗养院！刚刚装修，设施老，条件一般。', '短评打分': 5}
{'短评内容': '不错，这个价格还是适中，没什么更高的要求了', '短评打分': 5}
{'短评内容': '还不错，以后有机会还去住，会向朋友们推荐这家酒店的', '短评打分': 5}
{'短评内容': '最多算2星，早点很简单，信价比低', '短评打分': 3}
{'短评内容': '适合自驾游，稍微有点偏，酒店内环境不错，就是房间的味道稍微大了点。', '短评打分': 5}
{'短评内容': '其他还好，早歺太简单', '短评打分': 3}
{'短评内容': '室内很整洁，干净，设施也较新，可能刚升级过。就是电梯坏了，比较锻炼身体。早餐不值10元钱。', '短评打分': 5}
{'短评内容': '客服态度不错，房间设施也比较新。宾馆内小环境比较幽静。交通有少许不便，适合自驾前往。', '短评打分': 5}
{'短评内容': '酒店周边环境确实不错，入住和退房办理速度快。离景区近，但离峨眉市区有点偏远！\n房间的卫生间设施陈旧点，早餐不理想，太单一，有待需提高！', '短评打分': 5}
{'短评内容': '从外面看不咋地，里面却别有洞天。很干净很安逸，环境特别舒服。唯一不好的地方离繁华地带有5分钟路程', '短评打分': 3}
{'短评内容': ' ok!', '短评打分': 3}
{'短评内容': '干净、清静，离欢乐谷灵秀温泉2公里.提醒自驾朋友总台索要停车券。节假日入住性价比合适.因为温泉周边高档酒店费用较高且无折扣。温泉票可在好吃街任何一家饭店购买120，比原价便宜48.', '短评打分': 5}
{'短评内容': '是省委老干局的疗养院，虽然有点旧，但内部新装修的，感觉还可以。位置有点偏，早餐太简单了，其他还不错。', '短评打分': 5}
{'短评内容': '1998年来峨眉山，我与宾馆的服务员大吵一架，今天来峨眉山，感觉完全不一样，主要得益于这家酒店。\n这家酒店非常不错，风景美，装修新，服务好！', '短评打分': 5}
{'短评内容': '酒店是新装修的，房间家具也是全新的，很好，很舒服，酒店环境也不错，很适合度假。性价比很高，下次还会再来。', '短评打分': 5}
{'短评内容': '位置有点偏，只能打车出门，其他方面比较都比较好，早餐要7：30开始，要早出门的话就赶不上了。', '短评打分': 5}
{'短评内容': '位置很偏，在一个小巷子里，很不好找，设施很差，卫生也不好，服务态度太差了，我觉得这家酒店性价比太低了，以后在也不会入住了', '短评打分': 3}
{'短评内容': '是四川省老干部的疗养中心，相对而言比较安静', '短评打分': 5}
{'短评内容': '酒店本身条件还可以，就是位置有点偏', '短评打分': 5}
{'短评内容': '酒店的整体都还好，就是位置有点偏，交通还算便利', '短评打分': 5}
{'短评内容': '酒店的总的环境很不错，硬件的质量很好，但服务质量差点，有待提高', '短评打分': 5}
{'短评内容': '该酒店离山门有3公里左右,设施陈旧,标间190元,最气愤的是保安在你离开的时候收停车费,15元/天,他不会提醒你在总台可以拿免费停车票，而是收一个算一个，我是返回去和总台理论时才给我的，其它车主也是见我拿免费停车票后才知道的。', '短评打分': 1}
