{'短评内容': '没早餐，不适合带孩子', '短评打分': 4}
{'短评内容': '房间小了点，但该有的东西都有', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '下次我也会去住。', '短评打分': 5}
{'短评内容': '帮朋友定的，朋友就说，各种好。必须让给好评，被他说的我也想住了。', '短评打分': 5}
{'短评内容': '坐厕不管冲多少次水都会发出臭味 蚊子较多 被单盖身上有些发痒', '短评打分': 3}
{'短评内容': '住过几次，感觉服务挺热情的，但这次半夜过去居然说没接单，没房了，晕', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '价格实惠适合情侣入住', '短评打分': 5}
{'短评内容': '还可以，态度好。', '短评打分': 3}
{'短评内容': '方便，办公单位就在对面', '短评打分': 3}
{'短评内容': '这个酒店真的很不好，卫生间就是阳台改的……比宾馆还差点', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店很不错，房间比较大，很舒服，就是没早餐！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店在居民小区内，比较安静，房间阳台很大，有功夫茶具。', '短评打分': 5}
{'短评内容': '很舒适，干净，有度假的感觉，服务也很周到', '短评打分': 3}
{'短评内容': '挺特别的，虽然早餐都没吃，前台的态度也不错', '短评打分': 5}
{'短评内容': '还是不错的，容易找，住的也挺舒服，服务都不错', '短评打分': 5}
{'短评内容': '老板非常热情，服务周到，环境也不错，早餐还可算可以，比较简单。', '短评打分': 5}
{'短评内容': '房间很大很好,在小区里停车不方便,早餐太简单了', '短评打分': 5}
{'短评内容': '房间布置的好漂亮啊，电脑、LED电视、家具都是全新的。舒服！卫生间还是恒温淋浴龙头。小区的环境非常不错，安全。还提供停车非常安全。下次会光临！ \n', '短评打分': 5}
{'短评内容': '很卫生，条件也很好，交通也非常方便，就是床稍微硬一点，下次一定还会来的！', '短评打分': 5}
{'短评内容': '＋房间不错。就是搞不懂为什么电视没信号。电脑没声音', '短评打分': 3}
{'短评内容': '比较温馨的公寓，老板人不错，装修也挺有心思的', '短评打分': 5}
{'短评内容': '＋蛮不错的房间。价格也算公道。', '短评打分': 3}
{'短评内容': '不错！性价比很高！环境非常好，安静、卫生、安全！房内配置非常高，早餐也非常好吃，服务非常周到，就像回到家的感觉！', '短评打分': 5}
{'短评内容': '房间布置的好漂亮啊，电脑、LED电视、家具都是全新的。舒服！卫生间还是恒温淋浴龙头。小区的环境非常不错，安全。还有提供车库停车非常安全。可惜车库有限，其余的都是露天停车。下次还来这！', '短评打分': 5}
{'短评内容': '小区内环境好，安静。客房内配置高。32寸海信LED电视，4核高配电脑光纤上网，恒温卫生间淋浴。酒店内还有配备西餐厅等设施。老板人很热情', '短评打分': 5}
{'短评内容': '酒店24小时保安及小区保安巡逻让人睡的安稳，小区内环境好，安静。客房内配置高。32寸海信LED电视，4核高配电脑光纤上网，恒温卫生间淋浴。酒店内还有配备西餐厅等设施。在龙岩可以说是配置最高的了。性价比真是好。', '短评打分': 5}
{'短评内容': '房间不小。不过卫生间不是很理想，龙头太复杂。小便池下面没管子不能用。热水是电加热的。毛巾较硬。车子进出很不方便。停车有难度。', '短评打分': 1}
