{'短评内容': '免费升的行政，整体不错，就是热水出的慢', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '酒店比较老，五百左右的价格也不便宜。整体服务也一般。反正我觉得性价比没有附近别的酒店好。', '短评打分': 2}
{'短评内容': '感觉还是可以的。', '短评打分': 4}
{'短评内容': '五星酒店五星服务', '短评打分': 5}
{'短评内容': '还不错，但到不了四星', '短评打分': 5}
{'短评内容': '还没住呢，如何评价', '短评打分': 5}
{'短评内容': '莫名其妙被取消，退款进程缓慢', '短评打分': 1}
{'短评内容': '酒店不错，性价比高', '短评打分': 5}
{'短评内容': '房间通风不好，特别闷热，把暖气关掉也没用，就是闷得感觉人已经是缺氧，头特别疼。老宾馆，一切都很陈旧，早餐太过简陋，不好，感觉不灵', '短评打分': 3}
{'短评内容': '环境优雅，干净卫生', '短评打分': 5}
{'短评内容': '早饭很丰盛，环境好，房间干净', '短评打分': 5}
{'短评内容': '房间挺好的，停车场也挺大，停车方便，房间条件也不错。', '短评打分': 4}
{'短评内容': '房间不错 也很安静', '短评打分': 5}
{'短评内容': '  我很喜欢这家酒店，因为我在这儿呆的感觉觉的很不错，他好像对这儿情有独钟。这里位处上海中心商圈的，，购物美食都很方便，交通也不错，值得回头的一家酒店', '短评打分': 4}
{'短评内容': '环境很好！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境以及酒店设施都不错就是价格略显高了点', '短评打分': 4}
{'短评内容': '性价高，附近购物交通方便，酒店环境可以，就是无线信号总掉线，希望改进，早餐不错，每天的比较新鲜，服务热情，是够标准的', '短评打分': 4}
{'短评内容': '到酒店很晚，在酒店西餐厅吃饭，等了很久才上了碗意大利面，心塞', '短评打分': 5}
{'短评内容': '酒店总体不错，入住中途停水一次，晚上房间温度偏低，建议换一换一次性拖鞋，现在房间里配的味道很大.', '短评打分': 5}
{'短评内容': '很一般，跟图片差别很大，房间很小，布置很一般 ', '短评打分': 1}
{'短评内容': '没想到在松江这样偏僻的小地方，敬爱个局日阿也要那么贵！', '短评打分': 1}
{'短评内容': '总体感觉不错，交通方便，卫生一般，房间也大下次\n，我还会住\n\n', '短评打分': 5}
{'短评内容': '服务很到位，下次还会入住。比较适合商务客人。', '短评打分': 5}
{'短评内容': '价格偏高，房价不含早餐。周围配套不多，去的时候前台只有一个人入住效率不高。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '性价比不高~早餐要另外加钱性价比不高~早餐要另外加钱性价比不高~早餐要另外加钱性价比不高~早餐要另外加钱性价比不高~早餐要另外加钱', '短评打分': 1}
{'短评内容': '酒店房间很不错，早餐还好，附近出行很方便。', '短评打分': 5}
{'短评内容': '入住的是豪华双床房。酒店的配套设施完善，安全性很好。床上用品和洗浴用的毛巾都非常舒适。但早餐中餐不够精细，品种少。西餐区尚可。由于不是繁华的商业圈，建议酒店的商务中心多为客人准备些货品。', '短评打分': 5}
{'短评内容': '我觉得旁边的火锅店更赞。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '帮同事定的，主要地点合适。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '帮同事预定。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '＋很好，下次还住这里。', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '旁边的火锅店是亮点，酒店还凑合，因为客户也经常在那里搞活动，就近，方便，价格年后居然涨了一点,500以下比较有性价比', '短评打分': 5}
{'短评内容': 'buhao ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,', '短评打分': 1}
