{'短评内容': '酒店位置很好。', '短评打分': 5}
{'短评内容': '有早餐，十元一人，还不错，吃的饱饱的去爬山。距离金沙索道就几百米远，停车比较困难，店门口能停三部车子', '短评打分': 5}
{'短评内容': '总体来说，这个价格，也可以啦', '短评打分': 4}
{'短评内容': '早餐10元每位，没有面条，其他基本都有，酒店位置离景点入口处步行5分钟，很近。酒店门口只能停2台车，所以基本没停车场！', '短评打分': 3}
{'短评内容': '特价房就凑合，适合男孩子住，唯一的好处是离景区入口近。WiFi时好时坏，不稳定，老板还算热情，附近有个酒吧，周六的时候有点扰民！', '短评打分': 3}
{'短评内容': '酒店就在金沙索道旁，上山很方便。老板很热情，适合家庭出游，价格蛮实惠。', '短评打分': 4}
{'短评内容': '离景区门口仅200m，很方便。', '短评打分': 5}
{'短评内容': '整体还不错，老板娘也非常热情，因为房间要经常打开通风，这个季节虫子又多，难免会跑进来一些，老板娘还亲自给抓虫子，早上老板娘还给盛了一碗粥给宝宝喝，反正这里值得推荐。', '短评打分': 5}
{'短评内容': '整体还不错，老板娘也非常热情，因为房间要经常打开通风，这个季节虫子又多，难免会跑进来一些，老板娘还亲自给抓虫子，早上老板娘还给盛了一碗粥给宝宝喝，反正这里值得推荐。', '短评打分': 5}
{'短评内容': '房间挺大，不错，卫生间欠些，一楼小菜不错，环境好', '短评打分': 5}
{'短评内容': '满意！地理位置好，在金沙索道入口附近，房间很干净舒适。老板人很好，免费外借登山拐杖，雨衣是有用过就付钱，没用过退回就可以。下山回来随时都可以点上一碗热气腾腾的面条。', '短评打分': 5}
{'短评内容': '满意！地理位置好，在金沙索道入口附近，房间很干净舒适。老板人很好，免费外借登山拐杖，雨衣是有用过就付钱，没用过退回就可以。下山回来随时都可以点上一碗热气腾腾的面条。', '短评打分': 5}
{'短评内容': '还行吧，环境不错', '短评打分': 4}
{'短评内容': '酒店不错，比想象中好，靠近索道，很方便！满意！！让人不愉快的是没有即使申请返现，返现的钱被艺龙收走了，这样的事不止一次了，希望不要对返现设置太多规矩！！！', '短评打分': 3}
{'短评内容': '很好，很文艺，旅馆炒菜味道一般', '短评打分': 3}
