{'短评内容': '卫生条件差', '短评打分': 2}
{'短评内容': '卫生条件差', '短评打分': 2}
{'短评内容': '方便快捷……', '短评打分': 3}
{'短评内容': '无线网不是那么号', '短评打分': 2}
{'短评内容': '特别好，司机热情，前台接待也好！重要的是房子很好', '短评打分': 5}
{'短评内容': '酒店该重新装修了', '短评打分': 3}
{'短评内容': '还可以吧。。', '短评打分': 4}
{'短评内容': '还行吧，一般', '短评打分': 5}
{'短评内容': '没有电梯，硬伤啊，其他还好。', '短评打分': 5}
{'短评内容': '环境还好，价格有点贵，也只能接受了', '短评打分': 5}
{'短评内容': '还好，服务很好。', '短评打分': 5}
{'短评内容': '离机场挺近，价格也还好。挺不错的', '短评打分': 5}
{'短评内容': '666666666666676', '短评打分': 5}
{'短评内容': '还行吧，不是太好?', '短评打分': 3}
{'短评内容': '卫生一般，不过作为中转酒店还行啦。', '短评打分': 5}
{'短评内容': '很好，很好，很好。很好', '短评打分': 5}
{'短评内容': '还可以，机场方便，有车送到机场，很好', '短评打分': 5}
{'短评内容': '房间是老房子，但房间还可以，在机场附近来说算可以的了', '短评打分': 5}
{'短评内容': '感觉还行，还是比较相信京东！', '短评打分': 5}
{'短评内容': '非常干净，就是没有电梯，行李多的话搬得有点累', '短评打分': 5}
{'短评内容': '复式房间，温馨舒适，内有暖气，整体很满意。虽然在机场旁边，但也不是很吵。', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '十分满意！', '短评打分': 5}
{'短评内容': '酒店不错，携程服务太差，越来越坑人了，以后订房要小心谨慎！', '短评打分': 5}
{'短评内容': '总体感觉还不错，离机场近，有车接送，出行方便', '短评打分': 5}
{'短评内容': '离机场近，免费接送机！服务态度好，房间干净整洁卫生！', '短评打分': 4}
{'短评内容': '说好的优惠呢', '短评打分': 3}
{'短评内容': '还行，隔音效果不佳。', '短评打分': 4}
{'短评内容': '环境不错，空调给力，有网络，总体还不错', '短评打分': 5}
{'短评内容': '将就着住了一晚', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务还行，但是说实话，那个条件价格有点贵了。。可能是靠近机场的原因吧，晚上的航班很适合住。。', '短评打分': 5}
{'短评内容': '，房间有些小，有点异味，但是总体感觉还行，总台服务态度不错！', '短评打分': 3}
{'短评内容': '不错，卫生，离机场 近，液晶电视，没有电梯.无线上网', '短评打分': 5}
{'短评内容': '环境还可以，有接送机，较方便，服务不错价格略高些。', '短评打分': 3}
{'短评内容': '这样的酒店根本不配300元左右的价位，\n唯一的优点就是离机场很近，\n\n其次，\n我住的是标准间，\n房间很小，\n最最重要的一点就是，\n根本没法洗澡，\n水压非常的小，\n小到没法洗澡，\n而且洗淑池的水放出来全都是黄色的，\n带泥沙、土之类的，\n\n一个价位在300左右的酒店竟然没有电梯，\n行李很多很重还需自己搬上去...\n\n哎，\n反正我以后是不再会住这里了，', '短评打分': 1}
{'短评内容': '安静，但太简单了。去候机很方便', '短评打分': 3}
{'短评内容': '价格还能接受，就是房间有异味，希望把房间异味消除', '短评打分': 5}
{'短评内容': '还不错的酒店，离西安机场很近，对于在西安转机的同事，都给他们定这家，说是不错的', '短评打分': 5}
{'短评内容': '没暖气，没空调，能把人冻死！枕头床单都没洗干净。就是说什么都没有，问前台的任何问题都是一问三不知，总是说，哦，我们在维护’维护，那你至少告诉我你维护什么呢！不会再去了！为了这么个酒店还害我得了感冒！', '短评打分': 1}
{'短评内容': '酒店还不错  卫生挺干净的 当时入住的是普通间 厕所在房间外有点不方便  如果在房间内的话会更更好  有机会还会入住的', '短评打分': 5}
