{'短评内容': '设施一般。', '短评打分': 3}
{'短评内容': '房间一点也不隔音', '短评打分': 1}
{'短评内容': '设施、装修比较陈旧，根本不是页面描述的15年装修的。', '短评打分': 2}
{'短评内容': '前台不专业，携程上预定的房间前台居然查不到。', '短评打分': 3}
{'短评内容': '早餐太差，几乎没有啥可吃的，且要到七点半才有！酒店设施老旧，斑驳脱落，房间内毛巾、浴巾等太旧了。早晨退房慢，足足搞了一刻钟！明明我订的是标房，系统咋就跳出成大床房了，也怪自己没细看就确认付款了……', '短评打分': 2}
{'短评内容': '这个价格就这样，你愿意出多少钱，那么，你得到的东西就是对等的，好在停车方便还免费，一定要赞一下，有机会又来', '短评打分': 5}
{'短评内容': '交通方便，吃饭附近很多选择', '短评打分': 4}
{'短评内容': '酒店比较老，设施陈旧', '短评打分': 3}
{'短评内容': '酒店在二环路路边，晚上噪音比较大。', '短评打分': 4}
{'短评内容': '卫生条件还可以，价钱偏贵', '短评打分': 4}
{'短评内容': '周边交通便利，环境相较安全，卫生比较干净', '短评打分': 4}
{'短评内容': '很好啊哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '非常好啊哈哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '很普通的酒店，设施沉久价钱偏高', '短评打分': 3}
{'短评内容': '还可以，就是设施有点旧，性价比不错', '短评打分': 5}
{'短评内容': '比较差，不建议入住，房间也很脏！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '环境还不错！交通也方便！', '短评打分': 3}
{'短评内容': '经常住那里，该说的都说了，20字20字20字20字20字20字20字20字20字20字20字20字20字20字20字', '短评打分': 5}
{'短评内容': '酒店的服务员都很热情，停车也很方便，餐厅的饭菜也很不错，只是住了3天都没起来吃早餐，故对早餐没法评价。房间很干净，小巧但是精致，尤其是无线网络很不错。白天的时候超快，晚上稍微慢点。下次来成都还是会选择住这的。。', '短评打分': 5}
{'短评内容': '价格还算合理公道，我住三楼最里面，挺安静。就是有一点，房间隔音效果差，隔壁电视声音都可以传过来。房间有霉味', '短评打分': 5}
{'短评内容': '酒店很安静,停车方便,性价比很高。', '短评打分': 3}
{'短评内容': '环境还行，最近网络很慢。服务员热情，房间干净。', '短评打分': 5}
{'短评内容': '在这个酒店住了四天三夜，总的说来不错。我住的豪华单间，居然这个一共只有4个房间的所谓豪华单间的房间，无线网络的信号差得出奇。又没有提供有线上网，这方面需要改进。其它都很好！', '短评打分': 5}
{'短评内容': '管理不是很规范,需要加强,早餐太简单了,并且时间太短', '短评打分': 5}
{'短评内容': ' 有停车场  方便，整洁。就是隔音效果一般   ！', '短评打分': 5}
{'短评内容': '开空调跟不开空调的效果是一样的，被子又薄，床垫太差劲了 一边高一边矮，一般一般', '短评打分': 1}
{'短评内容': '还行，液晶电视，大床！WIFI速度也还可以！！！', '短评打分': 5}
{'短评内容': '  干净', '短评打分': 3}
{'短评内容': '酒店位置好,服务态度好,酒店卫生整洁,停车还是军区内,安全!是一个性价比高的酒店!', '短评打分': 3}
{'短评内容': '距西南财大较近，方便出行。房间里的墙纸上有些霉点，大概是成都气候过湿的原因。', '短评打分': 5}
{'短评内容': '房间还不错', '短评打分': 3}
{'短评内容': '酒店不错很干净我喜欢', '短评打分': 3}
{'短评内容': '感觉一般', '短评打分': 3}
{'短评内容': '打车不方便，没有代表性的建筑酒店附近的名字出租车都不知道，每次能说到成温立交桥，在一点点给的士司机指路，酒店还那样，隔音效果太差，隔壁看电视说话这边都能听到；', '短评打分': 1}
{'短评内容': '空调效果不好，上网太慢，房间较小，还是早早回家的好', '短评打分': 5}
{'短评内容': '大床房很好，无论是装潢还是服务都很贴心。卫生间也很整洁宽敞，晚上还挺安静。总体上性价比很高。还提供无线网络，上网方便。\n早上的早餐是自助的，和高档酒店当然是不能比，但是很实惠，对得起它的价格了。', '短评打分': 5}
{'短评内容': '我是帮朋友定的，朋友说还可以！下次来成都还是可以去那里住！', '短评打分': 5}
{'短评内容': '1、已经入住了，酒店反馈ELONG我没入住；\n2、先住的是豪单，卫生间一股怪味，投诉换房，保洁员进门就说这房一直怪味，郁闷，既然怪味为什么还安排？\n3、卫生间堵、被单潮。\n\n所幸前台还算客气', '短评打分': 1}
{'短评内容': '＋非常糟糕，去了酒店前台说没有这个预定，她说她是一个月没上班，第一天上班！害得我晚上睡觉没着落…', '短评打分': 3}
{'短评内容': '价廉物美，物有所值。 房间的装潢还不错，对这种价格来说算是豪华了', '短评打分': 5}
{'短评内容': '干净，觉得还不错，比较方便，主要是离回家的汽车站很近', '短评打分': 5}
{'短评内容': '酒店一般，隔音效果差，最无法忍受的是房间既然没有挂衣服的地方，以准备换酒店！', '短评打分': 3}
{'短评内容': '不错的酒店。服务也很好，就是卫生间不是很喜欢，第一天住的卫生间，味道很大，第二天换了一个房间，总体感觉不错！下次还会来', '短评打分': 5}
{'短评内容': '整洁舒适，无线上网，价格合理!美中不足的是进房间后发现头天客人留下的垃圾未清理。出门办事时向服务员交待了一声要求清理，晚上回来时发现还残留在房间里！\n  希望服务素质提高！', '短评打分': 5}
{'短评内容': '不错，值得再住。新的酒店，服务不错。环境不错，绝对安全，是武装部的地盘。', '短评打分': 5}
{'短评内容': '不错较好！', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '卫生很干净态度也好', '短评打分': 3}
