{'短评内容': '服务态度好，房间卫生', '短评打分': 4}
{'短评内容': '出差去的，附近购物饮食非常方便，酒店服务态度很好，，前台叫车非常及时，早餐不错。唯独觉得缺点就是离机场太远了。', '短评打分': 4}
{'短评内容': '房间不错，出差办事都住哪里', '短评打分': 5}
{'短评内容': '房间干净卫生！早餐也不错！傍边吃的！逛的也多！', '短评打分': 5}
{'短评内容': '位置较好，设施齐全，服务周到，卫生环境好，值得推荐！！！', '短评打分': 5}
{'短评内容': '离工作地点近，干净，周边购物方便，交通方便。', '短评打分': 5}
{'短评内容': '周边配套一应俱全，酒店性价比尚可', '短评打分': 4}
{'短评内容': '周边配套商业一应俱全，酒店性价比尚可，办事方便。', '短评打分': 4}
{'短评内容': '宾馆附近配套商业很齐全。宾馆性价比尚可。', '短评打分': 4}
{'短评内容': '朋友反映很不错，给个赞赞赞！朋友反映很不错，给个赞赞赞！朋友反映很不错，给个赞赞赞！一般好事都有说三遍朋友反映很不错，给个赞赞赞！朋友反映很不错，给个赞赞赞！朋友反映很不错，给个赞赞赞！一般好事都有说三遍', '短评打分': 5}
{'短评内容': '挺好的，服务态度一般，因为只住一晚，要求不高', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还是这样子，已多次入住了，简单清洁的酒店！', '短评打分': 5}
{'短评内容': '还是这样子，已多次入住了，简单清洁的酒店！', '短评打分': 5}
{'短评内容': '酒店环境还行，房间没有无线。', '短评打分': 4}
{'短评内容': '房间够大，比如家之类的好一点。所处地方较偏，打车略有不便', '短评打分': 3}
{'短评内容': '酒店的房间卫生还是比较干净档次和快捷酒店一样价格和同档次的酒店比太高交通不方便', '短评打分': 3}
{'短评内容': '地理位置很好，装修现代化，服务事也不错。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，房间配套也不错，早餐也挺给力，挺多推介会都在那边开，只是一点不足，就是出租车很少，比较难等！', '短评打分': 5}
{'短评内容': '很不错，环境好，而且服务态度也很好，就是酒店附近不太好打车', '短评打分': 5}
{'短评内容': '酒店环境不错，周围就餐很方便，房间也不错，好评！早餐稍显简单。', '短评打分': 5}
{'短评内容': '房间很大，床很舒服软软的。是我喜欢的感觉。周边吃的比较多，方便。服务感觉很棒。', '短评打分': 5}
{'短评内容': '性价比不高，对不起300块这个价格！', '短评打分': 3}
{'短评内容': '还行 体育城附近这家还是比较好的，就是交通不方便些！', '短评打分': 5}
{'短评内容': '房间挺宽敞，感觉蛮干净，服务态度也不错，还会送水果，隔音效果稍显不足。', '短评打分': 3}
{'短评内容': '涨价了，早餐品种也少了，就是因为近才选择这里。', '短评打分': 5}
{'短评内容': '就是一个商务酒店，还说是4星级标准，我住的房间，被套还有污渍。唯一值得赞赏的是服务，很热心！', '短评打分': 1}
{'短评内容': ' 房间很好，环境也不错。但早餐一般。最重要的是交通太不方便啦。打不着出租车。', '短评打分': 3}
{'短评内容': '很好，长途免费打，人性化，价格也合适，推荐大家选择', '短评打分': 5}
{'短评内容': '早餐还可以，整体感觉不错', '短评打分': 3}
{'短评内容': '整体感觉还不错，比较整洁干净，比较舒适。\n早餐不错。\n洗浴间是玻璃墙隔开的，不好。', '短评打分': 5}
{'短评内容': '除了位置比较偏别的都不错，特别是在他周边有许多吃饭的地方。', '短评打分': 5}
{'短评内容': '酒店很干净，也很有档次，服务也很好。以后还会订。', '短评打分': 5}
{'短评内容': '酒店很安静，早餐很好，停车方便安全，浴室的热水很大，洗澡很舒服。', '短评打分': 5}
{'短评内容': '住了一周还行~交通便利~坐落于昆明最繁华的步行商圈，对于购物者来说挺好，就是卫生间比较小设施稍有些陈旧~前台服务态度不好！', '短评打分': 5}
{'短评内容': '该酒店以前住过，离我要去的地方非常近，服务、卫生都非常好，晚上也很安静，在昆明算是性价比很高的酒店了', '短评打分': 5}
{'短评内容': '住宿环境很好，很安静，房间内设施。早餐品种多，中西式都有。口感还好。。', '短评打分': 5}
{'短评内容': '位置、服务、硬件都很好！房间给人清新怡人的感觉！', '短评打分': 5}
{'短评内容': '我帮父母定的房，反应还不错，谢，下次还住', '短评打分': 5}
{'短评内容': '很干净!', '短评打分': 3}
{'短评内容': '干净利落，不错!', '短评打分': 3}
{'短评内容': '整体感觉还不错，交通不是很方便\n', '短评打分': 3}
{'短评内容': '还可以.比较干净', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '非常不错，交通方便，服务很好，房间很干净，非常好的酒店', '短评打分': 5}
{'短评内容': '整體都不錯~就是位置較偏~ 但真的比丽江好很多~ 丽江爛到爆~ 看到外地來的~每個都像待宰的肥羊~ 感覺差死了~ 一點都不想再去~ 也不會推薦朋友去丽江旅遊的~', '短评打分': 5}
{'短评内容': '除了电视机没有液晶的其他的设施可以，比较人性化。还有服务员普通话不标准，希望改进', '短评打分': 5}
{'短评内容': '感觉不错。房间大，设施齐。态度优，！！！下次一定在过来入住！', '短评打分': 5}
{'短评内容': '不错。我们昆明新螺蛳湾购房团很满意的。风景不错，出入方便。我们开会也有大型会议厅', '短评打分': 5}
{'短评内容': '想开开心心玩舒舒服服睡觉，刚刚好，来到这里。满意100', '短评打分': 5}
{'短评内容': '还不错的，离体育中心一步之遥', '短评打分': 3}
{'短评内容': '帮爸妈订的 满意 ', '短评打分': 3}
{'短评内容': '两年之后再次入住,酒店已经很旧了,不值得推荐入住了.', '短评打分': 1}
{'短评内容': '酒店不错，我喜欢', '短评打分': 5}
{'短评内容': '位置有些偏，不太好打车，公交车和地铁也很少，但是酒店确实很不错，性价比高。', '短评打分': 5}
{'短评内容': '酒店内部环境挺好，新装修，标准的商务配置，可能是因为周边没有太多酒店竞争，生意挺好，特别是旅行团多，在昆明这个地点房价稍微有点贵。', '短评打分': 5}
{'短评内容': '这个酒店还可以', '短评打分': 5}
{'短评内容': '刚好离办事的地方最近，整体一般。房间隔音不好。', '短评打分': 5}
{'短评内容': '早餐不好吃', '短评打分': 5}
{'短评内容': '热水很舒服', '短评打分': 5}
{'短评内容': '卫生服务方面做的都非常好,位置也不错,离我办事的地方,出行都很方便,但就是房间的隔音效果不太好.', '短评打分': 3}
{'短评内容': '其他地还可以,不隔音.白天水很不热', '短评打分': 5}
{'短评内容': '当时开会就订在这家酒店,环境还可以,就是接机服务17:30就停止了,不太方便.', '短评打分': 3}
{'短评内容': '还行就是交通不便利，打不到车。', '短评打分': 1}
{'短评内容': '酒店的地点比较偏，打车很不方便，到市里也要60元，硬件设备也相应差了点，人员服务还是不错的，价格也挺便宜的。', '短评打分': 1}
{'短评内容': '此酒店的地理位置不太好，打车不是很方便', '短评打分': 5}
{'短评内容': '非常适合有车时住', '短评打分': 3}
