{'短评内容': '房间灯光有点暗', '短评打分': 4}
{'短评内容': '还不错。没有早餐', '短评打分': 5}
{'短评内容': '一般般了了', '短评打分': 3}
{'短评内容': '比较好找，就在无界悠活广场对面一条巷子进去几十米的地方，也有很大的牌子，卫生可以，设施不齐全，临界的房子有点吵。没有电梯，空调开不了，其它都还可以', '短评打分': 4}
{'短评内容': '非常差劲的体验，真的是辣鸡。房间异味非常重，摆放的物品上有一层浮灰。浴室花洒也是坏的。真不知道评分哪里凯德', '短评打分': 1}
{'短评内容': '还是不错哦，亲们', '短评打分': 5}
{'短评内容': '房间一般，我住的那个房子竟然被子上还有烟头烫的洞，竟然没人管！而且周围环境不是很好，不过对得起宾馆这个价格了！', '短评打分': 4}
{'短评内容': '环境卫生都不错，价格便宜！', '短评打分': 5}
{'短评内容': '不错的一家小酒店，干净、卫生，服务好。', '短评打分': 5}
{'短评内容': '还可以，老板为人不错！', '短评打分': 4}
{'短评内容': '房间很小，设施一般，看在这个价格的份儿上，也不能要求太高。。。前台的服务员真的很感谢，只住了一晚，然后行李箱寄存在前台了十几天，都没有抱怨，态度很好。', '短评打分': 3}
{'短评内容': '酒店不提供空调，电脑键盘坏了，也不修，也不换，浴巾破旧', '短评打分': 3}
{'短评内容': '还可以吧，挺干净，不知道为什么前台电话打不通', '短评打分': 3}
{'短评内容': '有网络，房间干净，还行吧', '短评打分': 3}
{'短评内容': '没有无线网有点可惜，其余倒是还不错啦。', '短评打分': 3}
