{'短评内容': '环境优雅、惬意、舒适。。。性价比非常高的酒店。。。', '短评打分': 5}
{'短评内容': '还算可以，就是有骚扰打话。是个按摩房打过来哦', '短评打分': 5}
{'短评内容': '＋帮出差同事订的，环境据说还不错，主要性价比很高，离CBD很近，交通很方便！再出差还会选择这里！', '短评打分': 3}
{'短评内容': '这个价位还对得起，房间一般般！！！！！！！', '短评打分': 5}
{'短评内容': '这个价位还能对得起啦！一般般！！！一般般！！！', '短评打分': 5}
{'短评内容': '地方比较容易找\n坐出租车也比较方便\n如果来未来路纬四路办事，并且经济因素不允许住附近大宾馆的话，这里相对来说还是可以接受。', '短评打分': 5}
{'短评内容': '服务很不错', '短评打分': 3}
{'短评内容': '经济快捷，总体还好，交通方便，但是就餐不便，', '短评打分': 4}
{'短评内容': '帮别人定的酒店，从郑州回来后说那的条件很一般。希望有待改进吧。', '短评打分': 1}
{'短评内容': '总体不错，价格也可以。就是透气不大好。', '短评打分': 3}
{'短评内容': '环境不错，条件不错，服务不错：好！', '短评打分': 3}
{'短评内容': '还不错，也挺好找的我支持，下次出差还去那', '短评打分': 5}
{'短评内容': '酒店还行，就是价格不低，位置不太好找。~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，环境还好。就是空调该修修了，看着没什么问题，都能打开，就是没什么温度，冬天去的，开到30度了，什么也没感觉到。', '短评打分': 5}
