{'短评内容': '不错，干净，周边环境好，火车站近。', '短评打分': 4}
{'短评内容': '周边环境有点吵 卫生一般', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间里下水道味道很重，房间比较吵闹', '短评打分': 3}
{'短评内容': '酒店位于金华汽车西站边，交通方便', '短评打分': 4}
{'短评内容': '经济型酒店', '短评打分': 4}
{'短评内容': '由于到达酒店的时间很晚了，服务员的态度有些不友好，但位置不错，距离车站很近。对卫生间的卫生不太满意。', '短评打分': 4}
{'短评内容': '隔音不好，网速很快，距离火车汽车站都很近', '短评打分': 4}
{'短评内容': '纸巾质量不怎么的，电视背景墙有点花，床特高有点怪。卫生还凑合，上网网速还是不错的，离两车站都不远比较方便。', '短评打分': 3}
{'短评内容': '还可以的！！房间装修很温馨的！！服务员态度也很好！！', '短评打分': 5}
{'短评内容': '房间隔音效果差', '短评打分': 3}
{'短评内容': '在金华待了2个晚上 第一天是在紫阳豪庭大酒店 \n相对于那里100+的质量 我发现零距离230圆床的价位 确实不值\n我承认我被酒店照片迷惑了 看着很不错 但是实际感觉粗糙很多\n墙纸 天花板 感觉就像是廉价KTV 颜色搭配感觉不协调 有点艳俗 帘子感觉有点累赘\n大厅古铜色的建筑 感觉有点老旧  电梯只有一个 比较慢\n不过优势也有  离火车站非常近 房间遮光效果很好 床很软 相对于其他\n住处使用的洗发液', '短评打分': 1}
{'短评内容': '房间很好，环境不错，气氛很好，离火车站非常近，我下车步行3分钟就差不多到了。对房间比较满意', '短评打分': 3}
