{'短评内容': '位置好，不能加床', '短评打分': 5}
{'短评内容': '环境不错，舒适', '短评打分': 5}
{'短评内容': '挺好的，方便', '短评打分': 5}
{'短评内容': '全部差评', '短评打分': 2}
{'短评内容': '整个房间就一小卷纸，', '短评打分': 4}
{'短评内容': '很一般，设施很陈旧', '短评打分': 3}
{'短评内容': '经常住，还可以的。', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '卫生间地漏有问题，下水不畅。。', '短评打分': 2}
{'短评内容': '蛮好的！！！！！！', '短评打分': 5}
{'短评内容': '感觉不错，临时有事出去住的。', '短评打分': 3}
{'短评内容': '还可以，干净，整齐，', '短评打分': 3}
{'短评内容': '房间还比较干净，很容易找，工作人员服务态度也不错。', '短评打分': 3}
{'短评内容': '定的电脑房居然没有电脑   还没有wf', '短评打分': 3}
{'短评内容': '可以，对得起这个价格', '短评打分': 4}
