{'短评内容': '很不错 值得推荐，各方便都很好', '短评打分': 5}
{'短评内容': '酒店地理位置很好，周边环境不错很有韵味，别是一番风景，前台接待很热情周到很像家的感觉，房间装修很别致非常满意 下次还会入住他家，价格也很实惠性价比也高', '短评打分': 5}
{'短评内容': '很不错的酒店，房间是临街的落地玻璃大窗傍晚依窗而坐十分惬意，很是享受，房间空间很大，最主要的是出门办事方便，服务态度很好，一家三口很适合住，位置很不错', '短评打分': 5}
{'短评内容': '酒店环境好，干净卫生 设施设备很齐全，床品很舒服，早餐品种很多，餐厅大姐服务热情，是一家很不错的酒店，这次入住很满意，性价比很好 值得推荐入住', '短评打分': 5}
{'短评内容': '酒店还有免费喝茶的地方，过来出差约了朋友谈事事情很方便，大厅的家具很古典个人很喜欢，出了门就能看到现在腾冲很火的银杏叶，都不用去银杏村了，很喜欢周边环境', '短评打分': 5}
{'短评内容': '酒店位置很好 周边环境不错，房间干净整洁，服务热情周到，旁边吃东西的地方挺多 很方便，下次还会入住这家酒店，很不错值得推荐', '短评打分': 5}
{'短评内容': '酒店地理位置很好，环境不错，交通很便利，周边吃的东西都很多，安静卫生，服务员很热情，还赠送鲜花饼', '短评打分': 5}
{'短评内容': '过节能找到这样一个地不错了，不过很奇怪的是，导航导这个地址老出错，总跑到另一个黑漆漆比较荒的地方，第一次的时候是很晚了，周围又黑，车都没几辆，有点吓人。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间漂亮干净，服务不错。', '短评打分': 5}
{'短评内容': '房间整体设计简洁大方，但是在卫生打扫细节上不够仔细，淋浴房玻璃水渍没有清洗干净、房间地毯上污渍也没有清洗。', '短评打分': 4}
{'短评内容': '环境不错，最主要是服务好。', '短评打分': 5}
{'短评内容': '酒店有点小，没有一次性的拖鞋，', '短评打分': 4}
{'短评内容': '还行吧，隔音效果差了点，其他都还好，设施也齐全，吹风机什么都有，就是空调不太好。 早餐品种很多，总的来说酒店不错，值得入住', '短评打分': 5}
{'短评内容': '稍微有点旧，但整体不错，离热海也近。', '短评打分': 4}
{'短评内容': '酒店硬件不错，环境设施卫生都不错，就是餐厅和停车场都略微紧凑了一些。', '短评打分': 5}
{'短评内容': '房間熱水最舒服，服務員服務態度還不錯！早餐也不錯啊！', '短评打分': 5}
