{'短评内容': '在修路，吵，不建议。', '短评打分': 3}
{'短评内容': '服务态度一般，较干净，伍一楼通风不良，有股霉味', '短评打分': 5}
{'短评内容': '还不错~~就是有点难找，可能道路在维修，路不太好走。', '短评打分': 5}
{'短评内容': ' 挺干净 但太潮', '短评打分': 3}
{'短评内容': '免费宽带也没有的,地址也没有描述的那么市中心,凑合一夜吧!', '短评打分': 1}
{'短评内容': '地方在一个工地旁边，摆摊吵杂。房间有浓重气味。这也算了，晚上洗澡完了，居然没有毛巾擦身。。。。纠结。电脑么不用说了，全部病毒= =', '短评打分': 1}
{'短评内容': '有蚊子，有点脏，不喜欢，就是很经济了！路过暂时住一天还行！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1111', '短评打分': 1}
{'短评内容': '房间还干净，服务不错，电视很不错，值得住', '短评打分': 5}
{'短评内容': '热水挺好。空调太响，床被有点潮湿。房内空气不好，无换气扇，蚊子多。价格实惠。电视机是sony32寸，好。附近公交很多。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店一般，有窗户，但窗户外面有一堵墙，距离十公分，还不如没窗的', '短评打分': 3}
{'短评内容': '没有电梯，周围环境较差。服务的态度还可以。价钱可以。', '短评打分': 1}
{'短评内容': '酒店太破，太脏，桌子上一层灰，床单有一摊很大的污渍，房间手机信号也不好，睡拉一个晚上，浑身都痒死拉', '短评打分': 1}
{'短评内容': '  还可以  房间再大点就好了', '短评打分': 3}
{'短评内容': '周边有些荒凉，比较安静，价钱很便宜，交通比较方便', '短评打分': 5}
{'短评内容': '价格实惠。还算干净，交通比较方便。环境也行。周边购物比较方便', '短评打分': 5}
{'短评内容': '周围环境较差，马桶有点脏，自己洗干净了。热水、空调挺好。床垫太薄。价格实惠。电视机是sony32寸，最不错。', '短评打分': 1}
