{'短评内容': '酒店条件一般！', '短评打分': 3}
{'短评内容': '前台态度差劲，房间特不卫生，不适合出差', '短评打分': 1}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '环境不错，就是位置有点偏。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '最差的一次入住体验  还好意思说自己是连锁的  真是一分钱一分货  住的时候换房还要加钱  劝大家别去尝试  服务态度太差  都没有小旅店号  那让房间的不敲门就进去   一句道歉都没有  放在屋里的东西改扔的不扔不该给扔了  ', '短评打分': 1}
{'短评内容': '还算可以吧。价钱很便宜', '短评打分': 5}
{'短评内容': '不要定', '短评打分': 1}
{'短评内容': '房间有点潮，交通便利', '短评打分': 3}
{'短评内容': '非常棒。主要是干净。感觉特别好。去哪都方便。', '短评打分': 3}
{'短评内容': '房间不错，很宽敞，比较干净', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 2}
{'短评内容': '交通便利，就是房间有点潮', '短评打分': 3}
