{'短评内容': '价格比其他地方便宜，很不错', '短评打分': 5}
{'短评内容': '这个价格都安排在C区，距大堂较远，走路要20分钟，室内设施一般但卫生不错，客房管理人员热情，服务到位。温泉不错。早餐一般。', '短评打分': 5}
{'短评内容': '住宿条件还行吧', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '七里坪就他们一家温泉，温泉还可以不错，散客门票160一张，这样算下来我们两人房间费用才300块也不算贵，最好自己有车住的地方离温泉和前台都很远，如果是求安静地方确实不错，晚上泡了温泉出来几乎街上没有什么人了也没有卖吃的，总的来说还是不错', '短评打分': 3}
{'短评内容': '很不错。适合带小孩和爸爸妈妈玩.环境也好', '短评打分': 5}
{'短评内容': '酒店环境和设施还是不错的，但是房间偏小，背后靠着工地，另外离前台太远，没有自驾的朋友会很不方便。另外餐饮店很少，且关门也较早。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境很好，很凉快，房间装修有些老了，其他都很满意。', '短评打分': 5}
{'短评内容': '这个是什么情况？', '短评打分': 5}
{'短评内容': 'B3吃早餐远了点。', '短评打分': 5}
{'短评内容': '这个酒店我每年都来住，说说感觉吧：房间有阳台，有比较温馨的沙发，这样的小套房环境是我喜欢的。但是还是太旧了，房间内东西很多失修的电热水器只能出热水十分钟……再说说温泉，一如既往的脏，这次还带孩子去了温泉的鱼疗池泥浴盐浴，这个特色浴就太不推荐了，鱼池里底下很多鱼屎粑粑……泡一会就不想在里面坐着了，盐和泥浴温度太冷，这个天根本不可能玩，问工作人员可以把温度调高一点不，工作人员表示已经最高温度了，几乎跟', '短评打分': 4}
{'短评内容': '房间比想象中要好，入住大厅和温泉太远。', '短评打分': 4}
{'短评内容': '洗澡热水5分钟，太失望了吧。', '短评打分': 5}
{'短评内容': '酒店的环境很好，在峨眉山半山，空气清新，订的含晚餐和早餐的套餐，还是蛮划算的！套餐里面包含了温泉，温泉虽然不大，但是水很干净，还是可以！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店本身位置环境都挺好，道路也适合开车自驾。美中不足的是大多数消费只能用现金，而且很难找到取款机', '短评打分': 5}
{'短评内容': '挺不错的小别墅型酒店，用具齐备环境舒适，适合家庭旅游或者自驾游', '短评打分': 5}
{'短评内容': '位置不好找但是环境还可以', '短评打分': 3}
{'短评内容': '酒店周围的环境很好，就是住的房间空调声音太大，吃饭很方便，价格也便宜', '短评打分': 4}
{'短评内容': '非常满意，非常漂亮，夏天避暑，冬天看雪，好地方。养生休闲好去处。', '短评打分': 5}
{'短评内容': '坏境超好，房间很大，很舒服，很暖和，但是不开车去就不是很方便了！', '短评打分': 5}
{'短评内容': '房间性价比还可以，温泉服务太差，餐食一般吧。希望提高服务品质。', '短评打分': 5}
{'短评内容': '入住的时候，不知道什么缘故，前台说找不到我的订单，幸亏我有短信确认，后来还是顺利入住。酒店的环境还是不错的，就是可能因为是淡季，旁边的饭馆开的很少。温泉离酒店需要开车。走路还是有点远。', '短评打分': 5}
