{'短评内容': '酒店了还可以房间也比较大', '短评打分': 4}
{'短评内容': '早餐一般般', '短评打分': 4}
{'短评内容': '酒店无理扣压金，服务员也太差，没有水平太差了。。。', '短评打分': 1}
{'短评内容': '好。。。。。好好好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好好好。。。。。。。。。。。。。。。。。。？。？？？？。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错有情调', '短评打分': 5}
{'短评内容': '不错的服务呢', '短评打分': 5}
{'短评内容': '感觉一般吧，上下电梯不方便。服务还可以', '短评打分': 4}
{'短评内容': '前台服务太差，臭脾气', '短评打分': 5}
{'短评内容': '就那个样子……………', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '所谓的行政房，是原来的桑拿房改的，又旧又破，太差劲', '短评打分': 3}
{'短评内容': '有大浴缸哦，', '短评打分': 5}
{'短评内容': '环境好，超值，这个价格完全是非常意外的惊喜……下次还会去那里住，服务员态度也很好。房间超级干净。我喜欢', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '设施挺好 价格不算贵 空间大', '短评打分': 4}
{'短评内容': '酒店的确不错，各方面设施都可以，环境也很好，房间超大，还提供早餐，在这个价位的确不错，值得大家去入住。', '短评打分': 5}
{'短评内容': '总体还不错。靠近梅观高速，现在的快速路，大概四星左右标准，价格算很实惠，这段时间无早餐，因餐厅装修，环境很安静，交通算方便。推荐入住。', '短评打分': 4}
{'短评内容': '不是很好', '短评打分': 3}
{'短评内容': '酒店很好，就是出行不太方便。酒店很好，就是出行不太方便。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': ' 酒店很好，就是打车不太方便。', '短评打分': 3}
{'短评内容': '豪华单人房感觉还不如行政大床房，有些房的房锁不好，锁不了门，早餐单调，没什么好吃的', '短评打分': 5}
{'短评内容': '这酒店太有个性，住的很舒适！\n床睡的特别的舒服【还是圆的哦！】\n早餐也比较丰富～～··\n早餐要是有牛肉吃就好咯！', '短评打分': 5}
{'短评内容': '酒店马马虎虎吧!', '短评打分': 3}
{'短评内容': '不错的酒店，吃喝玩乐，样样舒适，建议体验。', '短评打分': 5}
{'短评内容': '酒店还算豪华，符合四星标准，价位再优惠点就更好了！', '短评打分': 3}
{'短评内容': '房间清洁，安静。和附近的酒店相比是比較好的相。要是早餐多点选擇更好。', '短评打分': 5}
{'短评内容': '比较有特色。', '短评打分': 3}
{'短评内容': '如果不是离客户很近，估计不会去住。\n服务还可以，就是硬件需要加强啊。', '短评打分': 1}
{'短评内容': '感觉一般啦，就是周边交通比较方便。\n容易答到车。\n\n空调不怎么给力，热啊。修过一次，到晚上又不行了。', '短评打分': 1}
{'短评内容': '酒店环境和装修还好，就是无有线网络，无线网络太差无法使用，早餐还行。无网络有点让人无语，性价比一般，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '实在一般，房间还挺大，电源插座都是尖头的，一楼餐厅做的也不好吃', '短评打分': 3}
{'短评内容': '环境很好，住着也挺舒服的，服务员很热情，服务到位，下次去了还住那里。', '短评打分': 5}
{'短评内容': '酒店入住,品質比想像中好,很安,空間很大\n房門有損壞,要檢點維修', '短评打分': 5}
{'短评内容': '酒店装修还将就,但是施工质量不杂好.尤其是服务员的服务速度和质量不杂样.', '短评打分': 1}
{'短评内容': '服务人员热情但管理松散', '短评打分': 3}
{'短评内容': '酒店新舒服', '短评打分': 3}
{'短评内容': '价廉物美，值得去住一下。呵呵价廉物美，值得去住一下。呵呵', '短评打分': 5}
{'短评内容': '物超所值,很高檔的酒店,安靜,舒適,還有兩人份的早餐', '短评打分': 5}
{'短评内容': '环境不错，价格也实惠', '短评打分': 3}
{'短评内容': '房间干净，设备丰富，性价比高', '短评打分': 3}
{'短评内容': '此酒店非常经济实惠，只是有时候的有的房间经常会漏水，这点不是很好', '短评打分': 5}
{'短评内容': '第二次入住，这次订的是行政房，不错，而且挺划算的', '短评打分': 3}
{'短评内容': '房间装修还行，但不能细看。水很大，有两个浴室。但是房间感觉不是很干净。楼下是夜总会。', '短评打分': 1}
{'短评内容': '个人感觉很不错，多次入住也多次推荐同事朋友入住，很好，谢谢', '短评打分': 5}
{'短评内容': '房间音乐太少', '短评打分': 3}
{'短评内容': '我觉的这家很好，挺不错的！大家可以来试试看', '短评打分': 5}
{'短评内容': '早餐不错，房间不错，环境还可以。下次还住哦！还可以', '短评打分': 5}
{'短评内容': '条件不错，价格实惠，不过情趣房还是第一次住，比较诡异，如果是商旅客人还是建议换个标准房，沙发茶几都没有。', '短评打分': 3}
{'短评内容': '觉得一般，价格偏高，位置还可以，有点吵闹', '短评打分': 5}
{'短评内容': '我觉得是不错的，太多人了，只有靠外面的窗户晕死了，下次最好靠里面点，虽然不吵，但感觉都喜欢靠内！', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '还不错，房间蛮大的，设备也蛮新的，值！', '短评打分': 5}
{'短评内容': '该酒店的网络连接不算太好，我朋友住在那，后来给换到另一个非常小的房间，所以提前退房了，地理位置也不算太好。其他方面还行', '短评打分': 3}
{'短评内容': '帮朋友定的，据他反应，除了位置稍微偏了点外，其他都不错，性价比很好，值得入住。', '短评打分': 5}
{'短评内容': '酒店的房间面积非常宽敞，设施也非常高档，身心得到很大的放松。', '短评打分': 5}
{'短评内容': '装修很豪华的一家酒店，客房设施也很有档次，挺不错的。', '短评打分': 5}
