{'短评内容': '卫生打扫得确实干净', '短评打分': 5}
{'短评内容': '干净整洁，服务员效率高', '短评打分': 5}
{'短评内容': '房间小  床小', '短评打分': 4}
{'短评内容': '早餐一般', '短评打分': 4}
{'短评内容': '据报 还不错', '短评打分': 4}
{'短评内容': '房间大，又舒服，每次来感觉不错', '短评打分': 5}
{'短评内容': '蛮好，服务态度还行，房间床舒服', '短评打分': 5}
{'短评内容': '这么多次在网上订酒店，第一次订到这么差的酒店，标房里面的两张床都是一米一的不说，五一假期杭州快3O度的天气还没开\\空调！！！人生第一次住没空调的酒店！！！', '短评打分': 4}
{'短评内容': '离火车站近', '短评打分': 3}
{'短评内容': '适合商务出差的宾馆，交通便利。', '短评打分': 5}
{'短评内容': '还行，经常住', '短评打分': 5}
{'短评内容': '酒店有点老了，设施有点老旧，不过交通便利，胜在价格适宜，出差还是很方便的。', '短评打分': 5}
{'短评内容': '酒店位子很好，交通便利，离火车站和古街很近', '短评打分': 5}
{'短评内容': '作为旅游城市，人寿的房间合理，设施比那些经济型酒店好多了，酒店的餐饮很不错。走路到河坊街5分钟，到西湖也就15分钟吧。', '短评打分': 5}
{'短评内容': '和图片不是很符合，房间很小只好加钱换了三人间～酒店设施比较老，但是地点好，离西湖挺近。', '短评打分': 4}
{'短评内容': '一直以来入住的酒店，只是因为住习惯了。酒店设施稍显老旧。其他都还中规中矩，地毯可能是时间久了，看起来不是很干净，房间略有霉味，空调不太给力。酒店二楼有餐厅，吃饭很方便，但是，感觉餐厅优先供应保险公司的员工，该酒店应该是隶属于保险公司的。酒店交通很方便，城站过来走路大概10分钟，酒店位于老城区交通便利，尤其是河坊街隔天', '短评打分': 3}
{'短评内容': '一直以来出差首选，原因很简单，住习惯了不想换其他酒店了。交通方便，离城站很近，走路十五分钟左右，酒店是中国人寿保险公司的大楼，二楼有一个餐厅，可以点菜，中午，晚上优先供应保险公司的人，据考察，酒店和餐厅都归属保险公司。打的到杭州东站大概三十元。酒店离河坊街很近，马路对面即是，河坊街就是逛逛，玩玩，看看，东西千万别买。顺着河坊街直走，可到西湖边，距离不远。', '短评打分': 3}
{'短评内容': '还可以，交通方便', '短评打分': 3}
{'短评内容': '房间条件是还可以的。周围环境也还算是好的。\n', '短评打分': 5}
{'短评内容': '酒店干净整洁，安静。周边环境也不错，靠近鼓楼', '短评打分': 5}
{'短评内容': '服务员和前台非常不错。房间干净，地理位置也好，河坊街走五分钟。满分', '短评打分': 3}
{'短评内容': '早餐丰盛', '短评打分': 3}
{'短评内容': '地理位置较好，周围有机场巴士，杭州城站步行可至。酒店较早，设施有点旧。早餐提供的品种较多。周边有公安分局，较安全。', '短评打分': 5}
{'短评内容': '房间中间有屏风，有网线可以上网，环境不错，就是比较小。', '短评打分': 5}
{'短评内容': '已入住。', '短评打分': 3}
{'短评内容': '挺好，环境卫生，停车方便，交通便利，物有所值，价钱与设施成正比，就是房门不太好开\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '地理位置不是很好，高架桥旁边，房间设施一般，早餐不算好，淋浴不下水，可以没过脚面，很郁闷。', '短评打分': 1}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '房间设施很差，而且很小，关键是消毒毛巾用热水怎么也洗不干净都是白色的，早餐东西很少。建议价格调整降低', '短评打分': 1}
{'短评内容': '虽然设施有点旧，但服务比较好，地段离清河坊小吃街很近，停车方便。', '短评打分': 5}
{'短评内容': '挺安静的，也很干净，就是空调不大好，床也好小啊', '短评打分': 5}
{'短评内容': '旺季到了，房间也少，早餐更少，真是每况愈下', '短评打分': 1}
{'短评内容': '酒店很干净,性价比高啊~', '短评打分': 3}
{'短评内容': '早餐品种太少，数量也很少，差点饿死，其它很一般', '短评打分': 1}
{'短评内容': '这次感觉很差，连房间也没有，到下午有退房才入住', '短评打分': 1}
{'短评内容': '房间很小，卫生较差，早餐也很一般，无非交通还算方便，凑和', '短评打分': 1}
{'短评内容': '就是房间小点，卫生差点，送早餐是它的亮点', '短评打分': 1}
{'短评内容': '房间小点，卫生差点，其它也一般', '短评打分': 3}
{'短评内容': '酒店离火车站比较近，在酒店还算行，就是酒店老了一点。', '短评打分': 5}
{'短评内容': '位置好,管理还过得去. 设施有点旧\nABCDEFG', '短评打分': 5}
{'短评内容': '房间比较小，卫生差，装修很老，空调噪音响，就是有早餐，其它酒店一般都不带早餐的', '短评打分': 3}
{'短评内容': '入住时有个垃圾桶还没倒过，而且房间里的服务指南不见了，不知道该打什么电话。这样的管理水平，少见。', '短评打分': 3}
{'短评内容': '位置不错，房间也还可以，配置齐全，只是隔音较差，地毯脏没有经常清洗。', '短评打分': 5}
{'短评内容': '该洒店值得推荐', '短评打分': 3}
{'短评内容': '小的来。交通蛮方便，就是太小，转个圈也很难，下次不会再定了。', '短评打分': 1}
{'短评内容': '客房服务单上说有送餐服务，但是电话打到餐厅，提供的餐点和客房清单上的不一样。最后只好到外面去吃。太差劲了', '短评打分': 3}
{'短评内容': '地理位置不错，早餐东西不多，离清河坊很近，但装潢太陈旧，卫生情况一般，望早日重新装潢一下。', '短评打分': 3}
{'短评内容': '地段不错，到哪都很方便，就是设施太老了。', '短评打分': 3}
{'短评内容': '交通还算方便，就是离高架太近，很吵。房间太小，转个弯就逛一圈了。', '短评打分': 5}
{'短评内容': '整体而言，令人非常满意！不过早餐品种太少！', '短评打分': 5}
{'短评内容': '浙江人寿大厦（杭州）网上介绍说的还不错，还有登出的图片也可以，主要是看中位置不错。实际情况是房间装修很陈旧了。我住的这间墙角线都爆裂开了。空调调到最冷也没有作用的。晚上只好开窗。难道10月份就把空调冷气关了？节日期间房价涨了但提供自助早餐还算过得去。不过整体而言这个酒店节日期间住的性价比不高。 \r\n', '短评打分': 3}
{'短评内容': '网上介绍说的还不错，还有登出的图片也可以，主要是看中位置不错。实际情况是房间装修很陈旧了。我住的这间墙角线都爆裂开了。空调调到最冷也没有作用的。晚上只好开窗。难道10月份就把空调冷气关了？节日期间房价涨了但提供自助早餐还算过得去。不过整体而言这个酒店节日期间住的性价比不高。', '短评打分': 1}
{'短评内容': '交通比较方便，设施太陈旧，希望能够改进！！！', '短评打分': 5}
{'短评内容': '房间一般,早餐差', '短评打分': 5}
{'短评内容': '主要缺点是位置很难找，出行不方便。\r\n早餐一般', '短评打分': 3}
{'短评内容': '酒店位置相当不方便，打车都很难打。早餐比较简单，也不好吃。', '短评打分': 1}
{'短评内容': '地理位置不错，离河坊街很近，离西湖有段距离，吃饭购物方便，停车位充足，内部设施因年代久远略显陈旧，比较卫生整洁，宽带速度很快，下次还是会考虑入住', '短评打分': 5}
{'短评内容': '标间设施还行，最大优点是位置不错，宽带必须手动IP地址，速度一般', '短评打分': 5}
{'短评内容': '酒店地理位置优越，位于市中心，方便购物，设施虽然旧些，但比较齐全，都不错，早餐需要改进。', '短评打分': 5}
{'短评内容': '离火车站很近，逛街去西湖也很近。下次去杭州我还住那！！！', '短评打分': 5}
{'短评内容': '距河坊街较低，出去走走较近。就是这几天周边在修路，出行环境略差点，出租车有点难打。', '短评打分': 5}
{'短评内容': '位置不错，离火车站和西湖景区都很近，虽然房间较小，但住着很舒服，环境卫生、设施和服务都很好', '短评打分': 5}
{'短评内容': '刚刚到就来点评了。。\n朋友来杭州玩，第一次订的房间。\n虽然是老了点，但是房间感觉还是蛮温馨的，吹风什么都有的。\n明天的早餐还没吃，不过应该也不错吧。', '短评打分': 5}
{'短评内容': '离周边的公交火车站都比较近，就是好像夹在中间，还不错。', '短评打分': 5}
{'短评内容': '是个老的酒店，地毯比较脏，卫生打扫不彻底，但用品还比较新，卫生间还可以，地点不错，最好的是还准备了洗衣粉，这个比较符合中国人的习性。总体还可以吧。', '短评打分': 3}
{'短评内容': '离火车站、河坊街、西湖都比较近，地理位置比较好，就是房间比较小。', '短评打分': 5}
{'短评内容': '我头一次入住，酒店的服务稍欠些，设施还可以，位置也算方便，电视节目少，要是想在酒店吃饭，稍晚就没有饭了，不方便。', '短评打分': 5}
{'短评内容': '下次还住', '短评打分': 5}
{'短评内容': '总体还好啦。床上被褥还可以，比较新。但是地毯比较脏，卫生打扫的不彻底，第二天茶杯都没给刷。毛巾也比较旧。', '短评打分': 5}
{'短评内容': '位置还好,闹中取静,去河坊街\\吴山广场挺近.唯一不足的是房间太小,卫生间设备陈旧.', '短评打分': 5}
{'短评内容': '离西湖比较近，走路10-15分钟左右吧，酒店条件也不错，给个好评吧。。', '短评打分': 5}
{'短评内容': '酒店位置还是不错的，但是房间打扫的不干净，属于老式酒店，第一天入住，毛巾上面有黄点，不知道是什么东西。第二天换了床单初套，发现被套上有血迹。。郁闷死了。', '短评打分': 1}
{'短评内容': '这个位置这个价格也还可以了，特价房窗外有餐厅的换气扇，白天吵人，晚上没事。', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '设备有点老化，卫生尚可，位置不错', '短评打分': 5}
{'短评内容': '我', '短评打分': 3}
{'短评内容': '酒店位置很好，出行比较方便，去西湖还有吴山广场等地方步行不超过20分钟，酒店很安静，隔音较好，早餐也比较丰盛每天不重样，赞一个！有机会再去黑会选择那里住。', '短评打分': 5}
{'短评内容': '环境还好，就是上次第一天住的房间旁边有个空调外机比较烦，', '短评打分': 3}
{'短评内容': '离西湖近，国企服务一般', '短评打分': 5}
{'短评内容': '因为离亲戚家近所以选择这里。感觉还可以，离西湖近，安静还比较卫生。', '短评打分': 5}
{'短评内容': '总体可以 去玩蛮方便的 也便宜', '短评打分': 1}
{'短评内容': '地點適中.住的是單人大床房.床很舒適.但浴室稍脏.房價應該算是一般吧!', '短评打分': 5}
{'短评内容': '一家人去玩，蛮不错的，离河坊街很近', '短评打分': 5}
{'短评内容': '地理位置不错，国企，早餐不是很好，不过看在价格份上，就算了：），可以住住', '短评打分': 3}
{'短评内容': '酒店服务，位置，环境都不错，推荐。', '短评打分': 5}
{'短评内容': '距离河坊街很近，吃很方便，酒店卫生也还不错，可以推荐', '短评打分': 5}
{'短评内容': '卫生和服务都还不错，早餐的自助品种蛮多的，还是很不错的。位置靠近河坊街 西湖，离火车站也很近，总体不错，要是更加优惠点就好啦。', '短评打分': 5}
{'短评内容': '整体来说感觉一般.', '短评打分': 5}
{'短评内容': '地理位置还不错的', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '酒店前台服务态度一般，比较死板，可能国营的原因。', '短评打分': 1}
{'短评内容': '离西湖比较近,交通比较方便', '短评打分': 5}
{'短评内容': '很好，在那一圈应该是性价比最高的了。', '短评打分': 5}
{'短评内容': '这个酒店最大的好处是位置不错，离城站火车站和西湖都不远，房间面积也挺大的，早餐不错，内容挺丰富的，不好的就是小孩（不到1.1m）也要收费10元。另外不知什么原因，我晚上洗澡的时候，热水不热，打电话找前台以及修理热水管道的工作人员折腾了很久最后才算稍微好的，但等我洗完之后水又变凉了。这是最不满意的地方。', '短评打分': 5}
{'短评内容': '地点比较靠近步行街，出入还是比较方便。', '短评打分': 5}
{'短评内容': '除了地段外，找不到第二个可以让我推荐的理由，和如家是不能比的。', '短评打分': 1}
{'短评内容': '酒店很干净，服务非常不错，里面的设施配备也还可以，位置挺好的，交通便利，价格合适，挺不错。', '短评打分': 5}
{'短评内容': '酒店整体来说还是不错的，而且在这个价位上来说他们的环境设施和服务都是不错的，地理位置也挺好，挺方便的。', '短评打分': 5}
{'短评内容': '位置比较适合坐火车到杭州旅游的，很好的酒店，服务很好很热情！', '短评打分': 5}
{'短评内容': '还可以吧，就是酒店地址不是很好找&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '各项设施比较陈旧,服务也比较差.一进房间感觉很黑暗,走廊装修也很差,上次去还走到另一个酒店去了.', '短评打分': 1}
