{'短评内容': '不错不错，牛刀小试，值得购买。', '短评打分': 5}
{'短评内容': '一般的酒店，交通还不错，服务态度好', '短评打分': 3}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '价格在十一来说比较合适吧，不知道平时么价', '短评打分': 4}
{'短评内容': '酒店地理位置很方便，周围吃喝很齐全，商家服务热情，配套的旅游信息宣传也不错。', '短评打分': 5}
{'短评内容': '环境卫生都非常捧，携程上订的一个标间还没用一百元，在黄山汤口镇绝对超及划算！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '地理位置好，值得推荐', '短评打分': 5}
{'短评内容': '设施一般，网速超慢，电视节目少，餐厅吃饭不是因为小心差点多收钱，车子侧视镜上的一个小镜子也被扣掉了。', '短评打分': 3}
{'短评内容': '环境不错，人很多，出入方便，商家还安排停车位，很周到', '短评打分': 5}
{'短评内容': '很差，建议不要住。', '短评打分': 3}
{'短评内容': '离游客集散中心打滴滴7元钱就到了，走路还是有些距离。酒店便宜实惠，比较干净卫生。楼下大街上饭店很多也是经济实惠。', '短评打分': 5}
{'短评内容': '大写的差评！差评！差评！房间是我在携程上面预定的，给我爸妈预定的。当时也看过了很多的酒店，但是觉得说布丁是连锁的，卫生和服务总会好点的，就定了2晚。9月1号我爸妈下午4点到了酒店。我定的是豪华标间，他们可能觉得我爸妈年纪大了，人比较老实，直接让他们去顶楼。爬楼梯那种，没有电梯的。房间里面是临时搭建的钢丝床。地上都是灰尘，蜘蛛网遍布，照片因为时间比较久了，没有来得及存，当时是惊呆了。我知道这件事以后', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '从黄山玩了下山后去的，环境还行，就是卫生间有点差，特别是洗澡的地方，没有挡水的，洗完以后说流的到处都是。', '短评打分': 5}
{'短评内容': '还可以，89住这样的房间已经不错的了', '短评打分': 4}
{'短评内容': '周围热闹', '短评打分': 5}
{'短评内容': '不错的酒店。饭店边上有很多餐馆。', '短评打分': 4}
