{'短评内容': '其他都可以，就是空调声音有点大', '短评打分': 5}
{'短评内容': '真不怎么样', '短评打分': 2}
{'短评内容': '不好热水都没有', '短评打分': 1}
{'短评内容': '好评哦，位置很好找，一个人住大床房还算可以，隔音也不错，晚上睡了一个好觉', '短评打分': 5}
{'短评内容': '酒店位置好找', '短评打分': 5}
{'短评内容': '每次出差都会订这家酒，优惠方便', '短评打分': 5}
{'短评内容': '一般般，热水放了好久才有，床单起球，排风扇坏的，吹风机一开始在卫生间都没找到，还是第二天离开的时候在床边的抽屉里发现的…', '短评打分': 3}
{'短评内容': '蛮好的，性价比高！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境，价格都不错', '短评打分': 5}
{'短评内容': '出差连住三晚特价房', '短评打分': 4}
{'短评内容': '特价房，要求就不要太高了额！', '短评打分': 4}
{'短评内容': '特价房  1702  ，晚上比较吵，现在是冬天，房间没有电吹风，沐浴室小！', '短评打分': 4}
{'短评内容': '没第一次去的房间好，没吹风机', '短评打分': 5}
{'短评内容': '交通方便，蛮舒服的，就是房间不隔音，站在上面看风景很美', '短评打分': 5}
{'短评内容': '性价比合适，房间内还行！地理位置不错！只是早餐差了点！', '短评打分': 3}
{'短评内容': '    出差在这附近，因为近选了这家，服务不错，卫生条件也可以，总之不错吧！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
