{'短评内容': '还不错房间算蛮干净', '短评打分': 5}
{'短评内容': '好！建议大家住这家。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '还可以的。', '短评打分': 5}
{'短评内容': '携程订的特价房，尽然不给开发票，房间没穿也算了，嗨', '短评打分': 4}
{'短评内容': '房间很舒服 也很干净 满意', '短评打分': 5}
{'短评内容': '整体不错，设施略陈旧', '短评打分': 4}
{'短评内容': '酒店是商务型，宽敞舒适，不过设施略陈旧，附近吃饭的地方不多，早上打扫卫生的阿姨声音有点大了', '短评打分': 4}
{'短评内容': '还行吧，特价房，就那样', '短评打分': 5}
{'短评内容': '还行，交通相对来讲很便利，酒店卫生也还可以，就是隔音效果不明显，入住第一晚旁边超嗨的音乐一直到12点左右还在放。付房费明明刷卡金额是536结果退房小票上显示540，前台确认退房重复说两瓶怡宝，我说那是我自己从外面带进房间的，虽然后来没有多收钱但总觉得怪怪的', '短评打分': 5}
{'短评内容': '走亲戚，地点好，紧隔壁。设施一般，卫生干净方便就好。', '短评打分': 5}
