{'短评内容': '房间超大，干净卫生，老四星酒店服务好', '短评打分': 5}
{'短评内容': '离朋友家近，总体还是不错的，房间也不小，设施也还行，住过多次了………………………………………………………………', '短评打分': 5}
{'短评内容': '吃住停车服务很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '有停车场，服务态度很好，也很耐心，卫生干净整洁，住着很舒服，很温馨，有种家的温馨感，办理入住很快很方便。', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '设施老旧的硬件设施', '短评打分': 4}
{'短评内容': '酒店式这家酒店是4星级标准，虽然贵一些，但是特别的舒服，棉被，环境都是我所喜爱的，以后还会来的，这些服务员的热情招待', '短评打分': 5}
{'短评内容': '很温馨的酒店！服务态度也很好，我需要一个无线网络。马上上门给我安装了。停车也方便', '短评打分': 5}
{'短评内容': '很好的酒店 房间很大 也很干净', '短评打分': 5}
{'短评内容': '第N次来到这个酒店，房间很干净，非常不错，还送了小礼品。', '短评打分': 5}
{'短评内容': '不错，各方面都很好，', '短评打分': 5}
{'短评内容': '设施不错，服务很好，关键是去机场不堵车，省我时间。', '短评打分': 5}
{'短评内容': '酒店位置不错，很干净，前台员工很热情，不错。', '短评打分': 5}
{'短评内容': '房间有味道，地毯脏，空调不太凉，卫生间配有直接饮用水可惜坏掉，整体感觉不好。', '短评打分': 3}
