{'短评内容': '还可以 就是去的时候太冷了 什么也没玩', '短评打分': 4}
{'短评内容': '非常满意，很豪华', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总体还行，淡季。虽然是高档酒店，但是设计理念有点旧，而且很多住客是可以拉低酒店档次的，就怕碰上还不如孩子的夕阳红。', '短评打分': 5}
{'短评内容': '酒店很棒，设施很丰富，餐饮中心菜品味道不错。带孩子两家玩儿了半天，游泳，网球，淘气堡，还有KTV！周末度假好去处', '短评打分': 5}
{'短评内容': '京东订酒店很方便、确认也快', '短评打分': 5}
{'短评内容': '酒店就在盘山山脚下，出门就是盘山风景区入口，很方便。唯一缺憾是游泳需要另外交钱', '短评打分': 5}
{'短评内容': '赞赞赞。          带爸妈去的', '短评打分': 5}
{'短评内容': '不错啊不错，盘山是个蛮好的地方，就是人越来越多了', '短评打分': 5}
{'短评内容': '真的很不错希望有机会下次再来 和同学去的真的很不错真的很好 如果吃饭的地方再丰富一些就更好了，希望明年再来', '短评打分': 5}
{'短评内容': '酒店很美，下次来还住这里', '短评打分': 5}
{'短评内容': '环境很好，前台秦兆华小姑娘热情开朗，让人觉得很舒服。', '短评打分': 5}
{'短评内容': '房间干净设施比较新，阳台可以看到山景。酒店有一片较大的园区，可以跑步哦！毛家红烧肉，味道不错，推荐！', '短评打分': 5}
{'短评内容': '房间很干净，前台杨佳服务非常周到', '短评打分': 5}
{'短评内容': '真心不错，就是价格有些贵', '短评打分': 5}
{'短评内容': '酒店环境很好。早餐一般。不符合5星标准', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，以后还会来这里！', '短评打分': 5}
{'短评内容': '酒店很好，特别是餐厅的湘菜味道不错，以后还会去', '短评打分': 5}
{'短评内容': '环境不错，餐饮也很好。双床拼成大床服务再做好一点就好了', '短评打分': 5}
