{'短评内容': '真不怎么样，不想去下一次了。', '短评打分': 3}
{'短评内容': '.........不太好', '短评打分': 2}
{'短评内容': '非常差，所有住过的酒店中最差的，没有之一。。第一次进到房间，空调不能用，不制热，然后换了一个房间，终于制热了，但是半夜就停了，一个晚上就这么冻着，被子超级薄，就是夏被，于是穿着厚厚的衣服睡觉的，别问为什么，出差实在太累不想动，已经十二点钟了，态度也实在不怎么样，并且不卫生，第一次那个房间，超级大味道，换了房间之后依然很脏，最差最差的地方了。哪怕你不干净，不打扫，总要把空调修好吧，最老式的空调，声音', '短评打分': 1}
{'短评内容': '阔以', '短评打分': 5}
{'短评内容': '不想说', '短评打分': 3}
{'短评内容': '太差劲了 房间隔音不好 床上不干净 一晚上全身都痒 楼下或者过道有一个走过声音都特别大 根本休息不好 床1.2m左右 房间10平米 空调完全无作用 房间连房卡都没有 是一个女的领我上来开门 住过一次再也不会有下一次 完全不值80块 ', '短评打分': 1}
{'短评内容': '一般吧，。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '好多好多好多好多好多好多还大喊大叫的绝对绝对好多话', '短评打分': 3}
{'短评内容': '房间大。  很好了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '只是为了方便小孩上学才订，主要优点是距离学校近，酒店有接送机。', '短评打分': 4}
{'短评内容': '服务好  态度好  网络好 设备齐全 很好', '短评打分': 5}
{'短评内容': '双流机场附近的酒店都差不多，设施比较简陋，房间还挺大。酒店免费提供接和送机服务，正是看中这个，才选的该酒店。\n开通导航，稍微走远一点，到学府路学校附近吃饭的地方很多。', '短评打分': 4}
{'短评内容': '没有照片中那么大气，早餐补给力，也就是接送机服务还好', '短评打分': 5}
{'短评内容': '住了，感觉还可以，有专车接送方便不误机，斜对面有一家餐厅味道很好，价格公道，下次还去住', '短评打分': 5}
{'短评内容': '方便，快捷,可以送到机场', '短评打分': 5}
{'短评内容': '房间很大，住着很舒服，接送机服务真的很好，下次还会继续入住，距离机场只有十分钟路程，方便转机！', '短评打分': 5}
{'短评内容': '很好，免费接送飞机，老板很热情，住的家庭套房，感觉挺好，附近几百米就有一条食街，很多吃的', '短评打分': 5}
{'短评内容': '设施简单，但提供送机服务。较适合赶早班机的旅客。', '短评打分': 5}
{'短评内容': ' 接送机令人非常满意，给了大套间，卫生间设施需要更换维修，设施简单，转机住宿的很好选择', '短评打分': 3}
{'短评内容': '离机场比较近，接送机特别方便和到位。尤其是当晚从南京飞成都的航班晚点，半夜里一点多钟才飞到成都机场，结果酒店还是安排了车接机，真是不错的。', '短评打分': 5}
{'短评内容': ',设施一般，有接送机，转机方便。', '短评打分': 3}
{'短评内容': '服务热情，有接送服务，很方便，赞一个', '短评打分': 3}
{'短评内容': '＋第二次入住，转机住宿的不错选择', '短评打分': 3}
{'短评内容': '很方便，還接送', '短评打分': 3}
{'短评内容': '地理位置不错接送机,转机首选', '短评打分': 3}
{'短评内容': '很方便的快捷商务酒店，机场接送很人性化，还会入住的！', '短评打分': 5}
{'短评内容': '如果只是转机的话，还不错。接，送，服务都很到位。\n传说中的早餐，几乎等于没有。地理位置也不算繁华（话说回来，繁华的地段离机场就不近了）。但是价格便宜。套间有居家的感觉。\n没有监控，安全性感觉要差了点。', '短评打分': 5}
{'短评内容': '店家挺热情的.房间挺干净的.还有接送车哦!对于坐早机的人来讲最合适不过了.', '短评打分': 3}
{'短评内容': '离机场很近，有送机服务，其他条件一般，老板态度热情', '短评打分': 5}
{'短评内容': '  今天住进临港公寓，给了我一个惊喜，很干净，有电脑带宽带，值得推荐！', '短评打分': 3}
{'短评内容': ' 房间很卫生，有家的感觉', '短评打分': 3}
{'短评内容': '回家机场附近就住这个酒店，第二次入住，挺好的，免费接机送机', '短评打分': 5}
{'短评内容': ' 挺好的,房间也挺大,也有车到机场免费接送', '短评打分': 3}
{'短评内容': ',离机场近坐车几分钟，老板来接的，缺点就是空调不怎么热，水也不怎么热，值不了148的价，住了一晚将就吧', '短评打分': 3}
{'短评内容': '旅店，只能说是旅店，晚上热水没有，早上热水不稳定，一定要用水盆接好水之后再用，唯一值得表扬的就是他们有接送到机场的服务', '短评打分': 1}
{'短评内容': '房间相当大，接机很准时，很周到。房间很干净，148这个价格还行。', '短评打分': 3}
{'短评内容': '服务还不错，尤其是接送机服务，谢谢！', '短评打分': 3}
{'短评内容': '还行吧,要在机场周边办事的或是转机的主这里还是不错,周围也有很多小饭馆', '短评打分': 3}
