{'descr': '各种一般般吧，就值这个价了', 'star': 4}
{'descr': '啥都不服就服房间的插座，多自由度摇摆还偶尔闪着火花；早上7点被窗外的大哥搞醒（我住三楼），原生态的窗帘让你没有半点脾气；洗手间与卧室完美对接（没有门），让你实现在床边不到一米的地方小便（想想夏衍小说包身工）；整个房间顶棚的电灯只有两个开关，真正做到清新优雅、时尚环保......欢迎大家前去体验、保证给你2000年的住宿体验～', 'star': 1}
{'descr': '空间太小，同等价格的七天好很多，不会住第二次！', 'star': 3}
{'descr': '太差，实在没法了，不能退！', 'star': 2}
{'descr': '位置较好，门口在修路，比较乱', 'star': 4}
{'descr': '京东酒店管理上不错，但是也不能让次的没法在次的宾馆上线吧', 'star': 1}
{'descr': '虽然房间不大，但是还算干净利索', 'star': 4}
{'descr': '房间虽小设施俱全，服务很好还给我们换了零钱，很满意！', 'star': 5}
{'descr': '这个酒店不提供一次性的洗漱用品 只有拖鞋 但是胜在价格便宜 性价比可以', 'star': 5}
{'descr': '性价比不错 酒店有点老了应该装修了 前台帅哥美女包括打扫房间的大姐服务非常棒', 'star': 5}
{'descr': '我想说，酒店的地理位置固然重要，你们的位置确实离夫子庙和新街口都很近。我也想说，你们的这个房间没窗户我也理解，因为我预订的时候你们告知，是我自己的选择。可是，房间那么小，只容下一张床的宽度，应该是正常的一间房隔成现在的两间房吧！而且隔板很不隔音，隔壁说话都能听见！房间设施陈旧，天花板是之前修补的。房间连个放衣服的地方都没有。反正说多了都是泪。大家看照片吧。最恶心的是，酒店还放了张卡片，意思是大家不要因为房间问题差评了，会扣员工钱的。我想说你们都知道存在这些问题了，难道不改进吗？好评能让房间变好吗？好评能让下拨客人住好吗？或者说，你们在这种房型上，直接备注下情况，有客人愿意，也行！', 'star': 1}
{'descr': '性价比很高的一家酒店，卫生环境还可以，离地铁站近，交通非常方便，下次出行还会选择这家。6666666', 'star': 4}
{'descr': '常府街布丁酒店在长白街上，旁边有一个郑和公园，地理位置好，离夫子庙和新街口都非常近。酒店前台在一楼，客房在2-5楼，房间整洁卫生。', 'star': 4}
{'descr': '房间比较小，比想象中小，离夫子庙到是蛮近的', 'star': 3}
{'descr': '很好！麻雀虽小五脏俱全！就是插头不给力，多一些就好了', 'star': 5}
{'descr': '常府街布丁酒店在长白街上，到新街口、夫子庙都比较近，沿着长白街可以到长江路的总统府和1912酒吧街，酒店地理位置好，价格实惠。', 'star': 3}
