{'短评内容': '房间干净，早餐不错。价格实惠。下次再来', '短评打分': 5}
{'短评内容': '位于居住区，比较安静。', '短评打分': 5}
{'短评内容': '前台服务态度棒棒哒，房间干净卫生，环境安静。', '短评打分': 5}
{'短评内容': '房间特别棒，服务态度也不错，喜欢。', '短评打分': 5}
{'短评内容': '房间非常干净整洁！前台服务态度非常好！很大！很安静！', '短评打分': 5}
{'短评内容': '前台服务态度很好，房间设施齐全，环境优美！地理位置好！主要房价优惠！', '短评打分': 5}
{'短评内容': '还阔以', '短评打分': 5}
{'短评内容': '还可以嘎嘎', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '一般吧，周边离公交站至少一站地。房间也一般，这个价格，理解一下', '短评打分': 3}
{'短评内容': '很清静，特别不错', '短评打分': 4}
{'短评内容': '环境比较安静', '短评打分': 4}
{'短评内容': '房间很不错，周围的价格比较合适。', '短评打分': 5}
{'短评内容': '位置稍微有点偏～但是比西交大旁边的便宜……', '短评打分': 5}
{'短评内容': '这个酒店位置安静，停车方便，值得推荐', '短评打分': 5}
{'短评内容': '已经住过几次了，感觉棒棒哒，安静，舒适，服务好，下次还来光临。', '短评打分': 5}
{'短评内容': '淋浴房的水下水不畅，马桶这里都被水淹了', '短评打分': 4}
{'短评内容': '环境很好    很喜欢。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，隔音稍微有点差', '短评打分': 5}
{'短评内容': '总体还行，酒店布草有点陈旧，60分', '短评打分': 3}
{'短评内容': '价位，服务和环境都很不错。', '短评打分': 5}
