{'短评内容': '交通比较便利，设备陈旧，环境很差,厕所有味道,很重！！！ 网速慢，被子很薄，窗帘也比较薄，没有电梯。', '短评打分': 1}
{'短评内容': '酒店唯一就是位置还可以 在火车站对面 环境很差 卫生间有味道 网速慢 价格在旅游旺季算比较便宜了', '短评打分': 1}
{'短评内容': '酒店唯一就是位置还可以 在火车站对面 环境很差 卫生间有味道 网速慢 价格在旅游旺季算比较便宜了', '短评打分': 1}
{'短评内容': '酒店唯一就是位置还可以 在火车站对面 环境很差 卫生间有味道 网速慢 价格在旅游旺季算比较便宜了', '短评打分': 1}
{'短评内容': '交通比较便利，但不容易找到。设备陈旧，厕所的坐厕板坏了没有换，沐浴水龙头烂了。窗帘比较薄，早晨4点多就有阳光射进来了。没有电梯，建议以后加装电梯方便客人入住，设备坏了要更新。这样才能让客人放心。', '短评打分': 1}
{'短评内容': '交通挺便利的，周围比较热闹，相对环境也稍微杂点', '短评打分': 5}
{'短评内容': '订了两间房，到店时有一间房子没有打扫，不过服务员态度还好，打扫还算及时。另一间太小了，连个椅子都没有，不知是不是网上订的原因。不太好找，但离火车站和汽车站都很近，价格还可以接受，就是没有电梯，很苦恼啊！', '短评打分': 1}
{'短评内容': '离车站很近，交通方便也很好找，旅馆有点旧，还算干净。', '短评打分': 5}
{'短评内容': '房间比想象中大多了，就是前台的态度不咋的', '短评打分': 5}
{'短评内容': '住宿条件还可以，主要是离火车站汽车站船港很近，去周边旅游非常方便。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '好好好好好好好，不错，离火车站汽车站都很近，出行很方便', '短评打分': 5}
{'短评内容': '给我弟弟订的，还不错，干净，挺满意的，一定要评价20个字吗？', '短评打分': 5}
{'短评内容': '酒店服务卫生什么的都挺好·就是周围晚上有点吵·但总体来说还是挺好的···赞一个吧·', '短评打分': 5}
{'短评内容': '住宿条件还可以，主要是离火车站汽车站船港很近，去周边旅游非常方便。', '短评打分': 3}
{'短评内容': '位置不错，离火车站近又不临街。房间还行，就是隔音不好，入住第二晚隔壁来了一对大概是江浙一带的人，都11点多了还说话特大声像吵架一样，我们这边听得清清楚楚。最后找客服交涉了一下给解决了。', '短评打分': 5}
{'短评内容': '宾馆没有想象中的好，有点小，总之不太满意，不过一分钱一分货......', '短评打分': 1}
{'短评内容': '价位合适，位置也不错，建议选择离KTV比较远的房间，夜晚将不再是煎熬', '短评打分': 5}
{'短评内容': '酒店环境还行。', '短评打分': 3}
{'短评内容': '酒店前台服务还可以，卫生一般，床垫很硬，褥子很薄，很冷，外部环境很差，一楼有一歌厅，音响夜里开的级大，一直嚎到零晨一点，根本无法入睡，失去酒店基本条件，因为酒店就是睡觉的。评为负100分。', '短评打分': 1}
{'短评内容': '环境还不错，挺干净的，价格便宜，还可以！', '短评打分': 5}
{'短评内容': '性价比超高，不过只能用现金支付比较麻烦。', '短评打分': 5}
{'短评内容': '一般跟招待所没区别', '短评打分': 3}
{'短评内容': '离火车很近，出宾馆到北马路向右走大约200米就到火车站，而且附近还有大润发超市，离汽车总站也很近', '短评打分': 5}
{'短评内容': '酒店不错，也比较干净，主要是离火车站非常近，走路就能到', '短评打分': 3}
{'短评内容': '离火车站就只有两百米左右，非常方便，坏境还不错的！推荐', '短评打分': 5}
{'短评内容': ' 太一般了，身体不舒服想加床被子都没有！', '短评打分': 3}
{'短评内容': '网速太慢、空调不热,床太小', '短评打分': 3}
{'短评内容': '卫生还可以，就是隔音效果太差，条件一般，不太讲究的可以一住。', '短评打分': 3}
{'短评内容': '环境还不错，卫生挺干净的隔音效果较差', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '酒店里面挺好，价格也便宜，就是晚上外面有点吵\n', '短评打分': 5}
{'短评内容': '经济型酒店，旧了点，窗户有漏风，100元的价格就这样了', '短评打分': 5}
{'短评内容': '还好吧。也就是这个价位的服务。', '短评打分': 3}
