{'短评内容': '乍浦也就这个最好了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '总体还不错。', '短评打分': 4}
{'短评内容': '对于自驾来说，交通便利，上跨海大桥很近。其他真的都很一般般', '短评打分': 3}
{'短评内容': '不错的，建议大家试试', '短评打分': 5}
{'短评内容': '酒店一般般吧，所谓的海景房也是很远的景色，然后下面路上的噪音大', '短评打分': 5}
{'短评内容': '一次订了5个房间，大床和标准间都有，加上使用优惠券，价格和实惠，房间很大，酒店也很干净，服务也不错，推荐！下次还会入住，如果在房间价格加上早餐的价格就更好了！', '短评打分': 5}
{'短评内容': '一次订了5个房间，大床和标准间都有，加上使用优惠券，价格和实惠，房间很大，酒店也很干净，服务也不错，推荐！下次还会入住，如果在房间价格加上早餐的价格就更好了！', '短评打分': 5}
{'短评内容': '位置好，去电厂办事比较方便，因为不是海景房，没看到海，早餐一般，没想象中好，总体来说性价比可以，推荐入住。', '短评打分': 4}
{'短评内容': '房间很大，但是空荡荡………整体情况很好，性价比较高', '短评打分': 5}
{'短评内容': '不错，房间很大', '短评打分': 5}
{'短评内容': '这个酒店就是离海岸有点远，酒店环境还是不错的', '短评打分': 5}
{'短评内容': '挺好的，环境不错', '短评打分': 5}
{'短评内容': '冷的要命，一晚上就重感冒了！', '短评打分': 3}
{'短评内容': '酒店很新，在乍浦算得上高大上了。可以远眺跨海大桥。早餐环境和服务都不错。', '短评打分': 5}
{'短评内容': '早餐很差', '短评打分': 3}
{'短评内容': '设施不错，卫生干净，唯一不足就是部分房间厕所味道不好～早餐中规中矩，建议开车前往，因为地段比较偏！', '短评打分': 4}
{'短评内容': '很好的酒店，出差时经常住～附近环境很好，上次去时发现东边还开发出个类似步行街的地方，晚上去凑凑热闹还是不错的', '短评打分': 5}
{'短评内容': '1111111111111111111111', '短评打分': 3}
{'短评内容': '酒店不错，就是吃饭的免费', '短评打分': 5}
{'短评内容': '是乍浦最好的酒店。真的非常不错。 价钱也很低。就是不知道为什么入住率那么低。非常的奇怪。', '短评打分': 5}
{'短评内容': '酒店还不错，在小地方算是最好的酒店了。\n酒店的早餐也还可以，就是周边晚上很冷清，有点不敢外出。', '短评打分': 5}
{'短评内容': '一般，与五星不匹配，早餐很马虎，不灵光，唯一庆幸窗口VIEW还过得去。', '短评打分': 5}
{'短评内容': '酒店整体感觉不错，房间隔音稍差，最大问题是水质，刚入住酒店时和早上，打开水龙头放出的水是黄色的，这种现象不知酒店方面有没有解决方案。', '短评打分': 5}
{'短评内容': '晚上有个小夜市 很热闹 酒店比较安静  环境相当不错', '短评打分': 3}
{'短评内容': '该酒店是乍浦镇上最好的酒店之一，房间宽敞，全景。可提供无烟房间，免费早餐很赞。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '硬件不错软件跟待加强', '短评打分': 3}
{'短评内容': '在乍浦镇上，附近逛街，吃饭，比较方便，对面的汤山公园还不错。游泳池，健身房都不大，早饭一般。', '短评打分': 5}
{'短评内容': '1、酒店靠近港口，打开窗煤油味大。大堂挑高，也很气派；\n2、离汤山，九龙山景区非常近，出行方便；\n3、房间内饰一般，晚上淋浴发现下水道堵，叫修近1个小时，电话连催4次后才有 维修人员前来。但维修员态度很好。只是可能夜班人力不够，所以服务太过延迟。', '短评打分': 5}
{'短评内容': '环境不错，交通方便，当地最好的了，周边小海鲜也不错。', '短评打分': 5}
{'短评内容': '酒店漂亮得很，离海边近的很，就是空调太热，早餐不好\n', '短评打分': 5}
{'短评内容': '上次心情好，这次年底心情不好！\n所以不推荐这家酒店，\n原因是硬件够好（除了房间隔音不好），软件服务极差！\n1、要个无线路由器房务中心说IT下班了，还一堆理由！\n2、早餐服务无微笑，冷冰冰！\n3、再多要两瓶矿泉水烧茶喝（本人水牛），一个字--买！据坊间流传，乍浦太多大化工项目，自来水质不好，癌症率在平湖市最高据说和这个水有关，故本人在乍浦偏好瓶装水或桶装水', '短评打分': 1}
{'短评内容': '酒店硬件好，位置也不错，面朝大海，阳光明媚；餐厅服务也很到位', '短评打分': 5}
{'短评内容': '超值,环境很好!', '短评打分': 3}
{'短评内容': '性价比较高，五星级的标准有可能有点低，但还算很不错的啦，喜欢晚上的海景', '短评打分': 5}
{'短评内容': '酒店还算大气.就是设施不全.特别是生活用品上', '短评打分': 5}
{'短评内容': '住的是全景房还是相当满意的,感觉性价比相当高,早餐的粥很好.', '短评打分': 3}
{'短评内容': '不错，蛮实惠的，可以说是乍浦最好的酒店了', '短评打分': 5}
{'短评内容': '酒店很新，设施很好，房间很干净\n早餐还可以，挺丰盛的\n就是洗澡的水龙头竟然不是悬挂的。。。淋浴起来不方便呀\n推荐去健身房锻炼一下，那里的设施很灵，假期在乍浦小憩了一下，很惬意呵呵', '短评打分': 5}
{'短评内容': '不错的硬件，气派的大堂。但是早餐的品种和服务还要跟上。', '短评打分': 3}
{'短评内容': ' 酒店还不错', '短评打分': 3}
{'短评内容': '酒店位置很好，在汤山公园对面，看山、看海，风景一极棒，吃海鲜、逛公园都很近，交通及停车都佷方便。早餐品种再丰富些就更好了，达不到五星水准。服务员很热情，客人有需求能及时解决，赞一个！以后还会去的。唯一遗憾的是前台退房结账时刷卡不灵了，只能手工操作完事，望改进。', '短评打分': 5}
{'短评内容': '一般，去的时候空调在修，很闷热，房间味道也很大。', '短评打分': 1}
{'短评内容': '别的都好，性价比还比较高。\n就空调不是太好', '短评打分': 5}
{'短评内容': '酒店相当不错，就是早餐稍微差了点（要68元一份），还有就是空调坏了，暖死了。不过下次还会住。', '短评打分': 5}
