{'短评内容': '酒店房间蛮大的……', '短评打分': 3}
{'短评内容': '就是灯光太暗了，其他还好', '短评打分': 2}
{'短评内容': '非常好！干净卫生，设施齐全', '短评打分': 5}
{'短评内容': '环境优美、安静，房间卫生干净，没电梯，大行旅如果提上三楼有点困难', '短评打分': 5}
{'短评内容': '位置好找，周边吃饭方便，停车位较多。设施比较老了，服务周到。', '短评打分': 5}
{'短评内容': '周边环境很好很安静', '短评打分': 4}
{'短评内容': '服务态度好，干净卫生', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '环境不错，房间足够大，配套齐全', '短评打分': 5}
{'短评内容': '还可以，下次再来。但不知道怎样办理返现？', '短评打分': 3}
{'短评内容': '价格合适  环境也不能太要求了', '短评打分': 3}
{'短评内容': '隔音现对差些，听到走廊说话声，服务态度尚可', '短评打分': 3}
{'短评内容': '去看看我聊了，天气热多喝水。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '一般般，入住的时候前台不接受艺龙预付的方式，特别麻烦。', '短评打分': 3}
{'短评内容': '环境不错，就是没电梯，上楼有点累，虽说不高，但拿着行李还是有点吃不消。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '装修陈旧，墙纸剥落，地毯发霉，安装在床头柜上的电器开关按钮严重损坏，房内只有一盏低亮度的台灯。好处是上高速方便，环境安静。', '短评打分': 1}
{'短评内容': '金海商务酒店,房间很旧,墙纸都脱了.几乎没有热水,也没有暖气.感觉很不好.', '短评打分': 3}
