{'短评内容': '卫生还可以', '短评打分': 5}
{'短评内容': '暖气太热了，其它不错！', '短评打分': 4}
{'短评内容': '酒店位置好，方便。', '短评打分': 5}
{'短评内容': '环境好，位置好，前门出去100米是积水潭地铁站，后门出去就是后海，整体设计很有风格～', '短评打分': 5}
{'短评内容': '在没用的毛巾，被子，靠枕上发现不明毛发三根。洗手间地面砖破了，走廊什么的挺有特色的，房间内不行，隔音很差。', '短评打分': 3}
{'短评内容': '非常不错，连续住了几天', '短评打分': 5}
{'短评内容': '干净，卫生，舒适，很喜欢这边环境，下次来北京会再次选择这家酒店', '短评打分': 5}
{'短评内容': '地理位置很不错，还有停车位，值得推荐', '短评打分': 5}
{'短评内容': '前台的人很好说话 酒店各方面环境都不错 我们直接住了6天！', '短评打分': 5}
{'短评内容': '很棒，酒店性价比很高，后面就是北海', '短评打分': 5}
{'短评内容': '很差的房间，小、有味道，卫生间马桶在淋雨下面。设计的不好。', '短评打分': 1}
{'短评内容': '酒店位置很好，环境优雅，去后海，八达岭长城都很方便，出门就是地铁，价格可以接受。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '首先，说一下酒店，环境特别好，酒店设施也很好，服务很周到，真的很满意，价格也不是很贵。再说一下携程，预订方便，价格合理。点个赞。', '短评打分': 5}
{'短评内容': '不错，因为第二天要去长城，特意选了这家酒店，走路过去两分钟，就到德胜门坐车的地方了。', '短评打分': 4}
{'短评内容': '房间较小，淋雨水不好，屋里空气不新鲜，酒店周边环境很棒！', '短评打分': 4}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'WiFi稍微慢了点儿，别的还行', '短评打分': 4}
{'短评内容': '地理位置不错，环境好很有特色！主要是价格便宜', '短评打分': 5}
