{'短评内容': '停车方便', '短评打分': 5}
{'短评内容': '不错 交通便利', '短评打分': 5}
{'短评内容': '很多年前路过此地住过一次，留下很好印象，这次前往乌兰布统选择太卜寺旗作为中转，特意搜索其入住，没想到评分如此之低，但凭着上次的好感还是强行选择了他，住了之后终于知道分为啥低了，服务差，卫生差，一个拥有较好硬件底子的酒店如果不好好去经营，终将走向落寞！', '短评打分': 2}
{'短评内容': '很安静很干净很便宜很方便', '短评打分': 5}
{'短评内容': '北斗鑫有好几家，这家是太仆寺旗里最好的一家。房间比较干净，设施在旗的级别上也算挺不错的了。如果在太仆寺旗入住，值得选择。。', '短评打分': 4}
{'短评内容': '一般般，还没发票', '短评打分': 3}
{'短评内容': '房间设施一般，不过在这儿已经算不错了', '短评打分': 4}
{'短评内容': '开不了发票，房间很一般一般，可能在本地区还算可以吧', '短评打分': 3}
{'短评内容': '服务一般，卫生一般。', '短评打分': 3}
{'短评内容': '差不多', '短评打分': 4}
{'短评内容': '不错的位置，就在城中心。', '短评打分': 3}
{'短评内容': '洗澡水忽冷忽热，房间够大。艺龙200多预定的，还行。酒店挂500多，不值', '短评打分': 3}
{'短评内容': '地理位置还可以，但是，客房服务真的很差，最基本的清洁卫生很差。地毯上满是污物毛发，预订的两个房间入住第一天掀开被子均发现床单上有头发，枕套脏的已经发黄，凑近闻了下一股有人睡过的头油味！！叫客房服务来换新的床上用品，叫了好久终于来了位大姐，拿了备用的但是告诉我们自己更换！她不是做这个的，打扫客房的员工已经下班！我就纳闷了，你不是做这个的，那客人就是专门到你酒店来换床单的是吗？到底谁是酒店员工？！对了', '短评打分': 3}
{'短评内容': '还不错，希望下次再来入住。', '短评打分': 3}
{'短评内容': '酒店服务很好房间宽敞明亮，在太仆寺旗算是顶级酒店了，总体来说四星级酒店！早餐需加强品质.', '短评打分': 3}
