{'短评内容': '冬天住，很冷。空调不能制热。电话不能大长途', '短评打分': 1}
{'短评内容': ' 客房内部设施陈旧，墙上还有两大块黄色的水渍。和照片的差距太大了。卫生也欠佳…', '短评打分': 3}
{'短评内容': '还是不错的，就是地方不好找。 ', '短评打分': 3}
{'短评内容': '房间位置不错，服务也不错，就是卫生跟设施维护有待提高。', '短评打分': 3}
{'短评内容': '楼道卫生不咋滴…房间还行！', '短评打分': 3}
{'短评内容': '家庭公寓 地點不好找 服務態度好 房間還可以可上網', '短评打分': 5}
{'短评内容': '提醒一下订房的同学，这家酒店其实是家庭旅馆，设施和服务都是很一般的，好在是价钱便宜。希望今后各方面都有改进，比如把前台弄得正规一点，装修和卫生干净一点，服务再专业一点，那下次还是愿意来住的。', '短评打分': 5}
{'短评内容': '公寓式酒店，环境非常像自己家的感觉，就是价位有点高', '短评打分': 5}
{'短评内容': '有点像小家庭的感觉，不错~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间是蛮大..比较脏..还有蟑螂..\n店面难找.电脑坏的..\n', '短评打分': 1}
{'短评内容': '环境不错...上网太郁闷 电脑看不了电影之类还不说..自己带的笔记本也不能上网!!!\n结账的时候没有发票了..承诺给我寄不知道还能不能兑现!!!', '短评打分': 1}
{'短评内容': '结帐时说发票用完了，承诺第二天给我寄来，可是到现在也未收到酒店方的发票，实际结帐470元（2天半）,这里登记却是376元（2天）。而且随意更改预订的房间。', '短评打分': 1}
{'短评内容': '经济实惠', '短评打分': 3}
{'短评内容': '性价比很高。服务态度也不错。是在打铁当。交通还算方便的、、、还有洗衣机可以洗衣服，也有地方晾衣服。。', '短评打分': 5}
{'短评内容': '地址到是好，但很难找，而且卫生不好，随意更改所定的房间\n', '短评打分': 1}
{'短评内容': '酒店公寓，在外面长期出差的是很不错的选择，你懂的', '短评打分': 5}
{'短评内容': '位置不太好找，服务人员态度不错，房间不大，可以上网，', '短评打分': 5}
{'短评内容': '很温馨的一家公寓酒店。地理位置很好，很方便，房间很不错。', '短评打分': 5}
{'短评内容': '这里比厦门同样的价，多了电脑冰箱和洗衣机等设施', '短评打分': 3}
{'短评内容': '酒店设施很齐全，不错，价格也合理，挺不错的 ，地理位置也好，出行也方便', '短评打分': 5}
{'短评内容': '房间比想象里的小，床偏硬，服务尚可，电梯很慢，楼下有个铁门也不是很方便，但是安全，房卡是钥匙，怕有不法分子配钥匙偷东西。\n但是作为家庭公寓式的还是很不错的地方。\n月租的话大概2000就行', '短评打分': 5}
{'短评内容': '还不错吧。嗯，就是比较偏，要是不打电话问，自己真找不到。', '短评打分': 5}
