{'短评内容': '离办事的地方很近，附近的小饭馆也不少', '短评打分': 4}
{'短评内容': '可以的环境，性价比高。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '还可以。。。。。', '短评打分': 3}
{'短评内容': '培训附近的酒店，就这样吧', '短评打分': 2}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 4}
{'短评内容': '比较差。写的是格林豪泰。找很久都找不到。根本没有闵旭宾馆这个牌子。因为周边没什么好酒店，比较偏，没办法。', '短评打分': 3}
{'短评内容': '房间挺大的，卫生也很好', '短评打分': 4}
{'短评内容': '不知道什么原因，晚上竟然有一个男的敲门。说送沐浴露的。有点没睡好。', '短评打分': 3}
{'短评内容': '房间比较小，隔音效果不怎样，但酒店的设施还是可以的，出差住下没问题', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '一般                吵', '短评打分': 3}
{'短评内容': '不错，非常的好，值得推荐', '短评打分': 3}
{'短评内容': '不错，值得推荐，非常舒服', '短评打分': 3}
{'短评内容': '挺好的，住了好几天了，感觉不错', '短评打分': 3}
