{'短评内容': '融汇丽笙的房间我确实一分都不想给！', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不送温泉票，凭房卡只能温泉票八折，还不如工行信用卡，刷卡可以五折买温泉票。', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '没吃早餐，不知道怎样，其他方面都很OK', '短评打分': 5}
{'短评内容': '位置偏了点，吃饭不方便', '短评打分': 4}
{'短评内容': '领导满意就好', '短评打分': 5}
{'短评内容': '四星的水准，房间一般，有些脏，路边比较吵，早餐丰富，温泉服务人员态度差，这样的价格感觉不值，本来订了三天，住一天就取消了', '短评打分': 3}
{'短评内容': '中规中矩，比较好', '短评打分': 5}
{'短评内容': '融汇越来越差了 哎！硬件设施完全跟三星级的旅店没区别了！房间都是很久没人住，一口甲醛味霉味！进去住一晚就是人肉过滤器...', '短评打分': 5}
{'短评内容': '五星级酒店品质服务真的很好  温泉特别舒服', '短评打分': 5}
{'短评内容': '离温泉很近，设施还不错，就是不送温泉票', '短评打分': 5}
{'短评内容': '一般，只能说在沙坪坝算是不错的了', '短评打分': 3}
{'短评内容': '帮朋友订的，环境不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '只能说没有服务，在check in 的时候竟然告诉我温泉门票179？？明明我定的是包含温泉门票的房间，我定的本来就是豪华房间，竟然还好意思告诉我免费升级到豪华房，我去....无语 ', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '周边环境好，酒店附近很多吃的，方便。', '短评打分': 5}
{'短评内容': '早餐很丰富。升级后的商务大床房，安静舒适，床品很柔软温暖', '短评打分': 5}
{'短评内容': '很舒服的床品，房间很好。旁边的温泉及干蒸，夜里最大享受！酒店对面就是酒吧街，安静享受各种进口瓶装啤酒', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '位置比较偏但胜在安静 条件还算不错', '短评打分': 5}
{'短评内容': '是在沙坪坝区环境最好的酒店了，值得推荐。', '短评打分': 5}
{'短评内容': '真心不错，在沙坪坝区属于最好的酒店了。', '短评打分': 5}
{'短评内容': '环境不错，位于温泉小镇，有温情泡有美食咖啡；但早餐服务生意识不足，未到五星水平，还需提升；卫生间隔断打开致使马桶间毕现，实在不好。可以改善设计', '短评打分': 5}
{'短评内容': '设施很新，酒店位置很清静，适合度假。', '短评打分': 5}
{'短评内容': '不错的地方，环境很好，硬件设施也很新。酒店送温泉套票，融汇温泉还是可以泡泡，很满意。下次还来', '短评打分': 5}
